R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,184.757,185.787,185.17,185.258,183.775,184.663,186.963,183.4,183.308,183.307,186.394,182.994,184.363,182.37,182.315,183.909,182.29,183.161,181.922,182.799,182.777,182.16,181.43,183.017,182.321,182.106,181.434,181.701,181.517,182.492,180.812,180.726,180.274,181.8,183.878,182.653,182.943,180.45,181.512,180.074,180.079,180.556,186.014,181.655,181.071,185.885,182.716,185.872,181.371,182.456,179.207,180.409,181.898,181.291,180.465,183.28,183.865,188.483,187.089,186.027,185.758,183.06,182.082,188.674,186.176,183.332,188.166,185.885,185.424,184.643,187.05,185.091,185.012,188.043,185.21,188.972,186.38,186.898,187.026,189.336,190.332,188.977,187.955,189.034,187.776,189.627,189.393,188.213,191.752,189.909,190.217,189.519,191.443,189.524,192.06,193.994,190.254,189.671,188.756,190.817
1.02261,183.447,184.3,184.151,184.342,182.318,183.587,186.113,182.152,181.83,182.035,185.301,181.763,183.144,181.053,181.076,182.69,181.083,182.124,180.837,181.746,181.529,180.872,180.039,181.966,180.727,180.982,180.105,180.33,180.324,181.317,179.722,179.409,179.086,180.565,182.183,180.838,181.221,179.052,180.322,178.817,178.895,179.39,184.306,180.587,179.765,184.072,181.161,183.639,179.479,180.945,177.726,178.856,180.268,179.753,178.836,181.77,182.269,186.239,184.948,184.27,183.984,181.703,180.57,186.424,184.155,181.514,186.271,183.848,183.479,182.893,185.127,182.999,183.052,185.879,183.559,186.79,184.429,185.209,185.401,187.275,188.207,187.114,186.043,187.223,185.357,187.241,187.699,186.291,189.629,187.805,188.069,187.879,189.781,187.694,189.664,191.594,187.805,187.649,186.951,189.001
1.04573,179.807,180.287,181.049,181.434,178.419,180.392,183.293,178.656,177.902,178.501,182.029,178.311,179.689,177.453,177.624,179.244,177.692,179.042,177.689,178.634,178.04,177.325,176.301,178.858,176.568,177.736,176.488,176.62,176.956,177.97,176.581,175.82,175.753,177.115,177.791,176.233,176.799,175.303,176.953,175.349,175.565,176.088,179.849,177.451,176.17,179.408,177.06,178.149,174.739,176.93,173.827,174.797,176.027,175.71,174.631,177.738,178.073,180.696,179.621,179.73,179.4,177.984,176.558,180.851,179.083,176.895,181.427,178.737,178.557,178.384,180.235,177.798,178.113,180.499,179.221,181.379,179.495,180.776,181.098,182.104,182.893,182.342,181.167,182.558,179.463,181.38,183.26,181.379,184.316,182.532,182.693,183.544,185.422,182.973,183.77,185.677,181.793,182.538,182.28,184.319
1.06937,179.141,179.491,180.61,181.074,177.627,179.905,182.998,178.023,177.093,177.848,181.544,177.687,179.086,176.763,176.991,178.641,177.084,178.571,177.172,178.148,177.411,176.661,175.559,178.378,175.677,177.202,175.792,175.898,176.359,177.4,176.059,175.128,175.156,176.497,176.803,175.155,175.783,174.556,176.366,174.705,174.976,175.517,178.839,176.946,175.491,178.305,176.173,176.711,173.594,176.084,173.007,173.911,175.083,174.833,173.679,176.882,177.133,179.233,178.252,178.651,178.327,177.23,175.688,179.384,177.8,175.781,180.224,177.451,177.341,177.312,179.026,176.462,176.882,179.085,178.235,179.933,178.261,179.753,180.116,180.753,181.491,181.148,179.954,181.403,177.86,179.797,182.194,180.16,182.897,181.146,181.286,182.52,184.35,181.806,182.154,184.051,180.163,181.227,181.144,183.145
1.09355,181.721,182.209,183.056,183.474,180.234,182.362,185.436,180.507,179.686,180.341,184.088,180.142,181.595,179.243,179.428,181.136,179.505,180.933,179.515,180.514,179.904,179.137,178.088,180.761,178.364,179.612,178.282,178.43,178.779,179.859,178.387,177.604,177.537,178.959,179.556,177.947,178.504,177.081,178.806,177.139,177.369,177.916,181.615,179.306,177.991,181.118,178.811,179.749,176.4,178.707,175.551,176.501,177.755,177.417,176.295,179.501,179.764,182.28,181.25,181.377,181.109,179.713,178.26,182.452,180.693,178.526,183.024,180.38,180.206,180.022,181.876,179.39,179.738,182.052,180.92,182.868,181.107,182.474,182.78,183.621,184.409,183.893,182.772,184.114,181.007,182.956,184.832,183.009,185.781,184.047,184.264,185.132,186.889,184.547,185.28,187.182,183.393,184.113,183.895,185.831
1.11827,185.453,186.173,186.533,186.856,184.052,185.863,188.849,184.101,183.49,183.949,187.707,183.693,185.209,182.853,182.959,184.738,183.005,184.304,182.877,183.896,183.509,182.731,181.784,184.161,182.329,183.078,181.907,182.125,182.278,183.399,181.732,181.208,180.985,182.523,183.63,182.114,182.548,180.779,182.329,180.672,180.831,181.376,185.725,182.688,181.628,185.31,182.697,184.368,180.611,182.559,179.298,180.329,181.708,181.236,180.182,183.35,183.655,186.908,185.785,185.446,185.252,183.344,182.055,187.108,185.053,182.636,187.226,184.795,184.508,184.066,186.153,183.821,184.038,186.554,184.902,187.335,185.393,186.511,186.725,187.964,188.841,188.018,187.003,188.176,185.822,187.775,188.771,187.284,190.167,188.45,188.774,189.016,190.687,188.659,190.061,191.969,188.321,188.466,188.008,189.868
1.14355,189.322,190.283,190.129,190.354,188.008,189.489,192.374,187.822,187.435,187.691,191.452,187.371,188.954,186.593,186.617,188.466,186.63,187.794,186.357,187.397,187.243,186.457,185.618,187.678,186.439,186.668,185.667,185.954,185.902,187.064,185.197,184.945,184.555,186.218,187.854,186.436,186.741,184.615,185.98,184.336,184.417,184.965,189.984,186.185,185.398,189.65,186.722,189.149,184.978,186.552,183.182,184.297,185.804,185.19,184.209,187.335,187.684,191.695,190.477,189.651,189.542,187.099,185.984,191.925,189.569,186.891,191.571,189.366,188.959,188.248,190.577,188.407,188.485,191.209,189.023,191.953,189.823,190.686,190.803,192.452,193.417,192.279,191.38,192.374,190.801,192.755,192.837,191.704,194.693,192.996,193.432,193.026,194.602,192.906,195.001,196.907,193.415,192.964,192.26,194.032
1.16941,192.508,193.656,193.113,193.267,191.251,192.491,195.32,190.887,190.665,190.769,194.56,190.395,192.04,189.661,189.62,191.535,189.609,190.684,189.226,190.288,190.309,189.51,188.742,190.584,189.778,189.619,188.74,189.082,188.87,190.075,188.044,187.994,187.476,189.243,191.278,189.92,190.129,187.733,188.969,187.325,187.35,187.9,193.43,189.06,188.47,193.153,189.983,192.969,188.478,189.792,186.326,187.501,189.115,188.389,187.457,190.569,190.942,195.52,194.236,193.045,193.002,190.153,189.161,195.775,193.188,190.307,195.059,193.026,192.531,191.618,194.133,192.071,192.05,194.929,192.351,195.634,193.375,194.058,194.099,196.038,197.069,195.697,194.892,195.741,194.759,196.721,196.105,195.25,198.299,196.625,197.154,196.252,197.739,196.313,198.923,200.832,197.465,196.564,195.676,197.367
1.19584,193.137,194.277,193.81,193.986,191.823,193.165,196.097,191.49,191.216,191.362,195.278,190.975,192.661,190.197,190.173,192.141,190.167,191.319,189.799,190.891,190.858,190.036,189.209,191.195,190.218,190.171,189.221,189.56,189.386,190.623,188.568,188.449,187.954,189.758,191.713,190.281,190.522,188.156,189.485,187.772,187.814,188.387,193.891,189.59,188.921,193.562,190.392,193.262,188.759,190.217,186.674,187.848,189.48,188.757,187.781,190.992,191.345,195.836,194.568,193.442,193.405,190.592,189.538,196.09,193.514,190.621,195.417,193.336,192.845,191.971,194.501,192.339,192.355,195.221,192.745,195.902,193.695,194.469,194.514,196.335,197.356,196.031,195.241,196.087,194.975,196.986,196.47,195.599,198.565,196.91,197.457,196.619,198.058,196.654,199.171,201.081,197.709,196.881,196.03,197.678
1.22288,189.956,190.791,191.099,191.443,188.403,190.365,193.645,188.415,187.772,188.254,192.434,187.902,189.605,186.95,187.06,189.065,187.106,188.598,186.942,188.087,187.649,186.786,185.697,188.373,186.314,187.14,185.836,186.077,186.23,187.495,185.619,185.029,184.773,186.519,187.676,185.957,186.425,184.537,186.297,184.415,184.588,185.206,189.885,186.62,185.451,189.344,186.534,188.258,184.197,186.429,182.824,183.905,185.431,184.883,183.718,187.212,187.475,190.893,189.765,189.361,189.227,187.127,185.72,191.11,188.908,186.274,191.093,188.619,188.277,187.808,190.093,187.506,187.765,190.378,188.755,191.06,189.17,190.458,190.624,191.712,192.602,191.754,190.853,191.915,189.571,191.7,192.499,191.155,193.836,192.19,192.635,192.716,194.172,192.408,193.904,195.827,192.243,192.285,191.806,193.47
