R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,198.742,200.224,198.31,198.19,197.909,198.096,199.333,197.133,197.337,197.103,199.826,196.387,197.713,195.66,195.455,197.218,195.364,196.277,194.658,195.597,195.542,195.078,193.964,195.651,195.107,194.367,193.914,194.209,193.659,194.697,192.906,192.766,192.134,194.107,195.786,194.143,194.329,192.24,193.555,191.608,191.556,192.208,196.829,192.762,192.182,195.977,193.248,195.62,191.606,193.421,189.862,190.556,192.232,191.293,190.534,193.278,193.474,197.894,196.281,195.616,195.276,192.394,191.362,197.519,194.834,191.959,197.359,194.306,193.512,193.05,195.601,193.07,193.182,195.676,193.804,196.951,193.831,194.99,195.152,197.554,198.001,197.156,196.083,197.555,194.346,196.243,197.773,195.036,199.462,197.437,197.437,196.929,199.504,196.892,198.664,200.875,195.892,196.89,195.487,197.691
1.02261,199.964,201.463,199.527,199.41,199.116,199.311,200.568,198.331,198.534,198.3,201.066,197.574,198.918,196.839,196.631,198.42,196.54,197.462,195.826,196.778,196.73,196.256,195.138,196.835,196.301,195.547,195.085,195.387,194.831,195.883,194.061,193.929,193.288,195.284,196.993,195.337,195.518,193.406,194.73,192.766,192.711,193.37,198.053,193.93,193.356,197.197,194.435,196.841,192.782,194.609,191.014,191.718,193.412,192.462,191.691,194.47,194.663,199.127,197.512,196.823,196.492,193.571,192.535,198.762,196.047,193.142,198.566,195.525,194.724,194.243,196.825,194.273,194.386,196.9,195.009,198.154,195.042,196.21,196.366,198.755,199.211,198.349,197.299,198.742,195.576,197.496,198.956,196.267,200.655,198.644,198.67,198.117,200.648,198.094,199.902,202.112,197.16,198.111,196.702,198.871
1.04573,201.159,202.673,200.716,200.601,200.297,200.499,201.776,199.5,199.702,199.47,202.279,198.732,200.095,197.99,197.779,199.595,197.687,198.62,196.965,197.931,197.892,197.405,196.286,197.992,197.467,196.698,196.228,196.538,195.974,197.044,195.188,195.065,194.413,196.433,198.174,196.504,196.681,194.543,195.877,193.897,193.838,194.504,199.253,195.071,194.504,198.392,195.597,198.036,193.933,195.769,192.139,192.853,194.566,193.604,192.821,195.636,195.824,200.335,198.718,198.005,197.684,194.72,193.68,199.98,197.235,194.3,199.744,196.72,195.91,195.41,198.024,195.451,195.566,198.098,196.186,199.328,196.23,197.406,197.555,199.929,200.394,199.514,198.489,199.901,196.781,198.726,200.11,197.473,201.819,199.823,199.876,199.276,201.76,199.269,201.115,203.322,198.404,199.308,197.893,200.023
1.06937,202.324,203.855,201.877,201.763,201.446,201.657,202.955,200.639,200.841,200.609,203.463,199.86,201.242,199.112,198.896,200.739,198.804,199.748,198.073,199.053,199.023,198.526,197.404,199.119,198.604,197.821,197.342,197.661,197.088,198.174,196.284,196.171,195.509,197.554,199.325,197.644,197.816,195.653,196.996,194.998,194.936,195.61,200.424,196.182,195.623,199.558,196.73,199.204,195.056,196.901,193.237,193.96,195.692,194.718,193.922,196.774,196.958,201.516,199.898,199.157,198.848,195.842,194.797,201.171,198.396,195.43,200.893,197.887,197.069,196.548,199.195,196.603,196.717,199.27,197.338,200.475,197.389,198.574,198.715,201.072,201.548,200.649,199.652,201.028,197.962,199.93,201.232,198.653,202.952,200.973,201.056,200.406,202.839,200.415,202.3,204.504,199.625,200.476,199.056,201.145
1.09355,203.458,205.006,203.005,202.894,202.563,202.785,204.103,201.746,201.947,201.717,204.617,200.957,202.357,200.2,199.981,201.852,199.889,200.842,199.149,200.144,200.122,199.614,198.49,200.214,199.71,198.911,198.423,198.751,198.17,199.273,197.348,197.246,196.573,198.642,200.447,198.752,198.919,196.729,198.082,196.068,196.002,196.684,201.565,197.262,196.71,200.696,197.834,200.34,196.149,198.004,194.303,195.035,196.788,195.801,194.993,197.882,198.062,202.666,201.048,200.28,199.982,196.934,195.885,202.333,199.527,196.529,202.012,199.025,198.2,197.657,200.338,197.724,197.84,200.412,198.459,201.589,198.519,199.714,199.847,202.184,202.67,201.752,200.784,202.124,199.113,201.106,202.321,199.805,204.052,202.092,202.206,201.503,203.88,201.528,203.454,205.655,200.819,201.614,200.19,202.233
1.11827,204.557,206.121,204.1,203.991,203.647,203.877,205.217,202.818,203.018,202.788,205.736,202.018,203.437,201.253,201.031,202.931,200.939,201.902,200.19,201.2,201.188,200.667,199.541,201.274,200.782,199.967,199.469,199.807,199.218,200.339,198.376,198.286,197.602,199.696,201.535,199.827,199.989,197.772,199.135,197.104,197.034,197.722,202.673,198.308,197.765,201.799,198.904,201.447,197.208,199.072,195.336,196.079,197.85,196.852,196.031,198.957,199.132,203.783,202.167,201.37,201.083,197.992,196.94,203.462,200.625,197.597,203.095,200.132,199.299,198.735,201.448,198.815,198.932,201.522,199.548,202.67,199.62,200.822,200.946,203.261,203.758,202.82,201.884,203.183,200.235,202.253,203.375,200.925,205.116,203.178,203.324,202.565,204.883,202.609,204.577,206.772,201.983,202.72,201.291,203.286
1.14355,205.62,207.201,205.157,205.051,204.692,204.933,206.295,203.852,204.051,203.824,206.819,203.041,204.479,202.267,202.043,203.971,201.951,202.924,201.192,202.218,202.216,201.683,200.556,202.296,201.817,200.986,200.478,200.825,200.229,201.367,199.367,199.289,198.594,200.714,202.587,200.867,201.023,198.78,200.151,198.103,198.029,198.726,203.747,199.317,198.784,202.87,199.938,202.518,198.233,200.106,196.332,197.086,198.877,197.866,197.032,199.997,200.167,204.866,203.251,202.424,202.151,199.015,197.959,204.559,201.691,198.63,204.143,201.206,200.364,199.776,202.525,199.872,199.988,202.597,200.603,203.715,200.685,201.896,202.011,204.302,204.81,203.851,202.949,204.206,201.323,203.366,204.391,202.013,206.141,204.227,204.406,203.59,205.843,203.653,205.666,207.851,203.118,203.79,202.358,204.3
1.16941,206.644,208.241,206.174,206.072,205.699,205.949,207.333,204.846,205.045,204.819,207.863,204.023,205.482,203.243,203.014,204.972,202.922,203.906,202.154,203.195,203.205,202.658,201.531,203.279,202.813,201.966,201.448,201.805,201.199,202.357,200.317,200.252,199.545,201.692,203.601,201.869,202.018,199.747,201.127,199.064,198.985,199.688,204.782,200.287,199.765,203.902,200.935,203.552,199.22,201.1,197.291,198.055,199.868,198.844,197.996,201,201.164,205.911,204.3,203.441,203.182,199.999,198.941,205.618,202.719,199.625,205.15,202.243,201.394,200.782,203.565,200.892,201.009,203.637,201.621,204.72,201.714,202.934,203.039,205.304,205.823,204.843,203.977,205.187,202.378,204.446,205.365,203.064,207.125,205.237,205.452,204.575,206.759,204.659,206.715,208.893,204.219,204.824,203.389,205.274
1.19584,207.624,209.238,207.149,207.05,206.662,206.922,208.331,205.797,205.993,205.769,208.866,204.962,206.441,204.173,203.941,205.93,203.849,204.843,203.073,204.128,204.15,203.59,202.463,204.219,203.767,202.902,202.374,202.741,202.128,203.303,201.224,201.172,200.455,202.627,204.574,202.83,202.971,200.673,202.061,199.981,199.897,200.609,205.777,201.214,200.704,204.894,201.89,204.546,200.166,202.054,198.209,198.983,200.816,199.78,198.917,201.962,202.12,206.916,205.308,204.416,204.172,200.942,199.882,206.638,203.706,200.581,206.116,203.242,202.384,201.747,204.566,201.873,201.991,204.637,202.599,205.683,202.704,203.932,204.027,206.262,206.794,205.792,204.964,206.124,203.393,205.488,206.295,204.079,208.064,206.205,206.459,205.516,207.625,205.622,207.726,209.892,205.283,205.816,204.379,206.203
1.22288,208.56,210.191,208.079,207.984,207.577,207.85,209.283,206.701,206.897,206.675,209.824,205.854,207.354,205.057,204.822,206.842,204.73,205.734,203.944,205.016,205.05,204.475,203.349,205.111,204.676,203.794,203.255,203.632,203.01,204.205,202.083,202.048,201.317,203.516,205.501,203.745,203.881,201.553,202.95,200.854,200.765,201.484,206.729,202.097,201.6,205.844,202.802,205.497,201.069,202.963,199.081,199.868,201.721,200.672,199.794,202.881,203.032,207.877,206.275,205.348,205.119,201.842,200.779,207.617,204.652,201.494,207.038,204.198,203.332,202.668,205.524,202.811,202.93,205.595,203.534,206.602,203.652,204.889,204.973,207.175,207.718,206.694,205.908,207.015,204.368,206.49,207.178,205.051,208.956,207.129,207.422,206.412,208.44,206.541,208.693,210.847,206.31,206.765,205.328,207.086
