draw_id,draw_label,s_hmg,chi2_nu_cdm_einasto,chi2_nu_hmg_k1,ratio_hmg_einasto,winner,close_10pct
1,b1,1.9541,3.5953,9.0392,2.5142,CDM Einasto,no
2,b2,1.9518,3.7611,8.8754,2.3598,CDM Einasto,no
3,b3,2.3677,3.4564,9.4249,2.7268,CDM Einasto,no
4,b4,1.9706,3.6212,10.9201,3.0156,CDM Einasto,no
5,b5,2.5195,3.5345,9.0292,2.5546,CDM Einasto,no
6,b6,2.4868,3.6715,9.0538,2.4660,CDM Einasto,no
7,b7,2.5650,3.0049,11.0737,3.6852,CDM Einasto,no
8,b8,1.9173,3.8728,9.6167,2.4831,CDM Einasto,no
9,b9,2.5242,3.9750,7.3986,1.8613,CDM Einasto,no
10,b10,2.2139,4.0089,7.4889,1.8681,CDM Einasto,no
11,b11,1.8261,3.6388,9.0462,2.4860,CDM Einasto,no
12,b12,2.2551,4.0315,5.3581,1.3291,CDM Einasto,no
13,b13,1.8600,3.4327,9.3231,2.7160,CDM Einasto,no
14,b14,2.1471,4.6274,3.6090,0.7799,HMG,yes
15,b15,1.9588,4.4555,3.6751,0.8248,HMG,yes
16,b16,2.0294,3.5135,8.8678,2.5239,CDM Einasto,no
17,b17,2.2747,4.1319,3.7367,0.9044,HMG,yes
18,b18,2.0332,3.0625,11.1028,3.6254,CDM Einasto,no
19,b19,2.4283,3.4949,4.0985,1.1727,CDM Einasto,no
20,b20,2.1172,3.4874,7.1806,2.0590,CDM Einasto,no
21,b21,1.9031,3.5790,7.3535,2.0546,CDM Einasto,no
22,b22,1.9460,3.6700,3.7712,1.0276,CDM Einasto,yes
23,b23,2.0564,3.7988,3.6204,0.9530,HMG,yes
24,b24,2.2559,3.1854,8.3816,2.6313,CDM Einasto,no
25,b25,2.4030,4.4168,3.8064,0.8618,HMG,yes
26,b26,1.8502,3.0381,4.3199,1.4219,CDM Einasto,no
27,b27,2.2949,3.3751,3.5301,1.0459,CDM Einasto,yes
28,b28,2.4686,3.4248,3.5608,1.0397,CDM Einasto,yes
29,b29,2.0250,3.0784,3.8147,1.2392,CDM Einasto,no
30,b30,1.9595,2.9705,4.5860,1.5438,CDM Einasto,no
31,b31,2.2326,2.9877,3.5286,1.1810,CDM Einasto,no
32,b32,2.0513,3.1332,3.4151,1.0900,CDM Einasto,yes
33,b33,2.6132,3.0198,3.3333,1.1038,CDM Einasto,no
34,b34,2.5461,3.0399,3.7488,1.2332,CDM Einasto,no
35,b35,2.1735,3.3017,3.3434,1.0126,CDM Einasto,yes
36,b36,2.1749,3.3665,3.0481,0.9054,HMG,yes
37,b37,2.2650,3.2859,2.9932,0.9109,HMG,yes
38,b38,2.2347,3.0145,3.0902,1.0251,CDM Einasto,yes
39,b39,2.0835,2.7680,3.7458,1.3533,CDM Einasto,no
40,b40,2.4300,2.7901,3.1795,1.1396,CDM Einasto,no
41,b41,2.4990,2.6347,3.2337,1.2274,CDM Einasto,no
42,b42,2.3234,2.7143,3.3737,1.2429,CDM Einasto,no
43,b43,1.9778,2.6745,3.4117,1.2756,CDM Einasto,no
44,b44,2.1636,2.3780,3.8403,1.6149,CDM Einasto,no
45,b45,2.4547,2.4353,3.3859,1.3903,CDM Einasto,no
46,b46,2.2209,2.5537,2.8715,1.1244,CDM Einasto,no
47,b47,2.1799,2.5244,2.9579,1.1717,CDM Einasto,no
48,b48,2.4872,3.0086,2.6906,0.8943,HMG,yes
49,b49,2.4015,2.8873,2.5916,0.8976,HMG,yes
50,b50,2.0858,2.5124,3.0915,1.2305,CDM Einasto,no
51,b51,2.3676,2.6780,2.4607,0.9189,HMG,yes
52,b52,2.2363,2.4992,2.4831,0.9936,HMG,yes
53,b53,1.8339,2.4097,2.7445,1.1389,CDM Einasto,no
54,b54,1.8217,2.4484,2.3994,0.9800,HMG,yes
55,b55,2.2337,2.6877,2.3715,0.8824,HMG,yes
56,b56,1.8360,2.1774,2.8937,1.3290,CDM Einasto,no
57,b57,2.1524,2.3695,2.4021,1.0138,CDM Einasto,yes
58,b58,2.0506,2.4746,2.5974,1.0496,CDM Einasto,yes
59,b59,2.2949,2.5201,2.4178,0.9594,HMG,yes
60,b60,2.0349,2.3959,2.3314,0.9731,HMG,yes
61,b61,1.9984,2.2156,2.5491,1.1505,CDM Einasto,no
62,b62,2.1013,2.1716,2.3981,1.1043,CDM Einasto,no
63,b63,2.0654,2.1121,2.3306,1.1035,CDM Einasto,no
64,b64,1.7953,2.2526,2.5672,1.1397,CDM Einasto,no
65,b65,1.8884,2.4499,2.2895,0.9345,HMG,yes
66,b66,2.3063,2.2856,2.2255,0.9737,HMG,yes
67,b67,2.4478,2.1973,2.2829,1.0390,CDM Einasto,yes
68,b68,1.8737,2.0909,2.3620,1.1297,CDM Einasto,no
69,b69,2.5955,1.9946,2.3049,1.1556,CDM Einasto,no
70,b70,2.2335,2.2401,2.1737,0.9704,HMG,yes
