R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,143.425,149.689,164.635,168.302,136.296,159.071,175.881,152.226,134.067,149.969,160.955,152.072,147.828,149.437,151.781,154.068,154.438,157.782,159.318,163.057,156.294,153.971,156.872,161.933,150.346,163.773,154.405,156.466,163.654,165.998,161.877,159.132,163.316,158.415,156.3,155.574,156.682,157.427,161.399,166.787,165.501,167.557,162.294,174.071,168.304,164.802,169.839,154.586,157.442,163.519,167.834,168.098,163.423,169.912,164.783,172.805,172.386,160.434,163.577,171.794,168.722,179.427,175.482,164.037,166.866,171.38,170.567,169.284,173.294,174.873,172.115,168.221,172.359,172.106,176.337,169.098,176.459,179.504,185.131,173.416,174.809,177.616,179.335,174.019,168.582,172.421,178.807,183.544,172.296,172.328,176.554,189.004,180.512,183.259,172.007,174.303,180.389,177.817,187.837,185.468
7.79,0.421,244.745,254.182,281.526,288.591,232.322,272.292,301.201,260.122,228.355,256.336,275.022,260.003,252.119,255.512,259.659,263.325,264.375,270.127,273.184,279.472,267.539,263.552,268.921,277.572,256.928,281.144,264.593,268.116,281.145,284.883,278.149,273.152,280.828,271.721,267.877,266.877,269.026,270.351,277.156,287.041,284.751,288.227,278.907,299.801,289.677,283.726,292.518,265.838,270.958,281.247,289.285,289.946,281.401,293.265,284.196,298.022,297.606,276.099,281.813,296.552,290.937,310.41,303.271,282.657,288.168,296.311,294.441,292.337,299.656,302.637,297.491,290.928,298.108,297.929,304.961,292.52,305.675,310.836,320.8,299.968,302.555,307.478,310.45,300.967,292.028,298.611,309.528,318.589,298.176,298.413,305.721,328.131,312.907,317.779,297.899,301.672,313.148,308.209,326.326,322.124
7.79,0.516,333.639,345.088,384.024,394.424,316.569,371.801,411.135,354.832,311.037,349.78,374.968,354.829,343.486,348.766,354.534,359.23,361.104,368.931,373.538,381.939,365.381,359.968,367.678,379.384,350.543,384.681,361.702,366.47,384.909,389.677,380.9,373.808,384.766,371.642,366.196,365.105,368.291,370.139,379.362,393.481,390.282,394.943,381.978,411.089,397.096,389.082,401.181,364.405,371.595,385.415,397.018,398.141,385.975,402.868,390.267,409.107,408.871,378.591,386.697,407.396,399.404,427.036,416.951,387.906,396.091,407.581,404.528,401.785,412.196,416.528,409.092,400.309,410.149,410.177,419.49,402.563,421.003,427.942,441.803,412.722,416.454,423.251,427.31,414.046,402.324,411.263,426.047,439.355,410.434,410.951,420.945,452.502,431.119,437.916,410.3,415.24,431.938,424.664,450.265,444.411
7.79,0.621,439.537,452.533,505.842,520.528,417.014,490.353,541.721,467.62,409.605,461.16,493.698,467.853,452.159,460.004,467.723,473.424,476.522,486.738,493.404,504.149,482.065,475.015,485.664,500.852,462.117,508.398,477.738,483.927,509.026,514.792,503.893,494.215,509.264,491.062,483.643,482.614,487.153,489.629,501.612,521.022,516.726,522.707,505.369,544.37,525.786,515.448,531.442,482.737,492.451,510.23,526.347,528.142,511.478,534.615,517.785,542.425,542.6,501.596,512.655,540.613,529.671,567.391,553.698,514.332,526.001,541.604,536.878,533.477,547.732,553.777,543.436,532.181,545.136,545.564,557.361,535.249,560.121,569.056,587.598,548.554,553.742,562.756,568.075,550.238,535.563,547.218,566.419,585.214,545.788,546.744,559.878,602.62,573.726,582.853,545.972,552.138,575.511,565.211,600.017,592.173
7.79,0.726,552.744,566.4,635.554,655.12,524.562,616.943,680.579,588.079,515.164,580.244,620.071,588.677,568.12,579.051,588.853,595.347,600.03,612.674,621.771,634.785,606.842,598.138,612.073,630.748,581.412,640.902,602.106,609.719,642.11,648.659,635.893,623.375,642.961,619.04,609.466,608.708,614.815,617.958,632.711,658.01,652.541,659.805,637.813,687.383,663.97,651.34,671.397,610.203,622.653,644.318,665.533,668.182,646.544,676.581,655.257,685.82,686.665,634.006,648.308,684.12,669.923,718.742,701.125,650.522,666.227,686.327,679.518,675.553,694.06,702.031,688.41,674.751,690.934,691.965,706.115,678.706,710.547,721.444,744.98,695.238,702.079,713.418,720.025,697.277,679.913,694.332,717.973,743.08,692.106,693.655,710.04,764.942,727.898,739.543,692.809,700.072,731.044,717.254,762.134,752.162
7.79,0.84,682.2,695.597,783.216,808.611,647.781,761.435,838.373,725.661,636.149,716.398,763.888,726.797,700.505,715.291,727.461,734.553,741.331,756.592,768.696,784.034,749.493,739.015,756.828,779.21,717.828,792.535,744.594,753.723,794.569,801.706,787.248,771.431,796.337,765.614,753.549,753.32,761.334,765.228,782.928,815.164,808.365,816.945,789.692,851.257,822.448,807.424,831.984,756.896,772.494,798.198,825.487,829.254,801.798,839.898,813.503,850.496,852.35,786.263,804.336,849.158,831.162,892.909,870.775,807.204,827.811,853.126,843.638,839.187,862.676,872.927,855.393,839.258,859.001,860.904,877.408,844.238,884.096,897.035,926.226,864.291,873.119,887.043,895.049,866.704,846.783,864.194,892.577,925.319,860.903,863.252,883.225,952.14,905.713,920.251,862.388,870.667,910.754,892.731,949.296,936.907
7.79,0.944,805.534,817.81,923.232,954.354,765.417,898.787,987.691,856.563,751.711,846.073,900.217,858.321,826.441,845.173,859.575,866.95,875.973,893.572,908.733,926.031,885.327,873.272,894.871,920.509,847.784,937.013,880.549,891.012,939.976,947.395,931.733,912.746,942.813,905.4,890.954,891.427,901.352,905.945,926.236,965.234,957.185,966.874,934.692,1007.55,973.738,956.652,985.354,897.439,916.04,945.207,978.48,983.434,950.344,996.243,965.104,1007.88,1010.91,932.008,953.711,1007.1,985.433,1059.65,1033.21,957.242,982.748,1013.07,1000.78,996.015,1024.34,1036.81,1015.42,997.189,1020.19,1023.08,1041.51,1003.15,1050.66,1065.34,1099.85,1026.39,1037.19,1053.5,1062.76,1029.13,1007.25,1027.35,1059.92,1100.28,1022.9,1026.12,1049.39,1131.68,1076.3,1093.6,1025.31,1034.33,1083.45,1061.19,1128.99,1114.32
7.79,1.054,941.048,951.194,1076.3,1113.86,894.962,1049.31,1150.55,1000.19,879.055,988.491,1049.22,1002.75,964.624,987.962,1004.78,1012.16,1023.91,1043.9,1062.61,1081.78,1034.46,1020.81,1046.64,1075.55,990.562,1095.7,1030.12,1041.93,1099.83,1107.26,1090.73,1068.24,1104.05,1059.09,1042.04,1043.5,1055.61,1060.95,1083.84,1130.4,1121.01,1131.75,1094.27,1179.33,1140.2,1121.1,1154.17,1052.67,1074.56,1107.09,1147.13,1153.52,1114.17,1168.72,1132.49,1181.23,1185.78,1092.83,1118.54,1181.27,1155.54,1243.56,1212.43,1122.85,1153.95,1189.82,1174.16,1169.23,1202.94,1217.89,1192.14,1171.9,1198.32,1202.46,1222.68,1178.92,1234.84,1251.22,1291.46,1205.47,1218.53,1237.36,1247.92,1208.56,1185.04,1207.92,1244.72,1293.79,1202.05,1206.34,1233.08,1330.04,1264.83,1285.17,1205.66,1215.25,1274.62,1247.52,1327.7,1310.57
8.17,0.292,121.655,128.845,140.601,141.012,114.812,133.7,150.506,128.04,113.479,125.67,137.071,128.126,128.134,125.758,128.015,130.321,130.023,133.961,134.021,137.337,133.133,129.848,131.603,137.675,127.216,138.717,130.67,131.794,137.831,141.267,136.696,134.443,137.193,134.476,131.838,130.684,131.411,132.812,137.178,140.174,139.968,141.439,137.662,148.051,142.947,138.89,143.347,129.537,131.854,138.58,140.239,140.73,138.045,142.066,137.555,146.266,144.276,135.454,137.206,143.625,142.182,150.001,147.285,138.58,139.254,143.061,143.053,142.247,145.489,145.861,143.854,140.094,143.978,143.076,148.305,140.372,147.265,150.567,155.03,144.486,146.12,148.422,149.563,146.093,139.947,143.856,150.221,152.939,144.159,143.952,148.109,157.971,150.969,153.51,144.035,146.132,150.173,148.821,156.635,154.598
8.17,0.414,210.984,222.645,244.636,245.903,198.78,232.689,262.35,222.347,196.321,218.209,238.277,222.642,222.252,218.482,222.587,226.482,226.229,233.205,233.626,239.37,231.723,225.928,229.273,239.981,220.993,242.134,227.607,229.58,240.72,246.563,238.781,234.586,239.804,234.506,229.695,227.823,229.285,231.838,239.529,245.258,244.866,247.381,240.55,259.36,250.218,243.126,251.041,226.333,230.583,242.364,245.704,246.779,241.706,249.293,241.102,256.568,253.264,236.993,240.288,252.073,249.342,263.941,258.9,242.812,244.426,251.457,251.114,249.808,255.865,256.652,252.807,246.244,253.182,251.737,260.923,246.754,259.393,265.24,273.313,254.072,257.161,261.295,263.286,256.991,246.349,253.287,264.559,269.994,253.682,253.448,260.862,279.04,266.192,270.805,253.664,257.229,265.1,262.361,276.819,273.116
