draw_id,draw_label,model_key,model_name,k,source,dof,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_rad,chi2_nu_vert
1,b1,baryonic,Baryonic Newtonian,0,qcopula,196,65271.6000,849.9660,66121.5660,337.3549,333.0184,4.3366
2,b2,baryonic,Baryonic Newtonian,0,qcopula,196,71901.3000,814.9950,72716.2950,371.0015,366.8434,4.1581
3,b3,baryonic,Baryonic Newtonian,0,qcopula,196,64722.5000,516.0200,65238.5200,332.8496,330.2168,2.6328
4,b4,baryonic,Baryonic Newtonian,0,qcopula,196,63741.1000,542.4940,64283.5940,327.9775,325.2097,2.7678
5,b5,baryonic,Baryonic Newtonian,0,qcopula,196,62512.6000,1044.7100,63557.3100,324.2720,318.9418,5.3302
6,b6,baryonic,Baryonic Newtonian,0,qcopula,196,63265.1000,655.9150,63921.0150,326.1276,322.7811,3.3465
7,b7,baryonic,Baryonic Newtonian,0,qcopula,196,68683.1000,373.4310,69056.5310,352.3292,350.4240,1.9053
8,b8,baryonic,Baryonic Newtonian,0,qcopula,196,60275.8000,814.0640,61089.8640,311.6830,307.5296,4.1534
9,b9,baryonic,Baryonic Newtonian,0,qcopula,196,61038.4000,1075.4400,62113.8400,316.9073,311.4204,5.4869
10,b10,baryonic,Baryonic Newtonian,0,qcopula,196,59946.8000,872.0090,60818.8090,310.3000,305.8510,4.4490
11,b11,baryonic,Baryonic Newtonian,0,qcopula,196,69738.3000,574.8770,70313.1770,358.7407,355.8077,2.9330
12,b12,baryonic,Baryonic Newtonian,0,qcopula,196,58055.3000,780.2180,58835.5180,300.1812,296.2005,3.9807
13,b13,baryonic,Baryonic Newtonian,0,qcopula,196,62853.2000,682.6190,63535.8190,324.1623,320.6796,3.4828
14,b14,baryonic,Baryonic Newtonian,0,qcopula,196,56099.2000,830.1190,56929.3190,290.4557,286.2204,4.2353
15,b15,baryonic,Baryonic Newtonian,0,qcopula,196,55518.0000,754.9290,56272.9290,287.1068,283.2551,3.8517
16,b16,baryonic,Baryonic Newtonian,0,qcopula,196,60744.8000,706.1210,61450.9210,313.5251,309.9224,3.6027
17,b17,baryonic,Baryonic Newtonian,0,qcopula,196,55158.7000,724.0180,55882.7180,285.1159,281.4219,3.6940
18,b18,baryonic,Baryonic Newtonian,0,qcopula,196,57782.5000,608.9500,58391.4500,297.9156,294.8087,3.1069
19,b19,baryonic,Baryonic Newtonian,0,qcopula,196,52966.8000,621.9420,53588.7420,273.4119,270.2388,3.1732
20,b20,baryonic,Baryonic Newtonian,0,qcopula,196,55730.7000,580.9070,56311.6070,287.3041,284.3403,2.9638
21,b21,baryonic,Baryonic Newtonian,0,qcopula,196,56189.7000,611.2750,56800.9750,289.8009,286.6821,3.1187
22,b22,baryonic,Baryonic Newtonian,0,qcopula,196,54642.2000,710.6660,55352.8660,282.4126,278.7867,3.6258
23,b23,baryonic,Baryonic Newtonian,0,qcopula,196,51594.5000,697.6710,52292.1710,266.7968,263.2372,3.5595
24,b24,baryonic,Baryonic Newtonian,0,qcopula,196,56054.2000,532.5880,56586.7880,288.7081,285.9908,2.7173
25,b25,baryonic,Baryonic Newtonian,0,qcopula,196,55560.3000,774.4240,56334.7240,287.4221,283.4709,3.9511
26,b26,baryonic,Baryonic Newtonian,0,qcopula,196,52507.6000,505.8030,53013.4030,270.4765,267.8959,2.5806
27,b27,baryonic,Baryonic Newtonian,0,qcopula,196,51572.1000,656.1420,52228.2420,266.4706,263.1230,3.3477
28,b28,baryonic,Baryonic Newtonian,0,qcopula,196,52402.2000,658.9940,53061.1940,270.7204,267.3582,3.3622
29,b29,baryonic,Baryonic Newtonian,0,qcopula,196,49675.2000,532.1900,50207.3900,256.1602,253.4449,2.7153
30,b30,baryonic,Baryonic Newtonian,0,qcopula,196,53149.2000,464.9280,53614.1280,273.5415,271.1694,2.3721
31,b31,baryonic,Baryonic Newtonian,0,qcopula,196,48292.9000,525.1790,48818.0790,249.0718,246.3923,2.6795
32,b32,baryonic,Baryonic Newtonian,0,qcopula,196,48446.1000,580.6450,49026.7450,250.1365,247.1740,2.9625
33,b33,baryonic,Baryonic Newtonian,0,qcopula,196,46323.6000,533.4340,46857.0340,239.0665,236.3449,2.7216
34,b34,baryonic,Baryonic Newtonian,0,qcopula,196,51987.0000,560.9290,52547.9290,268.1017,265.2398,2.8619
35,b35,baryonic,Baryonic Newtonian,0,qcopula,196,51294.0000,648.2710,51942.2710,265.0116,261.7041,3.3075
36,b36,baryonic,Baryonic Newtonian,0,qcopula,196,47528.3000,681.0150,48209.3150,245.9659,242.4913,3.4746
37,b37,baryonic,Baryonic Newtonian,0,qcopula,196,46365.6000,659.2040,47024.8040,239.9225,236.5592,3.3633
38,b38,baryonic,Baryonic Newtonian,0,qcopula,196,47076.9000,585.1750,47662.0750,243.1739,240.1883,2.9856
39,b39,baryonic,Baryonic Newtonian,0,qcopula,196,50281.0000,487.5880,50768.5880,259.0234,256.5357,2.4877
40,b40,baryonic,Baryonic Newtonian,0,qcopula,196,44739.7000,477.9270,45217.6270,230.7022,228.2638,2.4384
41,b41,baryonic,Baryonic Newtonian,0,qcopula,196,45034.4000,444.9260,45479.3260,232.0374,229.7673,2.2700
42,b42,baryonic,Baryonic Newtonian,0,qcopula,196,46669.3000,452.3370,47121.6370,240.4165,238.1087,2.3078
43,b43,baryonic,Baryonic Newtonian,0,qcopula,196,47037.1000,478.2190,47515.3190,242.4251,239.9852,2.4399
44,b44,baryonic,Baryonic Newtonian,0,qcopula,196,45390.6000,323.5330,45714.1330,233.2354,231.5847,1.6507
45,b45,baryonic,Baryonic Newtonian,0,qcopula,196,44689.0000,383.7230,45072.7230,229.9629,228.0051,1.9578
46,b46,baryonic,Baryonic Newtonian,0,qcopula,196,42055.4000,453.9660,42509.3660,216.8845,214.5684,2.3162
47,b47,baryonic,Baryonic Newtonian,0,qcopula,196,42012.8000,411.4430,42424.2430,216.4502,214.3510,2.0992
48,b48,baryonic,Baryonic Newtonian,0,qcopula,196,40999.9000,645.5930,41645.4930,212.4770,209.1832,3.2938
49,b49,baryonic,Baryonic Newtonian,0,qcopula,196,39958.6000,599.0340,40557.6340,206.9267,203.8704,3.0563
50,b50,baryonic,Baryonic Newtonian,0,qcopula,196,44648.6000,450.9330,45099.5330,230.0997,227.7990,2.3007
