draw,hmg_k1_chi2_radial,hmg_k1_chi2_vertical,hmg_k1_chi2_total,hmg_k1_chi2_nu,hmg_k1_s_fit,hmg_k1_3d_chi2_radial,hmg_k1_3d_chi2_vertical,hmg_k1_3d_chi2_total,hmg_k1_3d_chi2_nu,hmg_k1_3d_s_fit
1,1480.2665188545311,144.3038735488961,1624.5703924034271,8.331130217453472,1.5253890220262762,1480.2665214628669,144.30386126655787,1624.5703827294246,8.331130167843204,1.5253890129472112
2,1821.7339226459699,133.83959217444666,1955.5735148204164,10.028582127284187,1.4896340585261478,1821.7339223253941,133.8395775284132,1955.5734998538073,10.028582050532345,1.4896340598052513
3,2062.423535638338,97.56404920149919,2159.987584839837,11.07685940943506,1.558347954172213,2062.4235355849896,97.56404711245244,2159.987582697442,11.076859398448422,1.5583479547803245
4,2183.2339389341346,123.0006566748482,2306.234595608983,11.826844080046067,1.5755522871346979,2183.2339399756756,123.00065337459944,2306.234593350275,11.82684406846295,1.5755522767024561
5,927.6020513469543,220.19741903967537,1147.7994703866298,5.886151130187845,1.5716224863905797,927.6020507455797,220.1973996545418,1147.7994504001215,5.8861510276929305,1.5716224878945264
6,1587.3036118597224,135.07740486843704,1722.3810167281595,8.83272316270851,1.5912332151217647,1587.3036116908838,135.0773979552405,1722.3810096461243,8.83272312639038,1.5912332160610605
7,3002.8942140096924,95.95515897379454,3098.849372983487,15.891535246069163,1.5143022730372349,3002.8942140228132,95.95516171320833,3098.8493757360216,15.891535260184726,1.5143022733962015
8,1101.7003078373186,195.15433162466442,1296.854639461983,6.650536612625554,1.6576772298150757,1101.7003074266102,195.15431441408788,1296.854621840698,6.65053652225999,1.657677231302884
9,829.4846570720529,241.77707492880364,1071.2617320008565,5.4936499076967,1.6060258949221602,829.4846563755916,241.77705244375133,1071.2617088193429,5.493649788817143,1.606025896586015
10,931.1305603952924,212.56812225639385,1143.6986826516863,5.8651214494958275,1.6476718938482227,931.1305599431652,212.56810478028305,1143.6986647234482,5.865121357556145,1.6476718953348906
11,2140.5496724570303,98.59439732570965,2239.1440697827397,11.482790101449947,1.5169666076147375,2140.549672385099,98.59439491771283,2239.1440673028114,11.482790088732367,1.5169666082641622
12,915.1512995676565,185.27297637515576,1100.4242759428123,5.643201415091345,1.6765880337317405,915.1512991829076,185.27295991841743,1100.4242591013249,5.643201328724743,1.6765880351959292
13,1541.231076999833,110.96749861889121,1652.1985756187241,8.47281320830115,1.5950728043188989,1541.231076841566,110.96749149066974,1652.1985683322357,8.472813170934542,1.5950728050623342
14,796.2265107288504,210.03306753662588,1006.2595782654762,5.1603055295665445,1.7077525545406957,796.2265102492117,210.0330476677268,1006.2595579169385,5.1603054252150695,1.7077525561974813
15,860.1594422451283,183.38499124418283,1043.5444334893111,5.3515099153298005,1.713692131861848,860.1594418662198,183.38497486034393,1043.5444167265637,5.351509829366993,1.7136921333507245
16,1147.0239424030988,146.2685282507532,1293.292470653852,6.632269080276164,1.6297148808636055,1147.023942149217,146.26851744751536,1293.2924595967324,6.632269023572987,1.6297148820122374
17,856.1626956176369,179.39056901967078,1035.5532646373076,5.310529562242603,1.7216087668936475,856.1626952753577,179.39055373803808,1035.5532490133958,5.310529482119978,1.7216087683359658
18,1198.760078611485,129.1071880374878,1327.8672666489726,6.809575726404988,1.6756861414470645,1198.7600784430208,129.10718037622794,1327.8672588192487,6.809575686252558,1.6756861424030716
19,912.6525586583116,157.6248683983293,1070.2774270566408,5.488602190034055,1.7651454382440501,912.6525584170231,157.62485739947792,1070.277415816501,5.488602132392312,1.7651454395209702
20,1137.8236100574127,142.8422468208779,1280.6658568782905,6.567517214760464,1.728876068069633,1137.8236098753432,142.84223821390577,1280.665848089249,6.567517169688457,1.7288760691936533
21,1158.6041031272225,132.10685087545542,1290.710954002678,6.6190305333470665,1.7090788218348554,1158.6041029425664,132.1068421519871,1290.7109450945536,6.619030487664378,1.7090788228361218
22,885.7377226642321,174.20765434663844,1059.9453770108705,5.435617318004464,1.7322352978837405,885.7377223263434,174.20763955776718,1059.9453618841105,5.435617240431336,1.7322352993324448
23,757.5955972537836,193.11773676727105,950.7133340210546,4.875452994979767,1.7957534922085798,757.5955968989542,193.11772012152738,950.7133170204816,4.875452907797341,1.7957534937884385
24,1260.793897363445,118.51910536116229,1379.3130027246073,7.0734000139723445,1.7186038505750723,1260.7938972456502,118.5190997440076,1379.312996989658,7.073399984562348,1.7186038514131448
25,898.2167373643588,186.43332837394283,1084.6500657383017,5.5623080294271885,1.7112324654989441,898.216733178214,186.43331426907227,1084.6500474472862,5.562307935627109,1.7112324812708295
26,1110.1684757838761,122.51948012801365,1232.6879559118897,6.32147669698405,1.7758868476374416,1110.1684756655181,122.5194745721172,1232.6879502376353,6.321476667885309,1.7758868485285466
27,828.4378821156254,161.73414150984556,990.172023625471,5.07780524936139,1.7756707759605546,828.4378818460139,161.73412913896593,990.1720109849798,5.077805184538358,1.7756707772351685
28,841.4818608568669,166.24634332545025,1007.7282041823171,5.167836944524703,1.7667630639405378,841.4818605802716,166.24633045605495,1007.7281910363265,5.167836877109367,1.7667630652622335
29,907.630730128135,142.04313380572478,1049.6738639338598,5.382942891968512,1.8270286805173417,907.6307299686312,142.0431261440681,1049.6738561126992,5.382942851859996,1.8270286815907921
30,1241.2898689750914,111.01279328976692,1352.3026622648583,6.934885447512094,1.770213249694269,1241.2898688910725,111.0127890645303,1352.3026579556029,6.934885425413348,1.770213250454727
31,827.1755998623449,136.51754203823532,963.6931419005803,4.942016112310668,1.8402814440279591,827.175599705703,136.51753444271313,963.6931341484161,4.94201607255598,1.8402814450770888
32,788.6530423623491,154.47431502111695,943.127357383466,4.836550550684441,1.8440034226051005,788.6530421380062,154.47430422487892,943.1273463628851,4.836550494168641,1.844003423878894
33,732.5287520479628,152.33072398824274,884.8594760362056,4.537740902749772,1.8875878269657826,732.5287518597473,152.3307146363093,884.8594664960566,4.537740853825931,1.8875878282013778
34,970.3997442518237,128.89019021725352,1099.2899344690773,5.637384279328601,1.765312538460975,970.3997440966442,128.89018344193252,1099.2899275385766,5.637384243787572,1.7653125394052054
35,805.2209194970017,163.7439343591517,968.9648538561534,4.969050532595658,1.7791203066257102,805.2209192281545,163.74392210997533,968.9648413381298,4.969050468400665,1.7791203079330062
36,634.4705314800917,196.18991423478792,830.6604457148796,4.259797157512203,1.8574926794364472,634.4705311162711,196.18989721507023,830.6604283313413,4.259797068365853,1.8574926810902361
37,602.0546428018704,195.2565324888386,797.311175290709,4.088775257901072,1.8853043543922738,602.0546424587335,195.25651628948668,797.3111587482201,4.088775173067796,1.8853043560308385
38,707.3472032492218,154.13305668469152,861.4802599339133,4.417847486840581,1.8524494179415552,707.3472030183358,154.13304596205708,861.4802489803928,4.417847430668681,1.852449419220195
39,1005.8567988291636,110.77003661744685,1116.6268354466104,5.726291463828771,1.789967111777752,1005.856798729829,110.77003291430448,1116.6268316441335,5.72629144432889,1.7899671125404129
40,729.9804012672357,140.70199700712288,870.6823982743585,4.465037939868505,1.9197219495961193,729.9804011218869,140.70198952614268,870.6823906480296,4.465037900759126,1.9197219507412513
41,794.0035165670452,119.65279239892565,913.6563089659708,4.68541696905626,1.9029504536024842,794.0035164611668,119.65278773359509,913.6563041947619,4.685416944588523,1.9029504545196108
42,845.5295615773156,124.83295509306144,970.362516670377,4.976218034207061,1.8742819725042894,845.5295614723648,124.83295008754739,970.3625115599122,4.97621800799955,1.874281973432114
43,889.0305665523895,119.73534750543791,1008.7659140578273,5.173158533629883,1.8622556177635419,889.0305664378034,119.735342591664,1008.7659090294674,5.173158507843422,1.8622556186361952
44,1039.5962180478791,92.29708050110118,1131.8932985489803,5.804581018199899,1.9038393745861417,1039.5962180217134,92.29708127406244,1131.893299295776,5.804581022029621,1.90383937509028
45,900.6732054446165,101.40592649347391,1002.0791319380904,5.138867343272259,1.9118125320550952,900.6732053838156,101.40592468284851,1002.0791300666641,5.138867333675201,1.9118125327515862
46,674.4438576718906,130.58834914860998,805.0322068205005,4.128370291387182,1.9677345748241197,674.4438575366225,130.58834283093884,805.0322003675614,4.1283702582951864,1.967734575924958
47,712.2924302593303,125.85670833089883,838.1491385902292,4.298200710719124,1.9842568527298052,712.2924301561934,125.85670302500932,838.1491331812027,4.298200682980527,1.9842568537596303
48,495.9276858633315,208.13740151312618,704.0650873764577,3.6105901916741416,1.9969698333635388,495.9276854862839,208.13738362363296,704.0650691099169,3.6105900979995735,1.996969835224022
49,480.05087507686324,194.7393812994135,674.7902563762767,3.4604628532116757,2.0182301296577894,480.0508747467738,194.73936490398944,674.7902396507632,3.460462767439811,2.018230131467562
50,807.7039481823099,116.81726603078064,924.5212142130905,4.741134431862003,1.9023589472428508,807.7039480858218,116.81726156734582,924.5212096531676,4.741134408477783,1.9023589480408232
51,484.3033512108426,162.93475880448386,647.2381100153265,3.319169794950392,2.0387555571151568,484.3033510224245,162.93474858413867,647.2380996065632,3.319169741572119,2.038755558581452
52,509.4830626788745,146.0178038620256,655.5008665409001,3.3615429053379495,2.0822245321164483,509.4830625218187,146.01779554644577,655.5008580682645,3.361542861888536,2.0822245335042955
53,663.8241354902175,123.01814974773883,786.8422852379563,4.035088642245929,1.9874234959382386,663.8241353600745,123.01814395934065,786.8422793194152,4.0350886118944365,1.9874234970220992
54,492.5673158834233,137.8050370168785,630.3723529003018,3.2326787328220608,2.0774411866462628,492.5673157586195,137.80503107924017,630.3723468378596,3.2326787017326133,2.0774411878689465
55,421.459160115734,174.46292433686958,595.9220844526036,3.0560106895005315,2.0916678795199553,421.459159886258,174.46291189727125,595.9220717835293,3.0560106245309195,2.091667881176438
56,758.6439375687069,98.92987601623004,857.5738135849369,4.397814428640702,2.0339764985218594,758.6439375209274,98.92987546699571,857.573812987923,4.397814425579092,2.03397649924633
57,508.04467540123824,132.51776407987208,640.5624394811103,3.284935587082617,2.1087026975816663,508.0446752949911,132.51775898075454,640.5624342757457,3.284935560388439,2.1087026987700024
58,588.3146488616875,144.9034068470491,733.2180557087365,3.760092593378136,2.0066330335785882,588.3146486931417,144.90339914777485,733.2180478409166,3.7600925530303417,2.006633034750175
59,495.82381543638763,159.13294113222108,654.9567565686087,3.358752597787737,2.0501359059547,495.8238152280058,159.13293020544586,654.9567454334517,3.358752540684368,2.050135907460276
60,488.0399849444972,138.4778996680182,626.5178846125154,3.2129122287821303,2.0967579635439257,488.03998483101424,138.4778942330084,626.5178790640226,3.2129122003283213,2.0967579647307417
61,628.2188776159708,111.128092813434,739.3469704294048,3.791522925278999,2.0323692302459704,628.218877531643,111.1280899439856,739.3469674756286,3.791522910131429,2.03236923118133
62,531.5207526022543,108.2861453492982,639.8068979515525,3.2810610151361668,2.166540962038038,531.5207525648331,108.28614666050325,639.8068992253363,3.2810610216683913,2.1665409628152457
63,520.1214321060016,108.32417884454608,628.4456109505477,3.2227980048746034,2.1720771651843602,520.1214320469837,108.32417770684353,628.4456097538273,3.2227979987375757,2.1720771661431417
64,591.3505408388016,126.03166110550133,717.382201944303,3.678883086893862,2.06060088753198,591.3505407141957,126.03165548236083,717.3821961965566,3.678883057418239,2.060600888621335
65,399.54806406244086,163.12007393817856,562.6681380006194,2.885477630772407,2.177562804347476,399.54806387685267,163.12006393595905,562.6681278128117,2.8854775785272393,2.177562805927202
66,395.26782540314775,143.82052107018612,539.0883464733339,2.7645556229401738,2.2438914329121236,395.2678252734313,143.82051435774756,539.0883396311789,2.7645555878521995,2.2438914343479492
67,499.2274541772716,125.63431369715626,624.8617678744279,3.2044193224329636,2.125677103754821,499.22745410412676,125.6343122708588,624.8617663749856,3.204419314743516,2.1256771045683633
68,506.13366095270794,120.05248796755808,626.1861489202661,3.211211020103929,2.171786690764523,506.1336608489632,120.05248354416318,626.1861443931264,3.2112109968878277,2.1717866919524447
69,478.0844538109711,110.20760049004481,588.2920543010159,3.0168823297487997,2.250289602557022,478.08445373938525,110.20759844304925,588.2920521824345,3.0168823188842797,2.2502896036319684
70,386.29562625939957,131.5967759760046,517.8924022354042,2.655858473002073,2.27571118825669,386.2956261697311,131.5967722936302,517.8923984633614,2.6558584536582632,2.2757111894873097
71,420.16175733180654,130.83917883188604,551.0009361636926,2.825645826480475,2.18063070169882,420.16175723221716,130.8391745652361,551.0009317974533,2.825645804089504,2.1806307028734366
72,390.96359050151904,161.0083617878078,551.9719522893269,2.830625396355522,2.263074904427996,390.96359033539164,161.0083530909871,551.9719434263787,2.8306253509045063,2.2630749060123976
73,398.3505082760902,134.152395060976,532.5029033370662,2.7307841196772626,2.2561315836641698,398.35050816893454,134.15239012872846,532.502898297663,2.730784093834169,2.2561315849728705
74,355.5712435825692,159.50444209642745,515.0756856789967,2.6414137727128035,2.3363941114515545,355.5712434437167,159.5044347544591,515.0756781981759,2.64141373434962,2.336394113002712
75,535.3794318246564,92.19266351487103,627.5720953395274,3.2183184376386023,2.1998825953191155,535.3794317890538,92.19266508268115,627.572096871735,3.218318445496077,2.1998825960781674
76,364.8642296881859,181.6744486669546,546.5386783551405,2.8027624531032846,2.301957013539344,364.8642295448615,181.67444226042795,546.5386718052894,2.8027624195143046,2.3019570148548647
77,383.5155542623012,124.9274890280489,508.4430432903501,2.6074002220017953,2.3781607489835555,383.51555418716987,124.92748644874,508.4430406359099,2.6074002083892815,2.3781607502085667
78,480.23497584313304,91.48992951388607,571.7249053570191,2.931922591574457,2.2619303288110437,480.2349758194612,91.48993274566135,571.7249085651226,2.93192260802627,2.261930329467805
79,456.12958548558515,94.88179937797439,551.0113848635596,2.825699409556716,2.3025384005168723,456.1295854745283,94.88180461268998,551.0113900872183,2.825699436344709,2.302538401031316
80,364.69064377731286,149.01630531066795,513.7069490879808,2.6343946107075937,2.28356759339059,364.6906437009585,149.0163037142982,513.7069474152568,2.6343946021295217,2.2835675942842926
81,409.55584201492815,126.75258892689588,536.308430941824,2.750299645855508,2.3453057558062342,409.55584196886696,126.75259017120808,536.3084321400751,2.750299652000385,2.345305756483642
82,394.57313812983557,118.96893275270138,513.5420708825369,2.633549081448907,2.3194277502184693,394.5731380973823,118.96893536955125,513.5420734669335,2.6335490947022233,2.3194277507795937
83,376.0993442227351,127.13176824240743,503.23111246514253,2.5806723716161155,2.2985398315295678,376.0993441673272,127.13176763372125,503.2311118010485,2.580672368210505,2.2985398324818624
84,469.03243179620085,104.01318333205892,573.0456151282598,2.938695462196204,2.238258423458844,469.0324317729803,104.01318709593798,573.0456188689183,2.938695481379068,2.2382584238390884
85,445.93037747156154,173.469971518446,619.4003489900075,3.1764120461026026,2.4168588514811833,445.930377287205,173.4699616862379,619.4003389734429,3.1764119947356044,2.4168588533902557
86,426.621584192314,136.1938029144555,562.8153871067695,2.88623275439369,2.3874493712024325,426.62158408656086,136.19379798697915,562.81538207354,2.8862327285822564,2.387449372607753
87,486.9137237251771,90.12552008681546,577.0392438119925,2.959175609292269,2.2835476782488184,486.9137237204486,90.12552657980129,577.0392503002499,2.959175642565384,2.283547678373806
88,364.0979611702301,107.54252701664483,471.64048818687496,2.4186691701891023,2.487191811188445,364.09796114302617,107.54252992697944,471.6404910700056,2.4186691849743878,2.487191812006604
89,438.7319013630132,122.95131566795138,561.6832170309646,2.8804267540049464,2.332997561950854,438.7319013468503,122.95132047493433,561.6832218217846,2.8804267785732547,2.33299756217401
90,414.7397330360001,126.32475350308518,541.0644865390852,2.7746896745594114,2.3602714495770427,414.7397329887415,126.3247545893177,541.0644875780592,2.774689679887483,2.360271450231273
91,456.9791636574654,102.49173608711295,559.4708997445783,2.8690815371516836,2.3569165726436423,456.9791636235935,102.49173829954809,559.4709019231416,2.869081548323803,2.356916573316084
92,377.86508571449076,92.53446101887278,470.39954673336354,2.4123053678634028,2.4829359981669974,377.8650857152504,92.53447032012208,470.3995560353725,2.4123054155660126,2.4829359981011243
93,399.19448065390316,98.52333907395224,497.7178197278554,2.5523990755274637,2.3873340807015895,399.1944806707023,98.52334960192759,497.7178302726299,2.5523991296032302,2.3873340802524887
94,408.2976770297727,94.33883361053974,502.6365106403124,2.5776231314887816,2.443813209650292,408.2976770237198,94.33883981416842,502.6365168378882,2.577623163271222,2.443813209867272
95,501.9062609564307,117.15173814978658,619.0579991062173,3.174656405672909,2.396828269359533,501.90626091348634,117.15173966861217,619.0580005820985,3.174656413241531,2.396828270002387
96,500.52993362240153,109.5339707531319,610.0639043755334,3.1285328429514534,2.3425733597674583,500.52993360911375,109.5339758708696,610.0639094799833,3.1285328691281196,2.342573359987098
97,462.06327396625136,115.48595776670604,577.5492317329574,2.9617909319638844,2.546555946729038,462.0632739210512,115.4859584818282,577.5492324028794,2.9617909353993817,2.546555947781767
98,424.1674317512144,100.18586593956702,524.3532976907815,2.6889912702091356,2.3807427878306417,424.16743172640827,100.18586955387735,524.3533012802857,2.6889912886168497,2.3807427883845262
99,364.9288770503476,97.41043352530696,462.3393105756545,2.3709708234648947,2.5426221050897926,364.9288770443767,97.41044059099234,462.339317635369,2.3709708596685592,2.542622105429848
100,381.1092287763729,101.73819524012072,482.8474240164936,2.4761406359820186,2.5611411101668757,381.10922877957944,101.73820420772073,482.8474329873002,2.4761406819861547,2.561141110041845
