R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,169.233,169.268,169.216,169.296,169.07,169.225,169.413,169.008,168.949,169.022,169.416,168.864,168.999,168.709,168.699,168.962,168.703,168.942,168.646,168.791,168.651,168.595,168.375,168.778,168.433,168.528,168.37,168.402,168.692,168.783,168.329,168.181,168.158,168.433,170.408,169.941,170.433,168.065,168.468,168.196,168.028,168.153,172.775,169.194,168.872,173.501,170.792,173.588,169.892,170.113,168.239,169.518,170.265,170.376,169.686,171.604,172.749,176.392,175.071,174.883,173.923,172.459,171.532,176.884,175.073,172.927,177.037,174.803,174.821,174.343,176.053,174.549,174.487,177.787,174.52,178.62,176.275,176.4,176.992,178.932,180.067,178.875,177.681,178.685,177.369,179.022,179.251,178.652,181.38,179.836,179.992,180.301,181.775,179.947,181.623,182.927,180.277,179.779,179.679,181.762
1.02261,170.135,170.171,170.117,170.201,169.965,170.127,170.324,169.899,169.838,169.914,170.327,169.754,169.893,169.597,169.586,169.86,169.591,169.831,169.533,169.683,169.55,169.487,169.274,169.673,169.339,169.428,169.265,169.303,169.593,169.69,169.218,169.079,169.052,169.334,171.341,170.874,171.365,168.97,169.372,169.102,168.929,169.055,173.74,170.107,169.794,174.478,171.737,174.57,170.836,171.049,169.159,170.453,171.208,171.319,170.618,172.562,173.713,177.396,176.073,175.869,174.909,173.42,172.49,177.906,176.073,173.905,178.025,175.811,175.831,175.333,177.066,175.552,175.489,178.82,175.515,179.626,177.297,177.419,178.011,179.933,181.085,179.872,178.701,179.669,178.416,180.089,180.234,179.706,182.38,180.855,181.038,181.31,182.731,180.968,182.678,183.971,181.375,180.818,180.726,182.773
1.04573,171.007,171.045,170.989,171.077,170.829,170.999,171.205,170.76,170.695,170.775,171.208,170.612,170.758,170.455,170.442,170.727,170.448,170.688,170.388,170.544,170.418,170.349,170.143,170.537,170.216,170.299,170.13,170.173,170.465,170.568,170.077,169.947,169.917,170.204,172.245,171.778,172.268,169.845,170.246,169.978,169.8,169.928,174.676,170.991,170.688,175.427,172.654,175.525,171.75,171.956,170.049,171.359,172.123,172.234,171.521,173.492,174.648,178.372,177.048,176.826,175.866,174.352,173.419,178.901,177.045,174.855,178.984,176.793,176.813,176.295,178.051,176.529,176.465,179.825,176.483,180.604,178.292,178.412,179.004,180.906,182.074,180.84,179.693,180.624,179.437,181.13,181.188,180.735,183.35,181.844,182.057,182.29,183.653,181.96,183.706,184.986,182.449,181.83,181.747,183.754
1.06937,171.847,171.885,171.827,171.92,171.66,171.839,172.054,171.588,171.52,171.604,172.057,171.438,171.589,171.279,171.265,171.561,171.272,171.513,171.21,171.372,171.255,171.178,170.98,171.369,171.061,171.138,170.963,171.012,171.305,171.415,170.902,170.784,170.749,171.043,173.119,172.652,173.139,170.689,171.089,170.822,170.64,170.769,175.583,171.843,171.552,176.346,173.541,176.45,172.635,172.833,170.909,172.235,173.008,173.118,172.394,174.391,175.554,179.318,177.993,177.754,176.795,175.254,174.319,179.868,177.987,175.775,179.912,177.746,177.767,177.228,179.008,177.476,177.411,180.802,177.421,181.55,179.258,179.375,179.968,181.846,183.033,181.776,180.655,181.547,180.43,182.145,182.108,181.736,184.287,182.803,183.046,183.238,184.54,182.921,184.704,185.97,183.497,182.812,182.738,184.702
1.09355,172.652,172.692,172.632,172.729,172.456,172.644,172.869,172.381,172.309,172.398,172.872,172.229,172.386,172.068,172.053,172.361,172.061,172.302,171.998,172.165,172.057,171.972,171.783,172.165,171.872,171.942,171.761,171.817,172.11,172.227,171.693,171.586,171.547,171.847,173.959,173.492,173.978,171.499,171.898,171.633,171.445,171.576,176.456,172.662,172.382,177.233,174.394,177.343,173.488,173.676,171.736,173.078,173.86,173.969,173.233,175.259,176.426,180.232,178.907,178.649,177.691,176.123,175.186,180.803,178.898,176.664,180.807,178.668,178.69,178.129,179.933,178.392,178.326,181.748,178.327,182.464,180.194,180.307,180.9,182.754,183.958,182.678,181.585,182.434,181.394,183.13,182.994,182.707,185.189,183.729,184.004,184.152,185.389,183.85,185.671,186.922,184.516,183.762,183.698,185.617
1.11827,173.42,173.461,173.399,173.502,173.214,173.411,173.648,173.136,173.061,173.154,173.651,172.982,173.145,172.82,172.803,173.124,172.812,173.054,172.747,172.92,172.821,172.729,172.549,172.925,172.646,172.709,172.522,172.584,172.878,173.003,172.446,172.351,172.308,172.614,174.763,174.298,174.78,172.272,172.67,172.407,172.214,172.347,177.295,173.444,173.176,178.085,175.213,178.201,174.305,174.484,172.528,173.886,174.678,174.786,174.037,176.091,177.264,181.112,179.788,179.51,178.553,176.957,176.018,181.705,179.775,177.518,181.666,179.556,179.58,178.996,180.825,179.275,179.208,182.66,179.2,183.342,181.096,181.206,181.798,183.625,184.847,183.544,182.482,183.285,182.325,184.083,183.843,183.645,186.054,184.62,184.929,185.03,186.197,184.743,186.603,187.837,185.505,184.679,184.625,186.494
1.14355,174.148,174.19,174.126,174.234,173.932,174.14,174.387,173.851,173.771,173.87,174.39,173.694,173.864,173.531,173.513,173.846,173.523,173.765,173.455,173.635,173.547,173.446,173.275,173.644,173.382,173.437,173.244,173.313,173.607,173.74,173.159,173.077,173.029,173.343,175.529,175.065,175.544,173.007,173.403,173.143,172.944,173.079,178.096,174.187,173.933,178.901,175.994,179.024,175.086,175.255,173.282,174.656,175.458,175.564,174.804,176.887,178.064,181.955,180.632,180.333,179.379,177.754,176.814,182.571,180.616,178.336,182.487,180.409,180.434,179.826,181.681,180.123,180.054,183.537,180.037,184.182,181.963,182.069,182.661,184.458,185.699,184.372,183.341,184.097,183.222,185.002,184.651,184.549,186.879,185.472,185.817,185.869,186.962,185.598,187.499,188.715,186.461,185.559,185.517,187.331
1.16941,174.833,174.877,174.811,174.924,174.608,174.825,175.084,174.522,174.439,174.542,175.087,174.363,174.54,174.199,174.179,174.526,174.191,174.432,174.121,174.307,174.23,174.12,173.959,174.321,174.076,174.123,173.922,173.999,174.294,174.435,173.83,173.761,173.708,174.029,176.255,175.791,176.267,173.7,174.095,173.837,173.632,173.768,178.857,174.889,174.648,179.676,176.735,179.806,175.826,175.984,173.995,175.386,176.197,176.303,175.53,177.642,178.824,182.759,181.438,181.117,180.165,178.51,177.569,183.398,181.418,179.115,183.266,181.224,181.25,180.617,182.498,180.932,180.861,184.376,180.834,184.981,182.791,182.893,183.484,185.249,186.51,185.157,184.162,184.866,184.082,185.885,185.417,185.416,187.66,186.284,186.667,186.666,187.679,186.413,188.357,189.553,187.383,186.4,186.369,188.127
1.19584,175.474,175.519,175.45,175.57,175.237,175.465,175.737,175.147,175.06,175.169,175.739,174.986,175.17,174.82,174.8,175.16,174.812,175.053,174.74,174.934,174.867,174.748,174.598,174.952,174.725,174.764,174.556,174.64,174.936,175.085,174.454,174.4,174.342,174.67,176.936,176.474,176.946,174.349,174.741,174.487,174.275,174.414,179.576,175.546,175.321,180.41,177.433,180.547,176.524,176.671,174.665,176.073,176.895,176.999,176.212,178.355,179.541,183.52,182.202,181.857,180.91,179.224,178.282,184.185,182.178,179.852,184.002,181.999,182.026,181.366,183.274,181.7,181.628,185.173,181.59,185.737,183.579,183.677,184.267,185.996,187.277,185.898,184.941,185.589,184.903,186.729,186.137,186.243,188.396,187.053,187.476,187.419,188.347,187.184,189.172,190.346,188.267,187.199,187.181,188.876
1.22288,176.065,176.112,176.04,176.166,175.817,176.057,176.342,175.724,175.631,175.746,176.344,175.56,175.751,175.392,175.37,175.746,175.384,175.625,175.309,175.511,175.456,175.327,175.189,175.534,175.327,175.356,175.141,175.233,175.529,175.688,175.029,174.99,174.927,175.263,177.571,177.111,177.579,174.95,175.34,175.089,174.871,175.011,180.249,176.155,175.947,181.098,178.085,181.243,177.177,177.311,175.289,176.715,177.546,177.649,176.849,179.023,180.213,184.236,182.922,182.553,181.609,179.892,178.95,184.927,182.894,180.544,184.691,182.729,182.758,182.071,184.006,182.424,182.351,185.927,182.301,186.446,184.324,184.417,185.005,186.696,187.998,186.592,185.675,186.264,185.681,187.531,186.808,187.028,189.082,187.775,188.24,188.125,188.962,187.909,189.943,191.093,189.111,187.953,187.949,189.578
1.25053,176.605,176.654,176.579,176.712,176.345,176.597,176.895,176.247,176.15,176.271,176.897,176.081,176.28,175.912,175.888,176.279,175.903,176.144,175.826,176.035,175.994,175.855,175.729,176.064,175.879,175.898,175.674,175.776,176.072,176.24,175.552,175.53,175.461,175.805,178.156,177.699,178.161,175.502,175.888,175.641,175.416,175.558,180.872,176.714,176.523,181.737,178.687,181.891,177.781,177.902,175.863,177.307,178.149,178.25,177.436,179.642,180.835,184.904,183.594,183.199,182.26,180.51,179.569,185.623,183.562,181.188,185.329,183.413,183.444,182.727,184.69,183.101,183.026,186.634,182.965,187.105,185.021,185.109,185.695,187.346,188.668,187.234,186.361,186.887,186.414,188.287,187.426,187.766,189.717,188.447,188.957,188.779,189.52,188.584,190.666,191.791,189.911,188.66,188.67,190.227
1.2788,177.095,177.145,177.068,177.209,176.821,177.087,177.401,176.718,176.614,176.743,177.403,176.55,176.757,176.382,176.356,176.764,176.372,176.609,176.293,176.511,176.489,176.336,176.231,176.547,176.394,176.4,176.167,176.28,176.573,176.753,176.032,176.034,175.957,176.308,178.695,178.246,178.696,176.021,176.4,176.16,175.928,176.071,181.435,177.233,177.068,182.314,179.246,182.478,178.351,178.452,176.412,177.866,178.712,178.812,177.986,180.213,181.398,185.501,184.196,183.774,182.848,181.071,180.141,186.242,184.159,181.778,185.903,184.036,184.068,183.317,185.298,183.717,183.641,187.259,183.563,187.695,185.645,185.724,186.308,187.93,189.272,187.813,186.971,187.45,187.074,188.96,187.987,188.418,190.295,189.05,189.597,189.369,190.038,189.189,191.314,192.426,190.63,189.29,189.308,190.814
1.30771,177.526,177.577,177.498,177.647,177.236,177.518,177.849,177.128,177.018,177.155,177.851,176.959,177.176,176.792,176.763,177.191,176.782,177.014,176.7,176.927,176.926,176.759,176.674,176.972,176.853,176.844,176.602,176.727,177.017,177.208,176.454,176.48,176.396,176.754,179.177,178.737,179.174,176.484,176.854,176.623,176.383,176.528,181.941,177.694,177.556,182.834,179.749,183.01,178.866,178.946,176.905,178.37,179.221,179.318,178.48,180.728,181.904,186.042,184.743,184.292,183.381,181.576,180.658,186.806,184.7,182.314,186.42,184.604,184.638,183.852,185.849,184.28,184.202,187.828,184.106,188.227,186.215,186.284,186.865,188.456,189.818,188.332,187.526,187.954,187.681,189.579,188.488,189.015,190.814,189.596,190.181,189.9,190.492,189.737,191.907,193.005,191.297,189.865,189.891,191.341
1.33728,177.895,177.946,177.864,178.023,177.589,177.887,178.236,177.475,177.358,177.503,178.237,177.305,177.53,177.138,177.107,177.554,177.128,177.354,177.044,177.28,177.301,177.119,177.057,177.333,177.251,177.227,176.975,177.112,177.399,177.603,176.812,176.865,176.773,177.139,179.598,179.168,179.592,176.887,177.247,177.026,176.778,176.924,182.387,178.094,177.986,183.295,180.193,183.482,179.323,179.381,177.34,178.815,179.671,179.765,178.916,181.185,182.35,186.523,185.231,184.749,183.854,182.021,181.117,187.312,185.182,182.791,186.874,185.115,185.151,184.328,186.342,184.784,184.705,188.339,184.59,188.697,186.726,186.784,187.362,188.92,190.302,188.789,188.02,188.394,188.231,190.141,188.926,189.554,191.268,190.079,190.706,190.368,190.878,190.223,192.44,193.522,191.909,190.379,190.415,191.805
1.36751,178.196,178.248,178.164,178.332,177.873,178.189,178.556,177.753,177.629,177.783,178.557,177.582,177.817,177.416,177.382,177.85,177.405,177.626,177.318,177.565,177.61,177.412,177.373,177.627,177.584,177.544,177.282,177.432,177.715,177.933,177.103,177.184,177.084,177.458,179.956,179.536,179.945,177.226,177.576,177.364,177.108,177.255,182.769,178.429,178.353,183.691,180.573,183.891,179.718,179.752,177.713,179.197,180.059,180.149,179.288,181.579,182.732,186.94,185.656,185.141,184.264,182.402,181.512,187.754,185.6,183.205,187.262,185.564,185.603,184.74,186.771,185.227,185.146,188.786,185.011,189.101,187.175,187.221,187.795,189.318,190.72,189.179,188.45,188.767,188.72,190.642,189.295,190.031,191.655,190.497,191.167,190.769,191.191,190.643,192.909,193.974,192.463,190.829,190.875,192.201
1.39843,178.425,178.479,178.392,178.571,178.084,178.418,178.806,177.959,177.827,177.991,178.807,177.786,178.032,177.621,177.585,178.074,177.61,177.825,177.52,177.778,177.847,177.632,177.62,177.849,177.848,177.79,177.518,177.682,177.96,178.193,177.322,177.434,177.324,177.706,180.244,179.836,180.229,177.496,177.834,177.634,177.369,177.518,183.082,178.694,178.652,184.02,180.886,184.233,180.047,180.056,178.019,179.513,180.379,180.466,179.592,181.905,183.045,187.288,186.014,185.465,184.606,182.714,181.841,188.129,185.951,183.553,187.58,185.947,185.989,185.084,187.132,185.604,185.521,189.165,185.364,189.434,187.557,187.592,188.161,189.644,191.068,189.498,188.812,189.067,189.145,191.078,189.591,190.442,191.968,190.845,191.561,191.099,191.427,190.993,193.309,194.356,192.955,191.211,191.267,192.525
1.43004,178.578,178.633,178.543,178.733,178.218,178.572,178.98,178.086,177.946,178.12,178.981,177.912,178.169,177.748,177.709,178.222,177.737,177.945,177.644,177.913,178.009,177.776,177.791,177.995,178.038,177.962,177.678,177.857,178.131,178.378,177.465,177.609,177.49,177.88,180.459,180.064,180.439,177.693,178.019,177.83,177.557,177.706,183.322,178.886,178.879,184.276,181.126,184.503,180.305,180.287,178.253,179.758,180.628,180.711,179.825,182.16,183.285,187.563,186.299,185.714,184.876,182.953,182.097,188.432,186.229,183.829,187.823,186.26,186.305,185.357,187.422,185.91,185.826,189.473,185.646,189.692,187.868,187.89,188.454,189.895,191.341,189.74,189.101,189.289,189.5,191.445,189.809,190.782,192.204,191.117,191.882,191.352,191.581,191.268,193.637,194.663,193.379,191.52,191.588,192.77
1.46237,178.649,178.706,178.613,178.814,178.269,178.643,179.074,178.13,177.982,178.167,179.074,177.955,178.224,177.793,177.751,178.287,177.781,177.982,177.685,177.966,178.09,177.839,177.882,178.058,178.149,178.053,177.757,177.952,178.221,178.484,177.526,177.704,177.575,177.974,180.595,180.214,180.57,177.811,178.124,177.948,177.665,177.815,183.483,178.998,179.029,184.454,181.289,184.695,180.487,180.44,178.412,179.926,180.801,180.88,179.98,182.337,183.447,187.76,186.508,185.884,185.068,183.114,182.278,188.658,186.43,184.03,187.984,186.499,186.546,185.551,187.633,186.141,186.055,189.703,185.851,189.87,188.104,188.111,188.67,190.065,191.533,189.901,189.312,189.43,189.782,191.738,189.945,191.047,192.356,191.309,192.126,191.524,191.645,191.463,193.887,194.891,193.732,191.751,191.83,192.933
1.49544,178.633,178.691,178.595,178.808,178.232,178.628,179.081,178.086,177.928,178.124,179.081,177.909,178.191,177.748,177.703,178.265,177.736,177.929,177.637,177.93,178.085,177.813,177.888,178.034,178.176,178.059,177.75,177.962,178.225,178.505,177.499,177.714,177.574,177.983,180.647,180.281,180.617,177.846,178.144,177.982,177.688,177.84,183.56,179.025,179.097,184.548,181.37,184.806,180.589,180.511,178.489,180.013,180.892,180.966,180.053,182.433,183.524,187.873,186.635,185.97,185.179,183.191,182.376,188.802,186.549,184.149,188.06,186.657,186.707,185.664,187.763,186.292,186.204,189.851,185.974,189.962,188.258,188.25,188.803,190.148,191.64,189.975,189.439,189.482,189.984,191.951,189.991,191.231,192.419,191.416,192.287,191.608,191.615,191.572,194.054,195.033,194.009,191.899,191.991,193.008
1.52925,178.86,178.918,178.82,179.049,178.434,178.856,179.337,178.279,178.11,178.321,179.336,178.103,178.398,177.945,177.896,178.488,177.933,178.114,177.831,178.138,178.331,178.035,178.149,178.257,178.461,178.32,177.995,178.228,178.482,178.781,177.722,177.981,177.829,178.247,180.945,180.599,180.907,178.142,178.422,178.277,177.973,178.125,183.864,179.304,179.426,184.866,181.697,185.14,180.945,180.833,178.832,180.356,181.234,181.303,180.379,182.77,183.829,188.198,186.975,186.267,185.511,183.498,182.715,189.151,186.878,184.499,188.355,187.037,187.09,185.993,188.096,186.665,186.576,190.195,186.315,190.264,188.618,188.592,189.138,190.447,191.96,190.266,189.77,189.755,190.393,192.357,190.262,191.604,192.709,191.733,192.65,191.908,191.829,191.891,194.425,195.395,194.482,192.249,192.346,193.299
1.56382,179.066,179.123,179.023,179.268,178.612,179.063,179.573,178.449,178.266,178.494,179.571,178.272,178.581,178.119,178.065,178.689,178.106,178.273,178.001,178.323,178.558,178.235,178.393,178.458,178.729,178.562,178.222,178.476,178.72,179.04,177.924,178.231,178.066,178.493,181.223,180.901,181.178,178.424,178.683,178.557,178.242,178.395,184.146,179.565,179.74,185.16,182.006,185.453,181.288,181.137,179.163,180.685,181.561,181.623,180.689,183.089,184.11,188.497,187.29,186.537,185.82,183.782,183.036,189.474,187.182,184.83,188.623,187.397,187.453,186.299,188.402,187.017,186.927,190.51,186.632,190.538,188.954,188.906,189.445,190.718,192.252,190.528,190.074,190.001,190.779,192.736,190.506,191.949,192.97,192.02,192.984,192.179,192.015,192.18,194.767,195.73,194.93,192.57,192.671,193.561
