R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,180.61,177.582,180.728,184.908,179.616,183.049,181.963,180.696,178.192,181.518,181.306,179.907,177.735,178.958,179.002,179.679,179.632,180.782,180.566,180.954,178.112,178.443,178.126,180.152,176.052,179.477,177.257,177.577,179.73,178.911,179.35,177.008,178.867,177.983,178.477,177.092,178.5,176.329,178.012,178.14,177.32,178.368,180.868,179.563,177.192,180.96,178.709,179.1,175.561,177.765,176.209,176.785,176.666,178.381,176.637,179.184,181.174,181.609,180.899,183.605,180.864,182.768,178.627,181.649,180.956,178.57,183.986,179.505,179.402,180.999,182.759,178.957,179.517,182.658,180.972,183.775,180.904,183.291,184.866,184.812,184.703,185.233,184.403,184.809,180.095,182.191,185.919,183.553,185.917,184.188,183.898,187.267,188.887,185.113,184.572,186.592,182.708,184.16,184.847,186.833
1.02261,181.817,178.751,181.942,186.159,180.797,184.279,183.212,181.884,179.347,182.712,182.543,181.082,178.896,180.118,180.162,180.867,180.798,181.969,181.738,182.142,179.278,179.601,179.282,181.339,177.192,180.656,178.4,178.732,180.901,180.09,180.506,178.149,180.018,179.144,179.645,178.236,179.655,177.466,179.175,179.293,178.464,179.526,182.061,180.736,178.346,182.145,179.87,180.253,176.679,178.921,177.339,177.917,177.801,179.528,177.759,180.351,182.343,182.778,182.074,184.798,182.045,183.942,179.773,182.824,182.122,179.708,185.161,180.661,180.555,182.159,183.948,180.096,180.668,183.831,182.143,184.926,182.061,184.485,186.065,185.972,185.859,186.394,185.591,185.961,181.236,183.364,187.076,184.739,187.055,185.339,185.068,188.435,190.013,186.277,185.728,187.756,183.891,185.329,186.027,187.977
1.04573,182.986,179.882,183.117,187.369,181.938,185.469,184.42,183.032,180.461,183.865,183.74,182.217,180.018,181.238,181.282,182.016,181.925,183.116,182.868,183.29,180.405,180.721,180.4,182.486,178.295,181.798,179.506,179.848,182.034,181.232,181.623,179.251,181.132,180.267,180.775,179.346,180.774,178.565,180.3,180.408,179.571,180.648,183.218,181.871,179.464,183.295,180.997,181.373,177.762,180.04,178.432,179.014,178.901,180.642,178.846,181.484,183.477,183.914,183.216,185.955,183.19,185.08,180.884,183.967,183.254,180.813,186.301,181.785,181.674,183.285,185.103,181.204,181.788,184.97,183.281,186.045,183.187,185.647,187.233,187.099,186.982,187.522,186.746,187.079,182.348,184.507,188.198,185.897,188.158,186.455,186.206,189.568,191.099,187.407,186.853,188.887,185.046,186.468,187.177,189.087
1.06937,184.113,180.972,184.249,188.537,183.038,186.617,185.587,184.139,181.536,184.978,184.895,183.312,181.1,182.318,182.361,183.122,183.011,184.221,183.958,184.396,181.493,181.8,181.479,183.592,179.359,182.899,180.573,180.925,183.128,182.335,182.699,180.316,182.206,181.351,181.869,180.418,181.854,179.627,181.387,181.484,180.64,181.731,184.339,182.966,180.546,184.409,182.087,182.458,178.81,181.123,179.488,180.075,179.966,181.718,179.897,182.579,184.576,185.014,184.324,187.077,184.302,186.182,181.961,185.077,184.351,181.883,187.404,182.876,182.761,184.377,186.225,182.278,182.873,186.078,184.384,187.127,184.28,186.773,188.366,188.188,188.071,188.612,187.865,188.16,183.429,185.62,189.282,187.022,189.225,187.538,187.311,190.665,192.146,188.501,187.945,189.984,186.173,187.572,188.293,190.16
1.09355,185.221,182.044,185.363,189.686,184.118,187.745,186.736,185.226,182.589,186.071,186.032,184.385,182.162,183.375,183.419,184.21,184.076,185.305,185.027,185.48,182.559,182.857,182.537,184.676,180.402,183.978,181.617,181.981,184.2,183.416,183.754,181.358,183.257,182.413,182.941,181.469,182.914,180.667,182.452,182.539,181.686,182.791,185.438,184.041,181.605,185.502,183.154,183.521,179.837,182.184,180.523,181.113,181.009,182.771,180.923,183.654,185.65,186.092,185.41,188.176,185.391,187.26,183.014,186.164,185.426,182.93,188.484,183.945,183.826,185.446,187.324,183.329,183.935,187.161,185.465,188.185,185.35,187.878,189.475,189.253,189.133,189.677,188.961,189.213,184.487,186.71,190.34,188.124,190.264,188.594,188.392,191.736,193.163,189.572,189.013,191.055,187.276,188.652,189.385,191.206
1.11827,186.364,183.15,186.514,190.871,185.228,188.908,187.929,186.342,183.671,187.192,187.212,185.487,183.255,184.46,184.503,185.33,185.167,186.42,186.12,186.594,183.654,183.942,183.618,185.791,181.469,185.085,182.686,183.062,185.296,184.526,184.83,182.422,184.33,183.502,184.037,182.54,183.992,181.727,183.543,183.614,182.753,183.875,186.559,185.138,182.686,186.611,184.24,184.594,180.874,183.265,181.572,182.165,182.067,183.839,181.962,184.744,186.738,187.181,186.508,189.288,186.495,188.349,184.077,187.26,186.508,183.983,189.574,185.02,184.895,186.521,188.433,184.384,185.003,188.247,186.555,189.245,186.422,188.991,190.591,190.321,190.196,190.746,190.064,190.273,185.539,187.799,191.403,189.226,191.302,189.651,189.474,192.806,194.178,190.642,190.075,192.124,188.374,189.734,190.476,192.248
1.14355,187.457,184.206,187.614,192.005,186.289,190.022,189.07,187.409,184.702,188.264,188.34,186.539,184.298,185.495,185.538,186.399,186.209,187.484,187.163,187.657,184.701,184.977,184.651,186.856,182.49,186.144,183.707,184.095,186.344,185.588,185.858,183.439,185.354,184.543,185.086,183.564,185.024,182.742,184.586,184.642,183.774,184.912,187.635,186.188,183.722,187.677,185.281,185.626,181.868,184.301,182.576,183.172,183.08,184.86,182.957,185.791,187.781,188.227,187.562,190.354,187.555,189.393,185.098,188.315,187.549,184.995,190.619,186.054,185.924,187.553,189.499,185.398,186.03,189.293,187.604,190.261,187.454,190.062,191.667,191.345,191.216,191.77,191.123,191.287,186.554,188.849,192.419,190.29,192.295,190.664,190.515,193.832,195.144,191.669,191.098,193.15,189.436,190.773,191.527,193.244
1.16941,188.497,185.211,188.663,193.086,187.298,191.082,190.159,188.423,185.682,189.283,189.416,187.539,185.29,186.478,186.52,187.417,187.199,188.496,188.156,188.669,185.697,185.961,185.634,187.871,183.461,187.152,184.676,185.078,187.341,186.6,186.836,184.406,186.328,185.533,186.087,184.541,186.008,183.707,185.58,185.621,184.744,185.897,188.663,187.189,184.708,188.695,186.275,186.612,182.816,185.289,183.533,184.132,184.046,185.837,183.905,186.79,188.778,189.228,188.573,191.376,188.57,190.391,186.072,189.325,188.545,185.962,191.616,187.046,186.909,188.541,190.521,186.369,187.013,190.296,188.606,191.231,188.442,191.088,192.696,192.322,192.191,192.747,192.138,192.253,187.529,189.859,193.387,191.312,193.241,191.633,191.513,194.812,196.057,192.651,192.078,194.133,190.46,191.769,192.534,194.196
1.19584,189.485,186.163,189.657,194.114,188.253,192.089,191.194,189.382,186.608,190.249,190.437,188.485,186.228,187.407,187.45,188.38,188.135,189.453,189.094,189.628,186.639,186.892,186.565,188.83,184.38,188.108,185.594,186.008,188.287,187.558,187.76,185.321,187.251,186.471,187.037,185.467,186.941,184.621,186.52,186.549,185.663,186.833,189.642,188.137,185.645,189.666,187.219,187.551,183.716,186.227,184.441,185.044,184.966,186.764,184.803,187.741,189.726,190.181,189.536,192.347,189.537,191.341,186.999,190.29,189.494,186.882,192.564,187.992,187.85,189.481,191.496,187.294,187.95,191.252,189.563,192.153,189.385,192.068,193.68,193.251,193.118,193.675,193.106,193.168,188.461,190.827,194.305,192.29,194.136,192.554,192.466,195.742,196.917,193.585,193.012,195.067,191.444,192.719,193.497,195.096
1.22288,190.415,187.058,190.593,195.084,189.151,193.039,192.172,190.287,187.478,191.158,191.403,189.375,187.11,188.28,188.323,189.288,189.015,190.353,189.975,190.53,187.526,187.766,187.441,189.734,185.246,189.007,186.457,186.884,189.176,188.463,188.629,186.181,188.118,187.354,187.934,186.343,187.822,185.481,187.407,187.423,186.529,187.713,190.569,189.031,186.529,190.585,188.111,188.44,184.566,187.112,185.297,185.905,185.832,187.64,185.651,188.641,190.623,191.083,190.45,193.269,190.453,192.239,187.875,191.206,190.394,187.752,193.461,188.889,188.743,190.373,192.422,188.171,188.84,192.161,190.469,193.025,190.282,193,194.614,194.128,193.995,194.551,194.025,194.031,189.347,191.749,195.169,193.221,194.978,193.425,193.37,196.622,197.72,194.468,193.899,195.951,192.384,193.62,194.412,195.946
