R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,166.472,174.396,187.824,190.82,158.653,181.551,199.91,174.086,156.234,171.635,185.045,173.551,170.896,170.507,172.804,176.313,175.334,179.351,179.738,184.142,177.823,174.912,177.094,183.283,171.756,184.408,174.833,177.048,183.532,186.934,181.422,178.872,182.359,179.039,176.787,175.132,175.824,176.92,181.747,185.592,184.549,186.902,181.99,193.324,187.519,183.226,188.231,172.597,175.189,182.694,185.301,185.249,181.628,186.918,181.636,190.792,189.196,178.45,181.024,188.672,186.401,195.582,191.832,181.495,182.987,186.976,187.405,185.67,189.013,190.115,188.154,183.463,187.822,186.807,192.426,184.077,190.962,194.954,200.24,188.752,189.84,192.768,194.502,189.827,182.631,186.847,194.381,197.13,187.474,187.067,191.42,202.876,195.206,197.531,186.526,189.564,193.628,192.278,201.014,198.713
7.79,0.421,290.107,302.811,327.165,332.911,276.325,316.536,348.494,303.148,271.986,298.98,322.434,302.28,297.522,296.983,301.037,307.109,305.504,312.58,313.376,320.972,309.914,304.769,308.724,319.593,299.07,321.759,304.801,308.628,320.271,326.09,316.618,312.007,318.31,312.315,308.201,305.373,306.703,308.719,317.207,324.054,322.242,326.303,317.674,337.695,327.498,319.989,328.72,301.29,305.891,318.989,323.666,323.704,317.235,326.739,317.368,333.426,330.693,311.562,316.154,329.772,325.734,342.207,335.453,317.022,319.9,327.009,327.584,324.592,330.597,332.64,329.061,320.931,328.545,326.867,336.631,322.004,334.222,341.246,350.54,330.155,332.142,337.303,340.304,332.084,319.684,327.009,340.183,345.332,328.052,327.426,334.983,355.436,341.83,345.873,326.479,331.713,339.211,336.675,352.264,348.196
7.79,0.516,401.742,418.097,452.543,460.961,382.634,438.225,482.136,419.429,376.544,413.803,446.149,418.302,411.652,411.03,416.658,424.965,422.854,432.667,433.881,444.245,429.001,421.851,427.437,442.471,413.816,445.658,422.069,427.294,443.651,451.544,438.656,432.144,441.04,432.588,426.738,422.904,424.86,427.745,439.493,449.051,446.571,452.109,440.182,467.981,453.881,443.528,455.535,417.635,424.046,442.082,448.638,448.827,439.777,453.126,440.074,462.262,458.549,431.838,438.259,457.274,451.65,474.776,465.27,439.504,443.736,453.674,454.291,450.215,458.654,461.576,456.493,445.36,455.851,453.628,467.04,446.834,463.867,473.601,486.456,458.047,460.88,468.032,472.135,460.767,443.853,453.904,472.074,479.51,455.294,454.515,464.883,493.499,474.546,480.099,453.215,460.348,471.074,467.406,489.211,483.559
7.79,0.621,538.099,558.198,605.004,616.819,512.628,586.483,644.472,561.108,504.414,553.818,596.711,559.715,550.814,550.118,557.634,568.56,565.891,578.98,580.736,594.321,574.142,564.577,572.154,592.155,553.693,596.648,565.108,571.958,594.042,604.33,587.482,578.646,590.71,579.269,571.267,566.27,569.028,573.004,588.639,601.449,598.194,605.443,589.609,626.709,607.971,594.251,610.111,559.783,568.37,592.246,601.06,601.504,589.35,607.357,589.875,619.359,614.501,578.666,587.287,612.803,605.289,636.486,623.634,589.017,594.963,608.321,608.903,603.577,614.978,618.98,612.044,597.391,611.287,608.458,626.185,599.33,622.166,635.142,652.227,614.159,618.046,627.573,632.955,617.861,595.68,608.943,633.038,643.336,610.721,609.802,623.478,661.959,636.581,643.91,608.094,617.431,632.165,627.079,656.389,648.838
7.79,0.726,687.328,710.687,770.956,786.597,655.125,748.203,820.876,715.737,644.63,706.767,760.729,714.116,702.835,702.104,711.629,725.254,722.065,738.629,741.024,757.913,732.575,720.438,730.178,755.421,706.467,761.407,721.415,729.929,758.2,770.924,750.036,738.671,754.178,739.489,729.122,722.95,726.622,731.814,751.548,767.837,763.79,772.784,752.847,799.818,776.199,758.953,778.826,715.423,726.334,756.317,767.562,768.367,752.888,775.918,753.707,790.88,784.853,739.258,750.229,782.702,773.188,813.096,796.631,752.518,760.407,777.442,777.877,771.289,785.899,791.076,782.104,763.811,781.277,777.861,800.103,766.223,795.284,811.693,833.238,784.834,789.901,801.936,808.629,789.627,762.025,778.638,808.95,822.46,780.786,779.777,796.902,845.979,813.735,822.928,777.657,789.246,808.427,801.75,839.123,829.551
7.79,0.84,862.157,888.535,964.262,984.403,822.366,936.942,1025.96,896.359,809.272,885.579,951.959,894.53,880.643,879.838,891.637,908.259,904.514,925.011,928.156,948.674,917.621,902.555,914.761,945.916,885.058,953.67,904.137,914.47,949.803,965.195,939.879,925.609,945.057,926.677,913.558,906.095,910.851,917.482,941.836,962.027,957.129,968.02,943.52,1001.6,972.524,951.332,975.645,897.615,911.155,947.97,961.93,963.233,944.013,972.741,945.164,990.989,983.655,927.024,940.641,980.99,969.258,1019.08,998.497,943.613,953.766,974.983,975.175,967.226,985.504,992.013,980.694,958.373,979.828,975.786,1003.1,961.286,997.428,1017.73,1044.25,984.115,990.575,1005.42,1013.54,990.208,956.618,976.957,1014.24,1031.48,979.507,978.436,999.4,1060.51,1020.51,1031.77,975.878,989.936,1014.26,1005.74,1052.26,1040.41
7.79,0.944,1032.53,1061.19,1151.6,1176.09,985.648,1120.17,1224.29,1071.89,970.103,1059.48,1137.44,1069.91,1053.68,1052.74,1066.68,1086.07,1081.82,1106.02,1109.88,1133.71,1097.41,1079.57,1094.1,1130.79,1058.75,1140.27,1081.81,1093.79,1135.8,1153.63,1124.27,1107.24,1130.42,1108.58,1092.81,1084.16,1089.97,1098.02,1126.69,1150.5,1144.85,1157.45,1128.75,1197.2,1163.06,1138.2,1166.59,1074.98,1090.98,1134.15,1150.61,1152.46,1129.76,1163.83,1131.21,1185.12,1176.56,1109.6,1125.68,1173.41,1159.65,1218.82,1194.34,1129.34,1141.66,1166.81,1166.73,1157.56,1179.31,1187.05,1173.5,1147.48,1172.64,1168.03,1200.08,1150.83,1193.65,1217.6,1248.75,1177.57,1185.39,1202.85,1212.26,1184.95,1145.85,1169.64,1213.41,1234.23,1172.54,1171.45,1195.97,1268.41,1221.12,1234.3,1168.51,1184.82,1214.07,1203.78,1258.9,1244.91
7.79,1.054,1223.62,1254.18,1360.57,1389.86,1169.12,1324.88,1445.06,1268.24,1150.94,1254.15,1344.51,1266.15,1247.51,1246.37,1262.6,1284.93,1280.17,1308.36,1313.02,1340.31,1298.49,1277.64,1294.67,1337.32,1253.21,1348.73,1280.68,1294.38,1343.6,1363.99,1330.42,1310.38,1337.61,1312.03,1293.34,1283.46,1290.44,1300.07,1333.39,1361.05,1354.64,1369,1335.86,1415.43,1375.89,1347.13,1379.8,1273.73,1292.38,1342.32,1361.44,1363.96,1337.55,1377.37,1339.3,1401.89,1392.01,1313.95,1332.65,1388.33,1372.44,1441.72,1413.05,1337.14,1351.81,1381.25,1380.77,1370.38,1395.91,1404.96,1388.96,1359.05,1388.14,1382.95,1420.11,1362.81,1412.89,1440.8,1476.84,1393.7,1403.06,1423.32,1434.05,1402.56,1357.65,1385.11,1435.83,1460.58,1388.38,1387.31,1415.61,1500.28,1445.14,1460.37,1384,1402.64,1437.29,1425.07,1489.47,1473.18
8.17,0.292,141.861,150.552,160.899,160.682,134.457,153.371,171.48,147.229,132.99,144.684,158.135,146.996,148.401,144.294,146.503,149.845,148.39,152.879,151.956,155.835,152.057,148.27,149.408,156.404,146.098,156.836,148.663,149.915,155.303,159.654,153.881,151.839,153.953,152.614,149.897,147.968,148.311,150.005,155.07,156.734,156.744,158.457,155.016,164.968,159.876,155.157,159.578,145.518,147.601,155.495,155.68,155.904,154.15,157.097,152.485,162.14,159.126,151.433,152.672,158.529,157.807,164.246,161.751,154.082,153.563,156.914,157.949,156.812,159.47,159.379,158.062,153.677,157.728,156.167,162.549,153.702,160.182,164.242,168.391,158.102,159.496,161.858,163.008,160.102,152.559,156.765,164.007,165.036,157.665,157.082,161.359,170.266,163.983,166.195,157.032,159.739,162.069,161.698,168.362,166.388
8.17,0.414,251.579,266.257,285.417,285.421,238.249,272.21,304.488,260.9,235.521,256.41,280.595,260.556,262.971,255.724,259.733,265.709,263.132,271.214,269.66,276.534,269.745,262.941,265.047,277.61,258.931,278.538,263.759,265.989,275.824,283.505,273.309,269.538,273.478,270.949,265.978,262.55,263.241,266.382,275.476,278.53,278.571,281.572,275.417,293.35,284.231,275.811,283.653,258.443,262.223,276.349,276.728,277.267,274.065,279.493,271.1,288.462,283.1,269.099,271.364,282.018,280.735,292.562,287.966,273.96,273.176,279.292,281.043,279.073,283.957,283.812,281.355,273.538,280.809,278.041,289.544,273.539,285.347,292.717,300.158,281.431,284.038,288.292,290.3,285.139,271.692,279.227,292.258,294.301,280.819,279.831,287.486,303.745,292.34,296.293,279.779,284.57,289.005,288.235,300.382,296.807
