R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,190.948,191.399,191.877,192.639,189.089,191.446,194.481,189.051,188.123,189.006,193.491,188.205,189.762,187.12,187.212,189.445,187.321,189.143,187.184,188.452,187.862,186.928,185.746,188.712,186.288,187.405,185.817,186.139,186.439,187.831,185.656,184.876,184.675,186.651,187.458,185.43,185.79,184.278,186.536,184.3,184.367,185.153,189.115,186.484,185.193,188.043,185.675,186.56,182.916,185.875,181.999,182.732,184.388,183.662,182.308,186.1,185.827,189.331,187.711,187.962,187.582,185.508,183.968,189.148,186.392,183.844,189.534,186.179,185.581,185.174,187.647,184.601,185.058,187.341,186.453,188.398,185.784,187.723,188.208,189.363,189.901,189.417,188.35,189.916,185.669,187.818,190.512,187.4,191.279,189.322,189.541,189.889,192.052,189.436,190.363,192.572,187.876,189.159,188.155,190.156
1.02261,192.144,192.603,193.079,193.849,190.262,192.645,195.712,190.219,189.282,190.174,194.715,189.365,190.94,188.268,188.36,190.624,188.471,190.31,188.331,189.614,189.027,188.079,186.892,189.88,187.446,188.566,186.96,187.291,187.589,189,186.79,186.012,185.805,187.806,188.632,186.586,186.943,185.415,187.692,185.435,185.501,186.295,190.309,187.638,186.345,189.227,186.833,187.733,184.052,187.035,183.12,183.861,185.536,184.799,183.428,187.265,186.982,190.524,188.897,189.137,188.764,186.658,185.108,190.349,187.56,184.986,190.705,187.355,186.75,186.326,188.83,185.756,186.218,188.518,187.622,189.553,186.95,188.907,189.391,190.521,191.067,190.572,189.528,191.068,186.843,189.018,191.662,188.586,192.43,190.486,190.73,191.043,193.165,190.6,191.552,193.761,189.09,190.339,189.33,191.297
1.04573,193.316,193.783,194.258,195.036,191.41,193.819,196.919,191.363,190.415,191.318,195.916,190.499,192.096,189.392,189.483,191.778,189.595,191.45,189.452,190.753,190.168,189.205,188.014,191.024,188.582,189.704,188.079,188.417,188.716,190.146,187.9,187.124,186.911,188.937,189.782,187.718,188.073,186.528,188.824,186.546,186.61,187.414,191.479,188.768,187.475,190.389,187.968,188.882,185.164,188.171,184.217,184.966,186.66,185.913,184.523,188.407,188.112,191.692,190.061,190.288,189.922,187.784,186.224,191.527,188.704,186.103,191.852,188.509,187.896,187.453,189.99,186.888,187.356,189.671,188.768,190.684,188.092,190.07,190.551,191.656,192.209,191.702,190.682,192.194,187.995,190.195,192.788,189.75,193.555,191.622,191.896,192.171,194.248,191.739,192.716,194.925,190.282,191.496,190.483,192.411
1.06937,194.462,194.937,195.41,196.197,192.532,194.969,198.102,192.482,191.523,192.436,197.093,191.607,193.225,190.489,190.58,192.905,190.693,192.566,190.546,191.864,191.284,190.304,189.109,192.142,189.692,190.816,189.171,189.519,189.817,191.268,188.983,188.211,187.99,190.043,190.908,188.826,189.176,187.616,189.931,187.631,187.694,188.506,192.626,189.873,188.58,191.526,189.078,190.007,186.251,189.283,185.289,186.046,187.76,187.001,185.593,189.523,189.218,192.836,191.199,191.415,191.057,188.884,187.316,192.681,189.823,187.195,192.972,189.638,189.018,188.556,191.125,187.995,188.468,190.799,189.889,191.786,189.209,191.206,191.687,192.761,193.324,192.805,191.81,193.293,189.121,191.35,193.884,190.89,194.65,192.733,193.036,193.271,195.3,192.851,193.854,196.062,191.452,192.627,191.609,193.495
1.09355,195.581,196.066,196.536,197.331,193.626,196.09,199.257,193.572,192.603,193.527,198.242,192.688,194.327,191.558,191.648,194.006,191.763,193.652,191.613,192.948,192.372,191.376,190.177,193.231,190.774,191.9,190.236,190.593,190.889,192.361,190.037,189.269,189.042,191.12,192.006,189.906,190.253,188.676,191.01,188.689,188.749,189.571,193.745,190.95,189.658,192.636,190.16,191.105,187.311,190.367,186.333,187.098,188.832,188.061,186.634,190.613,190.295,193.953,192.312,192.514,192.164,189.956,188.379,193.809,190.915,188.26,194.064,190.741,190.113,189.631,192.233,189.074,189.553,191.901,190.983,192.861,190.299,192.316,192.796,193.839,194.41,193.877,192.911,194.361,190.223,192.478,194.951,192.003,195.715,193.815,194.149,194.341,196.319,193.934,194.965,197.171,192.596,193.729,192.708,194.551
1.11827,196.671,197.164,197.632,198.437,194.69,197.182,200.385,194.632,193.652,194.586,199.364,193.738,195.398,192.596,192.686,195.077,192.803,194.709,192.648,194.001,193.429,192.417,191.215,194.291,191.827,192.954,191.27,191.636,191.931,193.425,191.061,190.297,190.063,192.168,193.075,190.958,191.299,189.705,192.06,189.717,189.774,190.606,194.835,191.997,190.705,193.716,191.214,192.173,188.341,191.421,187.348,188.12,189.876,189.092,187.646,191.673,191.343,195.04,193.396,193.584,193.242,190.999,189.413,194.908,191.977,189.295,195.125,191.814,191.18,190.677,193.313,190.125,190.61,192.972,192.048,193.904,191.36,193.398,193.874,194.884,195.464,194.919,193.983,195.398,191.295,193.578,195.985,193.087,196.748,194.866,195.232,195.379,197.302,194.986,196.044,198.248,193.713,194.802,193.778,195.572
1.14355,197.728,198.23,198.696,199.51,195.722,198.243,201.48,195.659,194.667,195.614,200.453,194.754,196.438,193.601,193.69,196.115,193.809,195.732,193.649,195.021,194.455,193.426,192.22,195.318,192.848,193.976,192.272,192.647,192.941,194.457,192.051,191.293,191.05,193.184,194.112,191.977,192.314,190.703,193.077,190.713,190.767,191.609,195.894,193.012,191.722,194.767,192.236,193.212,189.341,192.445,188.331,189.11,190.888,190.091,188.626,192.703,192.359,196.097,194.449,194.621,194.29,192.01,190.416,195.976,193.009,190.299,196.153,192.858,192.215,191.69,194.362,191.146,191.636,194.013,193.082,194.914,192.39,194.448,194.923,195.896,196.485,195.927,195.022,196.4,192.337,194.648,196.984,194.141,197.745,195.882,196.283,196.383,198.247,196.004,197.092,199.291,194.8,195.843,194.816,196.557
1.16941,198.752,199.264,199.727,200.549,196.719,199.268,202.543,196.651,195.648,196.606,201.509,195.736,197.443,194.572,194.659,197.119,194.781,196.72,194.617,196.007,195.447,194.4,193.19,196.31,193.835,194.964,193.238,193.624,193.917,195.455,193.007,192.254,192.004,194.165,195.117,192.963,193.294,191.666,194.061,191.674,191.726,192.576,196.92,193.992,192.705,195.783,193.224,194.215,190.305,193.434,189.279,190.067,191.865,191.056,189.571,193.698,193.341,197.12,195.469,195.626,195.303,192.986,191.383,197.011,194.007,191.269,197.146,193.868,193.217,192.67,195.377,192.132,192.627,195.021,194.082,195.888,193.386,195.464,195.936,196.871,197.47,196.897,196.027,197.365,193.346,195.686,197.946,195.162,198.703,196.863,197.301,197.35,199.149,196.987,198.106,200.299,195.857,196.849,195.818,197.506
1.19584,199.739,200.261,200.72,201.553,197.679,200.258,203.57,197.605,196.591,197.561,202.53,196.68,198.41,195.503,195.592,198.086,195.714,197.67,195.545,196.956,196.4,195.335,194.124,197.266,194.786,195.915,194.167,194.564,194.855,196.416,193.924,193.178,192.919,195.11,196.084,193.912,194.238,192.592,195.006,192.598,192.647,193.508,197.911,194.936,193.652,196.764,194.177,195.184,191.234,194.388,190.191,190.986,192.807,191.984,190.479,194.658,194.286,198.106,196.454,196.592,196.282,193.926,192.315,198.011,194.969,192.203,198.101,194.844,194.185,193.613,196.356,193.083,193.584,195.991,195.047,196.823,194.347,196.446,196.915,197.807,198.416,197.828,196.996,198.29,194.32,196.689,198.867,196.147,199.621,197.806,198.282,198.277,200.007,197.93,199.081,201.267,196.88,197.818,196.785,198.412
1.22288,200.687,201.219,201.674,202.517,198.599,201.209,204.559,198.521,197.494,198.476,203.513,197.584,199.338,196.395,196.482,199.014,196.606,198.581,196.433,197.864,197.315,196.231,195.018,198.181,195.697,196.826,195.057,195.464,195.753,197.339,194.8,194.061,193.794,196.014,197.013,194.823,195.143,193.479,195.913,193.482,193.528,194.399,198.863,195.839,194.56,197.706,195.09,196.114,192.125,195.303,191.064,191.868,193.71,192.874,191.348,195.58,195.192,199.053,197.4,197.521,197.222,194.826,193.208,198.973,195.892,193.097,199.015,195.781,195.114,194.518,197.298,193.994,194.502,196.924,195.972,197.717,195.269,197.389,197.855,198.702,199.322,198.719,197.926,199.173,195.256,197.656,199.746,197.095,200.494,198.707,199.223,199.162,200.819,198.833,200.017,202.195,197.867,198.747,197.712,199.276
