R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,165.187,172.196,186.418,190.036,157.476,180.642,198.345,173.131,154.916,170.829,183.483,172.588,169.139,169.541,171.832,175.097,174.464,178.404,179.05,183.33,176.551,173.878,176.199,182.291,170.259,183.501,173.746,175.972,182.812,185.837,180.764,177.905,181.767,177.962,175.561,173.978,174.915,175.914,180.695,184.932,183.736,186.154,180.893,192.555,186.5,182.311,187.369,171.495,174.144,181.614,184.652,184.549,180.548,186.343,180.976,189.92,188.719,177.238,180.07,188.237,185.528,195.38,191.22,180.284,182.312,186.329,186.734,184.664,188.111,189.676,187.593,182.683,187.089,186.229,191.758,183.517,190.338,194.469,199.932,188.219,189.133,192.307,194.088,189.203,181.735,185.949,193.857,196.693,186.722,186.365,190.563,202.65,194.906,197.011,185.532,188.575,192.757,191.599,200.667,198.359
7.79,0.421,287.576,298.481,324.398,331.366,274.009,314.747,345.413,301.268,269.391,297.393,319.359,300.383,294.064,295.081,299.125,304.714,303.791,310.714,312.021,319.374,307.408,302.733,306.961,317.639,296.121,319.973,302.661,306.508,318.853,323.929,315.322,310.102,317.144,310.194,305.787,303.101,304.914,306.738,315.135,322.755,320.641,324.829,315.513,336.182,325.49,318.188,327.021,299.119,303.832,316.863,322.389,322.326,315.108,325.607,316.069,331.709,329.754,309.174,314.276,328.918,324.015,341.811,334.248,314.636,318.57,325.735,326.262,322.609,328.82,331.774,327.957,319.395,327.102,325.728,335.315,320.903,332.994,340.291,349.933,329.106,330.751,336.395,339.489,330.853,317.918,325.24,339.151,344.471,326.571,326.044,333.296,354.991,341.239,344.849,324.522,329.764,337.493,335.337,351.58,347.499
7.79,0.516,397.942,411.594,448.388,458.642,379.155,435.539,477.508,416.606,372.647,411.421,441.531,415.452,406.459,408.173,413.786,421.368,420.281,429.865,431.846,441.845,425.238,418.792,424.79,439.538,409.386,442.977,418.856,424.11,441.522,448.298,436.71,429.284,439.29,429.404,423.113,419.491,422.172,424.77,436.382,447.101,444.167,449.896,436.938,465.709,450.865,440.823,452.984,414.374,420.954,438.887,446.72,446.756,436.583,451.426,438.122,459.684,457.138,428.25,435.438,455.99,449.068,474.181,463.46,435.921,441.738,451.76,452.305,447.237,455.984,460.275,454.834,443.051,453.682,451.917,465.064,445.179,462.022,472.167,485.543,456.471,458.789,466.668,470.911,458.918,441.198,451.246,470.524,478.216,453.068,452.438,462.348,492.83,473.657,478.56,450.274,457.42,468.493,465.396,488.183,482.511
7.79,0.621,532.596,548.782,598.988,613.462,507.591,582.594,637.773,557.02,498.769,550.368,590.025,555.589,543.294,545.981,553.475,563.352,562.165,574.923,577.79,590.846,568.692,560.149,568.321,587.908,547.278,592.766,560.455,567.348,590.959,599.631,584.664,574.504,588.174,574.658,566.017,561.327,565.135,568.695,584.134,598.625,594.712,602.238,584.91,623.419,603.604,590.333,606.416,555.06,563.89,587.619,598.282,598.504,584.724,604.895,587.047,615.625,612.458,573.47,583.2,610.944,601.55,635.624,621.012,583.826,592.069,605.548,606.027,599.263,611.11,617.096,609.642,594.046,608.146,605.979,623.323,596.932,619.492,633.064,650.906,611.876,615.018,625.597,631.182,615.184,591.832,605.09,630.792,641.463,607.496,606.792,619.805,660.991,635.295,641.681,603.832,613.189,628.423,624.167,654.901,647.32
7.79,0.726,679.811,697.822,762.737,782.011,648.243,742.891,811.725,710.152,636.917,702.055,751.596,708.479,692.56,696.452,705.946,718.139,716.975,733.086,736.998,753.166,725.129,714.387,724.942,749.619,697.7,756.103,715.056,723.63,753.988,764.503,746.185,733.01,750.714,733.189,721.948,716.195,721.303,725.925,745.393,763.978,759.032,768.405,746.427,795.323,770.231,753.599,773.777,708.967,720.21,749.995,763.765,764.267,746.565,772.554,749.842,785.778,782.061,732.155,744.644,780.162,768.077,811.919,793.049,745.423,756.452,773.652,773.947,765.392,780.612,788.501,778.821,759.238,776.983,774.473,796.192,762.945,791.628,808.854,831.433,781.713,785.76,799.236,806.205,785.967,756.761,773.368,805.881,819.898,776.377,775.661,791.88,844.655,811.977,819.882,771.828,783.447,803.308,797.768,837.088,827.476
7.79,0.84,852.098,871.32,953.265,978.268,813.157,929.834,1013.72,888.886,798.95,879.273,939.741,886.987,866.894,872.274,884.031,898.738,897.702,917.595,922.77,942.323,907.657,894.457,907.753,938.152,873.325,946.573,895.628,906.04,944.166,956.603,934.726,918.033,940.422,918.247,903.957,897.053,903.731,909.6,933.6,956.863,950.762,962.16,934.928,995.587,964.538,944.166,968.887,888.971,902.956,939.508,956.848,957.745,935.55,968.237,939.99,984.16,979.919,917.515,933.164,977.589,962.417,1017.51,993.702,934.113,948.47,969.908,969.914,959.329,978.424,988.565,976.299,952.248,974.077,971.248,997.865,956.897,992.532,1013.93,1041.84,979.937,985.03,1001.81,1010.3,985.308,949.563,969.898,1010.13,1028.06,973.603,972.924,992.675,1058.74,1018.15,1027.69,968.069,982.168,1007.4,1000.41,1049.54,1037.63
7.79,0.944,1019.84,1039.46,1137.72,1168.34,974.023,1111.2,1208.85,1062.45,957.072,1051.52,1122.02,1060.39,1036.32,1043.2,1057.08,1074.05,1073.22,1096.66,1103.08,1125.69,1084.84,1069.35,1085.25,1120.99,1043.94,1131.32,1071.07,1083.15,1128.68,1142.78,1117.77,1097.68,1124.57,1097.93,1080.69,1072.74,1080.98,1088.07,1116.29,1143.98,1136.81,1150.05,1117.9,1189.61,1152.98,1129.15,1158.05,1064.06,1080.63,1123.46,1144.2,1145.53,1119.07,1158.15,1124.67,1176.49,1171.84,1097.59,1116.23,1169.12,1151.01,1216.83,1188.29,1117.34,1134.97,1160.4,1160.08,1147.58,1170.37,1182.7,1167.95,1139.74,1165.37,1162.29,1193.47,1145.28,1187.47,1212.81,1245.7,1172.29,1178.38,1198.29,1208.16,1178.76,1136.93,1160.71,1208.22,1229.9,1165.08,1164.49,1187.47,1266.17,1218.15,1229.15,1158.64,1175,1205.4,1197.04,1255.46,1241.4
7.79,1.054,1207.81,1227.1,1343.28,1380.22,1154.64,1313.7,1425.82,1256.49,1134.7,1244.24,1325.3,1254.29,1225.88,1234.47,1250.64,1269.96,1269.45,1296.7,1304.54,1330.32,1282.81,1264.9,1283.64,1325.11,1234.75,1337.57,1267.29,1281.12,1334.74,1350.48,1322.31,1298.46,1330.31,1298.76,1278.23,1269.23,1279.24,1287.67,1320.43,1352.92,1344.62,1359.78,1322.34,1405.96,1363.33,1335.85,1369.17,1260.11,1279.47,1329,1353.44,1355.33,1324.23,1370.28,1331.16,1391.14,1386.13,1298.97,1320.88,1382.98,1361.68,1439.24,1405.5,1322.18,1343.47,1373.26,1372.49,1357.94,1384.75,1399.53,1382.04,1349.39,1379.08,1375.8,1411.87,1355.89,1405.18,1434.81,1473.04,1387.12,1394.32,1417.63,1428.95,1394.85,1346.51,1373.98,1429.36,1455.18,1379.08,1378.62,1405.01,1497.49,1441.44,1453.94,1371.68,1390.4,1426.47,1416.66,1485.17,1468.8
8.17,0.292,140.694,148.546,159.63,159.977,133.381,152.551,170.081,146.359,131.778,143.95,156.73,146.116,146.797,143.408,145.613,148.738,147.594,152.018,151.328,155.097,150.893,147.321,148.585,155.502,144.713,156.01,147.662,148.925,154.645,158.653,153.279,150.947,153.41,151.627,148.765,146.893,147.467,149.074,154.106,156.128,155.995,157.771,154.005,164.266,158.936,154.308,158.779,144.475,146.612,154.495,155.076,155.25,153.141,156.562,151.865,161.332,158.684,150.288,151.774,158.127,156.993,164.063,161.18,152.934,152.924,156.3,157.322,155.854,158.608,158.965,157.536,152.925,157.029,155.612,161.924,153.167,159.582,163.789,168.105,157.598,158.82,161.425,162.62,159.515,151.661,155.883,163.517,164.618,156.945,156.407,160.534,170.057,163.704,165.701,156.055,158.786,161.195,161.046,168.031,166.051
8.17,0.414,249.236,262.225,282.867,284.005,236.088,270.563,301.677,259.152,233.086,254.936,277.774,258.787,259.748,253.942,257.944,263.483,261.532,269.483,268.399,275.051,267.405,261.035,263.393,275.797,256.148,276.877,261.747,263.999,274.501,281.493,272.098,267.745,272.386,268.965,263.704,260.39,261.545,264.511,273.54,277.312,277.067,280.193,273.385,291.939,282.343,274.104,282.047,256.348,260.236,274.34,275.515,275.953,272.036,278.419,269.854,286.839,282.212,266.799,269.558,281.211,279.101,292.195,286.818,271.652,271.891,278.058,279.783,277.147,282.225,282.982,280.298,272.026,279.404,276.926,288.286,272.463,284.142,291.807,299.585,280.418,282.678,287.421,289.521,283.958,269.887,277.452,291.273,293.46,279.372,278.473,285.827,303.324,291.779,295.3,277.816,282.654,287.246,286.924,299.718,296.128
