R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,170.413,170.228,170.996,171.292,169.848,170.733,172.246,169.925,169.624,169.898,171.369,169.742,170.166,169.45,169.522,170.083,169.566,170.189,169.638,169.982,169.739,169.445,169.13,170.122,169.152,169.773,169.197,169.25,169.709,170.086,169.32,168.999,169.022,169.5,171.12,170.478,170.97,168.846,169.649,169.07,169.004,169.202,173.542,170.518,169.904,174.066,171.489,173.893,170.286,170.927,168.807,170.046,170.884,170.921,170.102,172.361,173.239,176.722,175.398,175.314,174.468,173.075,172.055,177.196,175.331,173.217,177.401,175.117,175.116,174.634,176.365,174.746,174.744,177.935,174.978,178.757,176.464,176.79,177.385,179.12,180.234,179.11,177.93,178.981,177.462,179.14,179.588,178.808,181.542,179.988,180.167,180.534,182.003,180.147,181.732,183.074,180.359,179.956,179.832,181.887
1.02261,171.394,171.199,172.005,172.314,170.799,171.73,173.309,170.881,170.564,170.852,172.396,170.694,171.138,170.392,170.468,171.056,170.515,171.159,170.593,170.952,170.711,170.397,170.083,171.103,170.11,170.753,170.15,170.21,170.677,171.075,170.276,169.954,169.975,170.471,172.103,171.451,171.942,169.805,170.628,170.035,169.969,170.172,174.559,171.512,170.892,175.083,172.482,174.899,171.259,171.917,169.768,171.019,171.87,171.903,171.066,173.369,174.238,177.751,176.425,176.332,175.492,174.078,173.05,178.241,176.351,174.218,178.417,176.148,176.148,175.646,177.402,175.765,175.766,178.98,176.005,179.775,177.501,177.837,178.432,180.137,181.266,180.126,178.97,179.989,178.517,180.217,180.597,179.875,182.555,181.02,181.227,181.562,182.978,181.184,182.797,184.13,181.464,181.01,180.891,182.909
1.04573,172.352,172.146,172.993,173.316,171.725,172.704,174.354,171.812,171.476,171.781,173.402,171.62,172.088,171.31,171.388,172.004,171.438,172.105,171.521,171.898,171.657,171.324,171.011,172.06,171.044,171.71,171.078,171.144,171.622,172.041,171.207,170.884,170.905,171.418,173.062,172.398,172.888,170.739,171.584,170.975,170.91,171.119,175.551,172.483,171.857,176.075,173.451,175.88,172.206,172.883,170.703,171.966,172.832,172.86,172.003,174.354,175.211,178.754,177.427,177.323,176.49,175.056,174.019,179.262,177.346,175.192,179.406,177.156,177.154,176.633,178.412,176.76,176.764,179.999,177.008,180.766,178.513,178.86,179.455,181.127,182.27,181.115,179.983,180.969,179.547,181.269,181.579,180.917,183.541,182.024,182.262,182.562,183.922,182.194,183.835,185.159,182.546,182.037,181.926,183.902
1.06937,173.285,173.067,173.957,174.294,172.624,173.655,175.378,172.717,172.362,172.684,174.386,172.52,173.011,172.198,172.281,172.927,172.335,173.026,172.423,172.818,172.58,172.224,171.912,172.992,171.95,172.642,171.98,172.053,172.542,172.984,172.111,171.788,171.807,172.34,173.995,173.32,173.807,171.647,172.516,171.888,171.826,172.04,176.519,173.43,172.799,177.041,174.394,176.834,173.127,173.825,171.611,172.887,173.769,173.79,172.914,175.312,176.159,179.731,178.402,178.289,177.464,176.007,174.963,180.257,178.312,176.139,180.367,178.137,178.135,177.592,179.398,177.726,177.734,180.991,177.985,181.727,179.497,179.856,180.452,182.086,183.247,182.074,180.968,181.92,180.55,182.296,182.53,181.933,184.495,182.998,183.268,183.532,184.832,183.175,184.845,186.158,183.602,183.037,182.932,184.863
1.09355,174.191,173.962,174.898,175.249,173.495,174.58,176.381,173.594,173.218,173.559,175.347,173.392,173.908,173.058,173.146,173.824,173.203,173.919,173.299,173.711,173.475,173.096,172.785,173.897,172.829,173.547,172.853,172.934,173.434,173.9,172.987,172.664,172.681,173.234,174.901,174.212,174.698,172.528,173.421,172.775,172.713,172.935,177.458,174.351,173.713,177.98,175.309,177.759,174.02,174.738,172.491,173.78,174.677,174.691,173.794,176.244,177.077,180.678,179.349,179.225,178.41,176.93,175.878,181.224,179.25,177.058,181.298,179.09,179.087,178.523,180.353,178.664,178.676,181.954,178.933,182.657,180.453,180.824,181.42,183.016,184.19,183.001,181.924,182.838,181.525,183.294,183.45,182.921,185.416,183.942,184.245,184.471,185.707,184.125,185.825,187.127,184.631,184.006,183.908,185.793
1.11827,175.069,174.827,175.811,176.18,174.334,175.477,177.362,174.44,174.044,174.403,176.283,174.233,174.777,173.888,173.979,174.692,174.041,174.785,174.143,174.575,174.34,173.938,173.627,174.775,173.677,174.424,173.696,173.784,174.296,174.789,173.834,173.509,173.525,174.1,175.776,175.075,175.557,173.377,174.298,173.632,173.572,173.801,178.37,175.244,174.599,178.888,176.195,178.652,174.88,175.623,173.342,174.642,175.556,175.563,174.643,177.146,177.965,181.595,180.266,180.131,179.325,177.823,176.762,182.16,180.157,177.945,182.197,180.012,180.009,179.422,181.279,179.57,179.587,182.884,179.851,183.553,181.378,181.763,182.358,183.91,185.1,183.895,182.849,183.723,182.469,184.262,184.337,183.878,186.302,184.852,185.191,185.376,186.544,185.042,186.771,188.061,185.63,184.944,184.854,186.687
1.14355,175.917,175.662,176.698,177.083,175.142,176.347,178.318,175.255,174.835,175.216,177.192,175.042,175.615,174.684,174.781,175.529,174.846,175.62,174.955,175.409,175.177,174.748,174.437,175.623,174.495,175.272,174.508,174.605,175.128,175.649,174.648,174.323,174.337,174.936,176.62,175.905,176.384,174.196,175.145,174.458,174.4,174.636,179.25,176.107,175.455,179.766,177.05,179.514,175.709,176.477,174.159,175.472,176.403,176.402,175.461,178.019,178.82,182.478,181.15,181.004,180.21,178.685,177.615,183.064,181.031,178.799,183.063,180.903,180.899,180.288,182.173,180.445,180.465,183.782,180.738,184.413,182.27,182.669,183.265,184.769,185.976,184.754,183.74,184.573,183.379,185.197,185.186,184.802,187.15,185.726,186.102,186.244,187.341,185.923,187.683,188.96,186.598,185.847,185.766,187.542
1.16941,176.734,176.464,177.555,177.957,175.916,177.186,179.248,176.036,175.592,175.994,178.074,175.817,176.421,175.446,175.548,176.334,175.618,176.422,175.735,176.21,175.98,175.524,175.214,176.44,175.278,176.088,175.285,175.391,175.927,176.478,175.431,175.104,175.116,175.739,177.432,176.7,177.176,174.981,175.961,175.25,175.195,175.438,180.098,176.939,176.279,180.609,177.871,180.339,176.502,177.298,174.943,176.267,177.216,177.207,176.242,178.857,179.641,183.327,182,181.842,181.061,179.512,178.433,183.932,181.869,179.618,183.89,181.759,181.754,181.119,183.031,181.283,181.308,184.644,181.591,185.235,183.125,183.541,184.135,185.589,186.813,185.573,184.595,185.383,184.255,186.099,185.998,185.692,187.958,186.562,186.978,187.075,188.094,186.768,188.559,189.821,187.533,186.715,186.641,188.359
1.19584,177.518,177.233,178.381,178.803,176.653,177.994,180.152,176.782,176.312,176.738,178.926,176.556,177.194,176.17,176.28,177.105,176.354,177.19,176.478,176.978,176.749,176.264,175.954,177.223,176.026,176.871,176.027,176.141,176.691,177.273,176.176,175.848,175.859,176.508,178.207,177.459,177.931,175.731,176.742,176.008,175.954,176.207,180.912,177.737,177.07,181.417,178.657,181.128,177.259,178.084,175.69,177.026,177.995,177.976,176.985,179.661,180.424,184.138,182.812,182.642,181.877,180.303,179.215,184.765,182.67,180.399,184.68,182.58,182.573,181.911,183.853,182.083,182.114,185.466,182.407,186.016,183.944,184.377,184.971,186.369,187.609,186.353,185.413,186.152,185.093,186.963,186.768,186.544,188.723,187.358,187.815,187.864,188.802,187.571,189.395,190.64,188.432,187.543,187.478,189.131
1.22288,178.266,177.966,179.175,179.615,177.353,178.768,181.028,177.492,176.992,177.444,179.748,177.259,177.93,176.856,176.972,177.842,177.051,177.923,177.184,177.709,177.483,176.967,176.657,177.971,176.737,177.617,176.732,176.855,177.419,178.034,176.885,176.555,176.564,177.24,178.945,178.18,178.648,176.443,177.488,176.728,176.678,176.939,181.689,178.5,177.825,182.187,179.406,181.877,177.977,178.834,176.399,177.747,178.734,178.707,177.69,180.429,181.17,184.909,183.586,183.405,182.654,181.056,179.958,185.558,183.431,181.14,185.428,183.36,183.353,182.665,184.635,182.843,182.881,186.249,183.185,186.754,184.723,185.175,185.767,187.105,188.362,187.089,186.189,186.879,185.891,187.788,187.495,187.357,189.442,188.11,188.611,188.611,189.461,188.332,190.188,191.416,189.292,188.329,188.274,189.859
1.25053,178.978,178.661,179.935,180.396,178.013,179.507,181.873,178.161,177.632,178.11,180.537,177.921,178.63,177.502,177.625,178.539,177.709,178.618,177.851,178.402,178.179,177.631,177.32,178.683,177.408,178.328,177.396,177.53,178.109,178.759,177.554,177.222,177.23,177.936,179.644,178.861,179.323,177.117,178.197,177.41,177.363,177.633,182.426,179.226,178.542,182.917,180.115,182.584,178.653,179.545,177.067,178.427,179.435,179.396,178.351,181.158,181.873,185.638,184.318,184.124,183.391,181.767,180.661,186.311,184.149,181.839,186.132,184.1,184.091,183.374,185.375,183.561,183.604,186.988,183.922,187.445,185.458,185.931,186.521,187.796,189.069,187.778,186.922,187.559,186.646,188.57,188.175,188.127,190.114,188.816,189.364,189.31,190.069,189.048,190.936,192.146,190.111,189.072,189.026,190.538
1.2788,179.657,179.321,180.664,181.147,178.635,180.213,182.692,178.792,178.23,178.738,181.298,178.545,179.294,178.111,178.241,179.204,178.329,179.275,178.482,179.063,178.846,178.26,177.956,179.363,178.054,179.013,178.032,178.179,178.77,179.459,178.193,177.865,177.869,178.605,180.308,179.51,179.961,177.769,178.884,178.069,178.026,178.305,183.115,179.926,179.239,183.594,180.79,183.236,179.302,180.226,177.718,179.081,180.105,180.055,178.984,181.848,182.525,186.303,184.987,184.781,184.074,182.431,181.325,186.994,184.802,182.49,186.78,184.786,184.775,184.025,186.046,184.222,184.274,187.649,184.601,188.071,186.124,186.617,187.205,188.425,189.713,188.41,187.586,188.185,187.331,189.272,188.805,188.815,190.733,189.457,190.044,189.951,190.642,189.698,191.613,192.818,190.851,189.743,189.7,191.158
1.30771,180.295,179.94,181.356,181.861,179.211,180.881,183.479,179.38,178.782,179.322,182.024,179.126,179.919,178.674,178.811,179.829,178.907,179.892,179.07,179.681,179.473,178.847,178.547,180.004,178.658,179.658,178.624,178.785,179.389,180.118,178.79,178.464,178.465,179.233,180.929,180.115,180.553,178.378,179.528,178.686,178.647,178.936,183.76,180.585,179.893,184.225,181.421,183.842,179.905,180.864,178.323,179.69,180.731,180.668,179.569,182.495,183.131,186.92,185.609,185.39,184.712,183.049,181.943,187.628,185.406,183.093,187.379,185.423,185.41,184.627,186.668,184.836,184.895,188.259,185.235,188.644,186.742,187.256,187.841,189.003,190.306,188.989,188.2,188.76,187.966,189.924,189.383,189.452,191.299,190.046,190.673,190.539,191.158,190.297,192.239,193.438,191.542,190.363,190.322,191.722
1.33728,180.891,180.515,182.007,182.537,179.743,181.508,184.232,179.923,179.288,179.86,182.712,179.661,180.499,179.191,179.336,180.41,179.438,180.464,179.613,180.256,180.055,179.389,179.094,180.601,179.216,180.26,179.172,179.346,179.964,180.736,179.34,179.018,179.016,179.818,181.502,180.671,181.097,178.942,180.13,179.259,179.224,179.523,184.359,181.2,180.506,184.808,182.006,184.396,180.459,181.457,178.883,180.252,181.311,181.233,180.106,183.097,183.687,187.486,186.18,185.948,185.301,183.619,182.514,188.214,185.958,183.646,187.924,186.012,185.997,185.178,187.239,185.397,185.466,188.816,185.818,189.161,187.307,187.844,188.426,189.525,190.841,189.513,188.761,189.279,188.548,190.524,189.907,190.036,191.805,190.578,191.249,191.071,191.613,190.84,192.809,194.001,192.181,190.929,190.891,192.228
1.36751,181.443,181.045,182.619,183.173,180.226,182.093,184.948,180.417,179.743,180.351,183.362,180.148,181.035,179.657,179.811,180.945,179.92,180.99,180.106,180.784,180.593,179.882,179.591,181.154,179.726,180.817,179.671,179.86,180.492,181.311,179.843,179.524,179.518,180.357,182.029,181.179,181.59,179.458,180.688,179.784,179.754,180.064,184.91,181.77,181.073,185.34,182.542,184.897,180.963,182.002,179.393,180.764,181.843,181.748,180.591,183.65,184.191,187.998,186.698,186.453,185.84,184.137,183.033,188.744,186.455,184.144,188.413,186.547,186.53,185.674,187.755,185.903,185.983,189.316,186.35,189.617,187.817,188.379,188.957,189.988,191.318,189.977,189.266,189.741,189.074,191.067,190.371,190.564,192.252,191.051,191.767,191.543,192.005,191.324,193.319,194.506,192.765,191.437,191.402,192.672
