R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,320.747,358.873,364.455,361.297,299.207,343.958,396.655,324.606,293.008,317.779,368.622,319.389,330.222,309.236,312.984,331.474,316.368,331.106,319.438,334.049,325.619,315.049,310.772,334.623,312.261,327.745,308.756,313.81,318.674,334.953,312.522,308.645,308.541,317.598,311.128,298.731,296.843,301.872,318.896,310.598,311.064,318.283,311.696,327.999,316.243,301.259,309.656,278.946,280.891,307.496,296.178,292.8,295.853,294.321,284.48,309.281,296.931,288.41,287.839,296.79,298.95,301.385,295.922,287.808,279.455,280.845,293.282,284.675,284.05,283.342,287.119,271.263,280.32,272.34,293.985,270.731,276.919,292.399,297.886,281.406,279.644,286.451,289.065,287.677,258.632,268.59,292.767,278.27,277.234,272.933,279.998,290.566,286.739,285.291,268.882,279.653,267.566,278.256,280.751,278.115
7.79,0.421,547.332,609.391,623.218,619.524,510.011,588.775,679.283,554.682,499.078,543.167,629.861,546.07,563.19,528.741,535.437,566.538,541.575,566.862,547.743,572.544,557.384,539.269,532.748,573.583,533.627,562.63,529.093,537.737,547.458,574.84,536.998,529.793,530.548,544.759,533.232,512.453,509.685,518.408,547.611,534.54,535.197,547.501,535.658,564.909,544.303,518.653,533.329,479.697,483.413,528.882,510.504,505.039,509.434,507.993,490.633,533.39,512.62,496.339,495.894,512.321,515.497,521.399,511.418,495.93,482.603,485.572,506.278,491.607,491.172,490.355,496.269,469.133,484.835,471.442,508.424,468.333,479.699,506.33,516.185,486.765,484.001,495.887,500.405,497.539,448.017,465.163,506.801,483.012,479.783,472.627,484.845,504.453,497.045,494.708,465.677,484.005,464.485,482.3,487.744,483.035
7.79,0.516,746.129,827.335,850.119,846.718,694.956,803.942,927.211,756.641,679.783,741.172,858.759,745.228,767.288,721.715,731.076,772.875,739.725,774.202,748.956,782.464,761.226,736.551,728.391,783.971,728.061,769.83,723.277,734.997,749.512,786.294,735.37,725.02,726.911,745.085,728.944,701.069,697.749,709.756,749.552,732.758,733.546,750.214,733.612,774.607,746.144,711.244,731.447,657.558,662.959,724.769,700.621,693.498,698.75,697.847,673.753,732.207,704.272,680.587,680.453,703.814,707.685,717.297,703.121,680.593,663.345,667.913,695.568,675.659,675.639,674.889,682.44,645.514,667.056,649.063,699.364,644.515,660.685,697.088,710.885,669.734,666.206,682.601,688.768,684.474,617.229,640.648,697.582,666.105,660.413,650.864,667.58,695.655,684.822,681.733,641.382,666.215,640.683,664.534,672.99,666.408
7.79,0.621,982.953,1084.93,1119.79,1117.43,915.461,1060.29,1221.71,997.149,895.207,977.182,1130.68,982.606,1010.04,951.904,964.481,1018.56,976.16,1021.42,989.291,1032.83,1004.32,971.955,962.128,1034.98,959.795,1017.41,955.309,970.571,991.198,1038.75,972.822,958.556,962.116,984.504,962.732,926.708,922.94,938.882,991.097,970.27,971.201,992.908,970.592,1025.75,987.952,942.242,968.943,871.085,878.577,959.483,928.849,919.939,925.954,926.058,893.899,970.815,934.617,901.711,902.096,933.959,938.498,953.052,933.722,902.411,880.909,887.54,923.138,897.118,897.799,897.27,906.55,858.163,886.596,863.299,929.219,856.949,879.004,926.952,945.477,890.151,885.827,907.588,915.663,909.618,821.639,852.432,927.418,887.241,878.205,865.934,887.915,926.439,911.349,907.366,853.465,885.856,853.641,884.468,896.817,887.982
7.79,0.726,1236.12,1357.92,1406.93,1406.36,1151.56,1334.01,1534.87,1254.02,1125.91,1229.52,1420.1,1236.37,1269.08,1198.25,1214.26,1280.88,1229.17,1285.7,1246.67,1300.46,1264.28,1223.88,1212.55,1303.4,1207.56,1282.58,1204,1222.86,1250.35,1308.87,1227.66,1209.07,1214.7,1241.08,1213.19,1168.83,1164.8,1184.96,1250.13,1225.38,1226.47,1253.33,1224.96,1295.22,1247.6,1190.65,1224.11,1101.09,1110.87,1211.63,1174.47,1163.87,1170.47,1171.97,1131.23,1227.46,1182.77,1139.74,1140.8,1181.88,1187,1207.28,1182.33,1141.36,1115.75,1124.7,1168.4,1136.04,1137.65,1137.48,1148.39,1088.06,1123.72,1094.96,1177.22,1086.63,1115.07,1175.18,1198.71,1128.18,1123.12,1150.57,1160.59,1152.69,1043.09,1081.6,1175.56,1126.58,1113.64,1098.61,1126.06,1175.98,1156.25,1151.3,1083,1123.2,1084.34,1122.39,1139.13,1127.89
7.79,0.84,1525.63,1667.67,1733.82,1735.86,1422.06,1646.44,1890.74,1547.39,1390.33,1518.02,1749.47,1526.45,1564.81,1480.18,1500.08,1580.37,1518.62,1587.71,1541.26,1606.22,1561.48,1512.14,1499.32,1610.18,1490.89,1586.03,1488.93,1511.68,1547.22,1617.69,1519.87,1496.23,1504.46,1534.94,1500,1446.51,1442.39,1467.35,1546.93,1518.03,1519.34,1551.83,1516.65,1604.01,1545.38,1475.98,1516.9,1365.8,1378.2,1501,1456.74,1444.43,1451.53,1454.87,1404.42,1522.19,1468.15,1413.45,1415.35,1467,1472.7,1499.83,1468.42,1416.26,1386.36,1398.04,1450.6,1411.21,1414.03,1414.38,1426.95,1353.34,1397.06,1362.29,1462.79,1351.65,1387.42,1461.21,1490.35,1402.5,1396.74,1430.58,1442.7,1432.78,1299.1,1346.2,1461.45,1402.87,1385.24,1367.22,1400.71,1463.77,1438.7,1432.62,1348.09,1396.91,1350.9,1396.99,1418.87,1404.92
7.79,0.944,1801.45,1960.67,2043.77,2048.73,1680.3,1943.44,2227.49,1826.53,1642.89,1792.8,2061.7,1802.69,1846.13,1748.95,1772.51,1865.22,1794.44,1875.16,1822.04,1897.12,1844.47,1786.85,1772.79,1902.17,1760.81,1875.17,1760.79,1787.03,1830.36,1911.66,1798.82,1770.32,1781.19,1815.19,1773.52,1711.7,1707.66,1737.18,1830.08,1797.5,1799.06,1836.63,1795.13,1898.51,1829.65,1748.77,1796.53,1619.4,1634.3,1777.45,1726.73,1712.98,1720.45,1725.69,1666.15,1803.87,1741.27,1675.46,1678.2,1739.86,1746.04,1779.9,1742.34,1679.51,1645.84,1660.14,1720.8,1674.94,1679.02,1679.92,1693.9,1608.01,1659.21,1618.92,1736.38,1606.07,1648.81,1735.36,1769.72,1665.55,1659.2,1699.04,1713.03,1701.29,1545.28,1600.36,1735.45,1668.13,1645.91,1625.17,1664.24,1739.79,1709.68,1702.48,1602.77,1659.49,1607.05,1660.6,1687.45,1670.96
7.79,1.054,2104.5,2280.45,2382.62,2391.15,1964.69,2268.91,2594.77,2132.8,1921.21,2094.58,2402.95,2106.02,2154.8,2044.43,2071.93,2177.64,2097.49,2190.62,2130.57,2216.2,2155.17,2088.74,2073.45,2222.55,2057.35,2192.73,2059.88,2089.71,2141.64,2234.24,2105.78,2071.91,2085.8,2123.31,2074.27,2003.71,1999.91,2034.41,2141.48,2105.08,2106.97,2149.82,2101.61,2222.19,2142.44,2049.38,2104.32,1899.51,1917.11,2081.87,2024.35,2009.25,2017.04,2024.45,1955.12,2114.13,2042.48,1964.56,1968.24,2040.75,2047.45,2088.82,2044.57,1970.08,1932.55,1949.79,2018.92,1966.23,1971.76,1973.31,1988.71,1889.74,1948.92,1902.77,2038.42,1887.49,1937.85,2038.15,2078.03,1956.14,1949.3,1995.56,2011.49,1997.91,1818.04,1881.64,2038.03,1961.51,1934.17,1910.6,1955.55,2044.74,2009.15,2000.71,1884.69,1949.76,1890.61,1952.18,1984.45,1965.24
8.17,0.292,278.615,312.958,315.904,308.175,259.262,294.983,343.222,279.253,255.247,272.846,318.821,275.466,291.815,266.93,270.501,286.327,272.806,286.992,275.061,287.208,283.394,272.148,267.408,290.284,270.677,283.7,267.914,270.843,274.798,290.823,270.426,267.389,265.894,275.952,269.006,257.916,256.018,261.537,277.304,267.671,269.582,275.024,270.856,284.843,274.901,260.668,267.91,241.28,242.731,267.174,254.538,252.221,256.794,253.149,244.858,268.247,255.419,250.564,248.601,255.071,258.679,258.694,255.2,250.16,240.65,241.794,252.92,246.344,245.591,243.599,247.137,233.526,241.495,233.973,254.036,232.405,238.446,252.102,256.124,241.794,241.016,246.46,248.147,248.492,222.552,231.643,252.746,239.112,239.29,235.44,242.037,249.691,246.813,245.959,232.631,241.682,230.244,240.102,241.218,239.01
8.17,0.414,483.197,540.793,549.652,537.41,448.874,513.383,598.277,484.934,441.582,473.76,554.222,478.673,506.162,463.744,470.335,497.602,474.659,499.609,479.487,500.586,493.258,473.522,465.867,505.994,470.206,495.205,466.665,471.798,479.931,507.593,472.381,466.559,464.765,481.218,468.676,449.629,446.699,456.541,484.206,468.335,471.619,481.025,473.292,498.997,481.193,456.298,469.186,421.575,424.482,467.263,445.96,442.285,449.626,444.218,429.18,470.537,448.366,438.393,435.374,447.669,453.641,455.197,448.594,438.317,422.401,425,443.973,432.618,431.909,428.629,434.315,410.47,424.663,411.668,446.943,408.535,420,444.105,451.538,425.183,424.171,433.889,436.83,437.119,391.759,407.854,445.119,422.121,421.087,414.525,426.296,441.055,435.185,433.894,409.693,425.421,406.449,423.283,426.302,422.24
