R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,172.741,182.907,172.301,172.083,180.699,180.19,172.955,178.84,179.45,177.995,183.695,177.408,184.028,181.985,181.928,185.037,182.814,177.279,180.34,179.857,184.871,179.472,180.44,184.686,183.942,185.19,180.81,182.238,186.577,186.385,182.524,180.423,184.3,186.287,188.683,187.166,187.976,185.443,185.468,184.752,184.726,183.22,190.229,187.485,185.281,190.265,187.511,190.389,187.142,188.028,184.731,185.827,187.198,186.061,186.852,187.601,190.684,194.984,192.95,192.481,190.814,189.668,188.013,194.899,192.399,189.924,195.694,190.553,190.673,191.352,192.946,191.092,190.467,194.042,191.076,198.208,194.048,192.686,194.179,198.192,199.652,199.012,195.18,199.775,193.334,194.431,199.792,195.144,201.478,199.113,198.504,198.884,202.527,200.077,201.061,202.727,196.636,198.23,196.497,201.419
1.02261,173.725,183.836,173.278,173.057,181.527,180.998,173.934,179.659,180.348,178.937,184.562,178.492,184.828,182.638,182.548,185.845,183.415,178.174,181.075,180.761,185.621,180.434,181.447,185.415,184.813,185.968,181.637,183.178,187.231,187.131,183.126,181.27,184.978,186.98,189.388,187.957,188.66,186.188,186.3,185.532,185.359,184.102,190.897,188.021,186.119,190.962,188.228,191.096,187.82,188.674,185.46,186.546,187.923,186.847,187.442,188.376,191.099,195.543,193.459,192.957,191.459,190.123,188.646,195.45,192.872,190.451,196.226,191.307,191.362,191.797,193.453,191.676,191.119,194.595,191.656,198.564,194.374,193.224,194.607,198.662,200.094,199.365,195.656,200.108,193.932,195.092,200.22,195.553,201.979,199.559,198.96,199.416,203.018,200.353,201.496,203.222,197.244,198.67,196.973,201.862
1.04573,174.679,184.721,174.225,174.001,182.317,181.771,174.884,180.441,181.209,179.836,185.383,179.531,185.584,183.255,183.132,186.603,183.979,179.034,181.771,181.619,186.323,181.35,182.402,186.095,185.636,186.695,182.423,184.068,187.834,187.825,183.689,182.076,185.609,187.623,190.037,188.692,189.286,186.881,187.072,186.255,185.947,184.929,191.509,188.51,186.901,191.594,188.888,191.742,188.449,189.27,186.139,187.212,188.593,187.573,187.986,189.089,191.462,196.036,193.911,193.374,192.043,190.525,189.222,195.937,193.285,190.924,196.689,191.993,191.987,192.186,193.898,192.202,191.709,195.078,192.175,198.852,194.649,193.698,194.972,199.058,200.46,199.648,196.065,200.371,194.466,195.679,200.57,195.903,202.404,199.929,199.346,199.862,203.438,200.56,201.856,203.646,197.774,199.04,197.376,202.229
1.06937,175.601,185.559,175.14,174.913,183.065,182.504,175.802,181.185,182.029,180.689,186.153,180.522,186.291,183.833,183.681,187.307,184.504,179.854,182.425,182.428,186.975,182.216,183.302,186.723,186.405,187.367,183.166,184.903,188.382,188.462,184.211,182.837,186.19,188.213,190.628,189.366,189.853,187.52,187.782,186.919,186.489,185.696,192.058,188.949,187.623,192.157,189.488,192.322,189.024,189.812,186.765,187.82,189.204,188.237,188.479,189.738,191.769,196.459,194.3,193.729,192.561,190.87,189.738,196.355,193.634,191.341,197.078,192.608,192.542,192.516,194.277,192.666,192.232,195.486,192.628,199.069,194.868,194.103,195.271,199.375,200.747,199.857,196.402,200.561,194.928,196.187,200.837,196.186,202.748,200.218,199.656,200.216,203.781,200.693,202.136,203.993,198.22,199.334,197.703,202.515
1.09355,176.488,186.345,176.021,175.79,183.769,183.196,176.686,181.887,182.804,181.495,186.871,181.459,186.948,184.37,184.191,187.955,184.989,180.632,183.036,183.185,187.572,183.029,184.142,187.297,187.117,187.981,183.861,185.679,188.872,189.04,184.69,183.548,186.716,188.747,191.155,189.976,190.356,188.1,188.426,187.519,186.979,186.399,192.542,189.335,188.279,192.647,190.023,192.83,189.54,190.295,187.332,188.366,189.752,188.832,188.916,190.317,192.017,196.807,194.624,194.016,193.008,191.155,190.188,196.7,193.916,191.696,197.389,193.145,193.023,192.781,194.586,193.062,192.683,195.815,193.011,199.211,195.027,194.435,195.499,199.609,200.949,199.987,196.664,200.673,195.315,196.611,201.017,196.399,203.007,200.423,199.885,200.475,204.041,200.749,202.332,204.257,198.577,199.547,197.946,202.713
1.11827,177.338,187.077,176.864,176.629,184.424,183.842,177.532,182.544,183.531,182.248,187.533,182.337,187.549,184.863,184.659,188.541,185.431,181.363,183.598,183.885,188.111,183.784,184.916,187.811,187.767,188.533,184.504,186.389,189.299,189.554,185.123,184.205,187.184,189.22,191.616,190.516,190.791,188.616,189.001,188.051,187.414,187.033,192.956,189.664,188.865,193.06,190.488,193.262,189.993,190.714,187.837,188.846,190.231,189.354,189.294,190.821,192.203,197.076,194.877,194.232,193.381,191.376,190.568,196.965,194.127,191.983,197.616,193.599,193.424,192.979,194.82,193.385,193.057,196.06,193.318,199.271,195.12,194.689,195.651,199.753,201.061,200.034,196.845,200.701,195.62,196.945,201.106,196.535,203.174,200.537,200.026,200.633,204.214,200.722,202.437,204.435,198.838,199.673,198.102,202.818
1.14355,178.147,187.75,177.665,177.427,185.028,184.438,178.338,183.152,184.205,182.946,188.134,183.151,188.092,185.309,185.083,189.063,185.826,182.043,184.109,184.524,188.587,184.475,185.619,188.263,188.351,189.018,185.09,187.03,189.66,189.998,185.505,184.803,187.589,189.629,192.005,190.98,191.153,189.065,189.501,188.511,187.79,187.593,193.295,189.932,189.376,193.391,190.878,193.612,190.375,191.066,188.272,189.253,190.637,189.797,189.605,191.244,192.323,197.261,195.054,194.371,193.672,191.529,190.872,197.147,194.262,192.197,197.754,193.965,193.738,193.103,194.974,193.629,193.347,196.215,193.545,199.244,195.141,194.86,195.722,199.803,201.077,199.991,196.938,200.641,195.837,197.182,201.096,196.588,203.244,200.555,200.075,200.685,204.293,200.607,202.446,204.518,198.998,199.707,198.164,202.823
1.16941,178.911,188.359,178.423,178.181,185.576,184.982,179.099,183.706,184.822,183.583,188.671,183.895,188.571,185.705,185.458,189.517,186.171,182.669,184.566,185.098,188.997,185.099,186.246,188.648,188.863,189.431,185.614,187.594,189.95,190.37,185.835,185.336,187.926,189.967,192.317,191.364,191.438,189.441,189.923,188.894,188.103,188.075,193.553,190.135,189.806,193.635,191.187,193.874,190.683,191.344,188.635,189.583,190.964,190.157,189.845,191.581,192.372,197.355,195.15,194.43,193.878,191.61,191.096,197.238,194.316,192.332,197.799,194.235,193.961,193.149,195.042,193.787,193.548,196.274,193.686,199.126,195.086,194.941,195.708,199.753,200.991,199.853,196.94,200.487,195.959,197.316,200.985,196.553,203.21,200.471,200.024,200.625,204.273,200.398,202.352,204.503,199.049,199.643,198.126,202.724
1.19584,179.628,188.9,179.131,178.886,186.063,185.466,179.813,184.202,185.376,184.156,189.139,184.563,188.981,186.045,185.782,189.896,186.462,183.234,184.962,185.6,189.334,185.649,186.79,188.961,189.298,189.767,186.071,188.077,190.164,190.663,186.105,185.799,188.191,190.232,192.548,191.66,191.639,189.738,190.261,189.194,188.346,188.471,193.725,190.267,190.149,193.786,191.41,194.041,190.909,191.543,188.917,189.829,191.206,190.426,190.007,191.825,192.346,197.354,195.16,194.401,193.993,191.613,191.233,197.233,194.283,192.382,197.743,194.404,194.086,193.111,195.019,193.853,193.653,196.231,193.735,198.911,194.947,194.927,195.602,199.598,200.796,199.615,196.843,200.234,195.98,197.341,200.765,196.421,203.066,200.278,199.868,200.448,204.148,200.092,202.15,204.382,198.985,199.474,197.982,202.511
1.22288,180.292,189.367,179.787,179.538,186.484,185.887,180.474,184.634,185.862,184.658,189.534,185.148,189.318,186.326,186.048,190.196,186.694,183.733,185.293,186.027,189.593,186.12,187.245,189.197,189.65,190.019,186.453,188.472,190.298,190.872,186.313,186.186,188.378,190.416,192.691,191.863,191.752,189.951,190.511,189.407,188.514,188.777,193.806,190.323,190.398,193.839,191.541,194.109,191.046,191.656,189.112,189.984,191.356,190.598,190.085,191.969,192.238,197.25,195.076,194.28,194.009,191.533,191.277,197.126,194.158,192.34,197.582,194.464,194.105,192.984,194.899,193.82,193.656,196.08,193.685,198.591,194.718,194.811,195.398,199.329,200.486,199.27,196.642,199.875,195.891,197.248,200.43,196.186,202.806,199.972,199.598,200.147,203.909,199.68,201.832,204.149,198.799,199.193,197.724,202.18
