R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,209.209,217.831,228.304,230.932,199.221,220.786,242.322,210.242,194.97,208.53,227.251,209.086,209.318,204.87,206.91,213.592,209.174,214.821,211.974,217.422,211.633,208.189,208.156,216.791,205.599,215.922,206.583,209.052,213.562,218.4,211.226,208.333,210.753,211.055,208.321,204.233,204.225,206.28,212.912,212.983,212.33,215.509,210.733,220.847,214.785,209.243,213.695,198.035,200.169,210.371,209.873,208.759,207.173,210.717,205.164,214.977,212.238,203.536,205.251,212.007,210.954,217.6,213.505,205.369,204.759,207.51,209.918,207.324,209.252,210.202,209.912,203.874,208.177,206.002,213.598,203.807,209.407,215.159,219.791,208.558,208.492,211.892,214.106,210.281,200.713,205.171,213.929,214.224,206.262,205.675,209.967,219.757,213.249,214.802,204.55,208.044,209.948,210.7,217.457,214.753
7.79,0.421,342.399,355.337,376.04,381.563,325.732,363.906,399.83,346.245,318.763,343.268,373.436,344.639,343.399,337.801,341.496,351.687,345.629,354.799,351.351,360.175,349.688,344.038,345.051,359.007,338.949,358.558,342.05,346.179,355.231,362.672,351.406,346.19,351.247,349.864,345.101,339.11,339.602,342.872,353.625,355.617,354.267,359.411,350.813,369.239,358.677,349.697,357.621,330.336,334.385,350.798,351.691,350.306,346.347,353.839,344.141,360.625,356.766,340.082,343.677,356.247,353.629,367.077,359.716,344.013,344.419,349.945,352.856,348.806,353.035,355.082,353.6,343.854,351.278,348.247,360.274,344.044,354.585,363.764,372.252,352.136,352.557,358.36,362.067,354.796,339.726,347.228,361.666,364.132,348.597,347.916,355.322,373.783,361.504,364.604,346.208,351.76,357.027,357.023,370.296,365.597
7.79,0.516,463.788,479.904,509.989,518.334,441.062,493.9,542.584,469.613,431.529,465.64,506.131,467.628,465.14,458.437,463.604,476.995,469.397,481.779,477.716,489.496,474.866,467.236,469.141,487.918,459.857,487.855,464.934,470.509,483.648,493.352,478.534,471.15,478.618,475.787,469.117,461.375,462.352,466.792,481.277,484.877,482.93,489.814,477.812,503.633,489.056,477.005,487.947,450.366,456.129,478.109,480.19,478.586,472.532,483.598,470.159,492.541,487.717,463.866,469.147,486.955,482.957,502.559,492.178,469.679,471.06,479.063,482.382,477.044,483.337,486.425,483.871,470.847,481.013,477.239,493.209,471.233,486.188,498.483,510.376,482.249,483.095,491.064,496.103,485.788,465.894,476.058,495.535,500.053,477.633,476.926,487.051,513.345,495.888,500.323,474.685,481.995,490.419,489.722,508.867,502.35
7.79,0.621,613.231,632.455,673.952,685.895,583.159,653.304,717.149,620.803,570.411,615.783,668.744,618.392,614.515,606.369,613.284,630.59,621.047,637.342,632.437,647.692,628.181,618.172,621.074,645.699,608.005,646.092,615.509,622.775,640.801,653.153,634.193,624.125,634.517,630.052,620.999,611.093,612.685,618.62,637.625,642.997,640.372,649.319,633.266,667.877,648.514,632.788,647.238,597.458,605.267,633.937,637.346,635.502,626.995,642.356,624.407,653.774,647.825,615.401,622.691,646.79,641.179,668.183,654.094,623.465,626.052,637.002,640.78,633.916,642.675,647.059,643.235,626.319,639.709,635.063,655.744,626.894,647.116,663.198,679.114,641.343,642.679,653.258,659.884,645.983,620.402,633.691,659.156,666.22,635.47,634.793,648.102,683.82,660.165,666.14,631.898,641.228,653.558,652.036,678.225,669.497
7.79,0.726,777.97,799.701,853.539,869.548,739.999,828.239,908.054,786.709,723.679,780.742,847.051,783.879,778.645,768.84,777.6,799.142,787.433,807.96,802.053,820.915,796.308,783.768,787.657,818.568,770.583,819.447,780.751,789.761,812.98,828.07,804.851,791.827,805.374,799.266,787.573,775.305,777.59,785.218,809.077,816.173,812.87,823.981,803.655,847.533,823.109,803.493,821.548,758.96,768.94,804.727,809.464,807.394,796.333,816.287,793.512,830.205,823.109,781.576,790.989,821.799,814.513,849.437,831.307,792.033,795.962,810.028,814.245,805.79,817.171,822.989,817.817,796.818,813.565,808.017,833.687,797.541,823.352,843.516,863.648,815.556,817.402,830.77,839.072,821.428,789.923,806.46,838.223,848.119,808.396,807.827,824.438,870.233,839.982,847.539,804.228,815.594,832.246,829.838,863.546,852.427
7.79,0.84,972.386,996.188,1064.07,1084.89,925.355,1033.67,1131.46,981.581,904.804,974.724,1056.33,978.299,971.75,959.819,970.647,997.127,982.785,1008.2,1000.98,1023.85,993.606,978.185,983.054,1021.2,961.56,1022.58,974.765,985.693,1014.72,1032.86,1004.94,988.469,1005.59,997.821,983.027,967.967,971.057,980.73,1010.16,1018.94,1014.94,1028.47,1003.37,1057.6,1027.49,1003.46,1025.44,948.558,960.974,1004.87,1010.93,1008.62,994.789,1019.9,991.633,1036.52,1028.15,976.395,988.17,1026.55,1017.46,1061.3,1038.5,989.529,994.964,1012.51,1017.22,1006.99,1021.29,1028.77,1022.12,996.531,1017,1010.43,1041.77,997.347,1029.44,1054.32,1079.12,1019.31,1021.7,1038.24,1048.43,1026.66,988.522,1008.66,1047.51,1060.65,1010.73,1010.35,1030.62,1087.8,1050.12,1059.4,1005.94,1019.51,1041.15,1037.79,1079.96,1066.09
7.79,0.944,1163.13,1188.23,1269.33,1294.81,1107.47,1234.27,1348.86,1171.93,1082.78,1164.41,1260.6,1168.25,1160.7,1146.51,1159.25,1190.52,1173.52,1203.63,1194.97,1221.56,1186.15,1168,1173.65,1218.72,1148.14,1220.5,1164.19,1176.87,1211.27,1232.25,1199.99,1180.2,1200.68,1191.55,1173.74,1155.94,1159.8,1171.51,1206.26,1216.35,1211.74,1227.54,1198.01,1261.82,1226.41,1198.23,1223.75,1133.63,1148.3,1199.89,1207,1204.47,1188.17,1218.06,1184.62,1237.12,1227.55,1166.31,1180.25,1225.7,1215,1267.16,1239.9,1181.92,1188.73,1209.47,1214.69,1202.8,1219.81,1228.86,1220.88,1191,1214.89,1207.34,1244.06,1191.83,1229.76,1259.16,1288.26,1217.42,1220.29,1239.82,1251.77,1226.25,1181.92,1205.38,1250.84,1267.05,1207.54,1207.39,1231.02,1298.85,1254.26,1265.07,1202.21,1217.75,1244.13,1239.94,1290,1273.51
7.79,1.054,1378.37,1404.2,1499.56,1530.22,1313.28,1459.58,1592.24,1385.87,1283.93,1377.8,1489.95,1381.77,1373.4,1356.47,1371.27,1407.87,1387.79,1423.09,1412.66,1443.19,1402.35,1381.25,1387.57,1440.24,1357.87,1442.38,1377,1391.52,1431.61,1455.62,1418.8,1395.32,1419.41,1409.03,1387.87,1366.98,1371.67,1385.72,1426.29,1437.5,1432.32,1450.53,1416.29,1490.29,1449.2,1416.53,1445.72,1341.51,1358.61,1418.56,1426.6,1423.83,1405.01,1439.99,1400.94,1461.58,1450.71,1379.37,1395.58,1448.6,1436.29,1497.33,1465.2,1397.62,1405.86,1430.01,1435.76,1422.11,1441.98,1452.75,1443.41,1408.92,1436.43,1427.8,1470.39,1409.66,1453.87,1488.25,1521.88,1439.09,1442.45,1465.22,1479.07,1449.62,1398.65,1425.64,1478.21,1497.74,1427.85,1428.03,1455.21,1534.48,1482.46,1494.87,1422,1439.56,1471.12,1466.12,1524.61,1505.25
8.17,0.292,181.084,190.405,198.12,197.592,171.658,189.454,210.529,180.452,168.499,178.574,196.963,179.633,183.684,175.837,177.819,184.095,179.472,185.49,181.591,186.45,183.127,178.829,177.934,187.234,177.132,185.829,177.808,179.301,182.918,188.607,181.278,178.892,180.048,182.031,178.834,174.643,174.362,176.946,183.715,181.908,182.273,184.759,181.422,190.309,184.938,179.038,182.967,168.789,170.454,180.907,178.217,177.463,177.569,178.929,174.036,184.364,180.279,174.393,174.855,179.954,180.334,184.487,181.636,175.92,173.487,175.701,178.603,176.612,177.974,177.778,178,172.303,176.336,173.698,181.967,171.728,177.03,182.778,186.342,176.234,176.55,179.387,180.975,178.852,168.975,173.443,181.951,180.655,174.844,174.078,178.295,185.754,180.544,182.007,173.435,176.614,176.877,178.528,183.394,181.054
8.17,0.414,300.419,315.287,331.196,331.051,284.328,316.593,352.678,301.221,279.12,297.825,328.409,300.155,305.849,293.845,297.537,307.407,300.645,310.751,305.214,313.281,306.958,299.64,298.996,314.563,296.111,313.033,298.545,301.073,308.571,317.806,305.873,301.477,304.297,306.072,300.42,293.977,293.922,298.256,309.562,308.063,308.531,312.574,306.405,322.954,313.411,303.544,310.665,285.403,288.672,306.061,302.858,302.059,301.186,304.769,296.002,313.902,307.445,295.592,296.946,306.744,306.758,315.839,310.594,299.005,295.943,300.578,304.613,301.524,304.751,304.683,304.193,294.716,301.878,297.82,311.581,293.942,304.187,313.714,320.435,301.849,302.955,307.895,310.559,306.29,290.033,297.812,312.309,311.704,299.86,298.785,306.289,320.85,310.699,313.689,297.908,303.102,305.287,307.067,317.089,312.93
