R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,173.772,173.852,173.742,173.821,173.59,173.746,173.966,173.502,173.457,173.515,173.983,173.335,173.512,173.157,173.142,173.451,173.143,173.417,173.066,173.235,173.081,173.018,172.752,173.219,172.838,172.919,172.751,172.786,173.041,173.161,172.687,172.52,172.482,172.815,174.684,174.174,174.648,172.382,172.823,172.482,172.327,172.471,176.912,173.459,173.116,177.539,174.923,177.589,174.008,174.309,172.426,173.631,174.388,174.458,173.786,175.672,176.748,180.264,178.987,178.81,177.895,176.441,175.523,180.706,178.934,176.825,180.832,178.645,178.629,178.189,179.877,178.358,178.309,181.471,178.384,182.264,179.993,180.174,180.729,182.57,183.628,182.505,181.386,182.341,181.003,182.617,182.867,182.246,184.87,183.399,183.552,183.808,185.22,183.485,185.085,186.345,183.749,183.337,183.202,185.168
1.02261,174.775,174.858,174.743,174.827,174.584,174.748,174.977,174.493,174.445,174.506,174.995,174.323,174.506,174.143,174.127,174.447,174.128,174.403,174.048,174.223,174.077,174.007,173.746,174.211,173.841,173.915,173.742,173.782,174.037,174.165,173.671,173.513,173.471,173.811,175.711,175.2,175.672,173.38,173.822,173.48,173.321,173.467,177.968,174.465,174.131,178.605,175.959,178.659,175.041,175.336,173.436,174.655,175.421,175.489,174.807,176.719,177.799,181.354,180.076,179.883,178.968,177.488,176.567,181.814,180.018,177.887,181.905,179.738,179.721,179.262,180.974,179.444,179.395,182.585,179.463,183.353,181.096,181.276,181.831,183.654,184.728,183.585,182.488,183.41,182.129,183.763,183.933,183.38,185.952,184.498,184.678,184.897,186.258,184.586,186.22,187.469,184.923,184.456,184.328,186.258
1.04573,175.751,175.836,175.717,175.805,175.551,175.723,175.963,175.456,175.406,175.47,175.981,175.283,175.474,175.101,175.084,175.416,175.085,175.362,175.004,175.185,175.046,174.969,174.714,175.176,174.817,174.885,174.706,174.752,175.007,175.142,174.627,174.479,174.432,174.781,176.713,176.2,176.67,174.352,174.795,174.452,174.288,174.436,178.998,175.444,175.12,179.646,176.969,179.705,176.048,176.338,174.419,175.653,176.429,176.495,175.802,177.74,178.824,182.42,181.14,180.93,180.016,178.509,177.586,182.897,181.078,178.924,182.953,180.806,180.79,180.311,182.046,180.506,180.456,183.674,180.518,184.416,182.175,182.353,182.909,184.712,185.801,184.638,183.565,184.451,183.233,184.887,184.973,184.49,187.006,185.572,185.78,185.959,187.265,185.661,187.329,188.567,186.076,185.551,185.429,187.321
1.06937,176.698,176.787,176.663,176.756,176.489,176.669,176.92,176.39,176.337,176.405,176.938,176.214,176.412,176.03,176.011,176.356,176.013,176.292,175.929,176.117,175.987,175.902,175.653,176.111,175.765,175.826,175.641,175.693,175.948,176.09,175.554,175.416,175.365,175.721,177.686,177.172,177.64,175.296,175.739,175.396,175.227,175.378,180.002,176.396,176.081,180.66,177.951,180.723,177.028,177.312,175.376,176.623,177.409,177.473,176.769,178.734,179.823,183.459,182.178,181.95,181.037,179.504,178.578,183.954,182.111,179.935,183.973,181.849,181.832,181.333,183.093,181.542,181.492,184.738,181.546,185.45,183.228,183.405,183.96,185.741,186.847,185.662,184.615,185.463,184.311,185.986,185.983,185.576,188.031,186.618,186.855,186.993,188.24,186.708,188.412,189.637,187.206,186.618,186.504,188.354
1.09355,177.615,177.706,177.578,177.676,177.395,177.585,177.847,177.292,177.236,177.308,177.866,177.114,177.319,176.927,176.907,177.266,176.91,177.191,176.824,177.018,176.896,176.804,176.562,177.016,176.683,176.736,176.545,176.603,176.858,177.009,176.45,176.323,176.266,176.632,178.631,178.115,178.581,176.209,176.653,176.309,176.136,176.288,180.977,177.317,177.013,181.645,178.905,181.714,177.979,178.257,176.302,177.564,178.361,178.422,177.706,179.7,180.792,184.469,183.188,182.941,182.03,180.469,179.541,184.984,183.116,180.918,184.963,182.864,182.847,182.327,184.112,182.551,182.499,185.774,182.546,186.456,184.254,184.429,184.984,186.741,187.863,186.657,185.637,186.444,185.363,187.059,186.961,186.634,189.024,187.634,187.902,187.997,189.181,187.726,189.467,190.678,188.31,187.658,187.552,189.356
1.11827,178.498,178.593,178.46,178.563,178.269,178.467,178.741,178.161,178.102,178.178,178.761,177.979,178.193,177.791,177.77,178.142,177.773,178.055,177.684,177.885,177.773,177.672,177.437,177.887,177.569,177.614,177.416,177.481,177.735,177.894,177.312,177.196,177.135,177.509,179.543,179.027,179.489,177.09,177.535,177.19,177.011,177.166,181.92,178.205,177.913,182.599,179.826,182.674,178.899,179.17,177.197,178.474,179.281,179.34,178.612,180.634,181.73,185.449,184.167,183.901,182.992,181.402,180.472,185.983,184.09,181.869,185.92,183.849,183.833,183.29,185.1,183.529,183.476,186.78,183.516,187.428,185.249,185.423,185.977,187.707,188.846,187.618,186.628,187.391,186.386,188.103,187.906,187.663,189.983,188.618,188.919,188.967,190.084,188.711,190.49,191.686,189.387,188.666,188.569,190.324
1.14355,179.346,179.445,179.307,179.414,179.106,179.315,179.601,178.994,178.932,179.012,179.621,178.809,179.031,178.618,178.595,178.983,178.6,178.883,178.508,178.716,178.614,178.504,178.277,178.723,178.42,178.456,178.251,178.323,178.577,178.745,178.138,178.034,177.968,178.351,180.421,179.904,180.363,177.937,178.381,178.036,177.852,178.009,182.83,179.058,178.779,183.52,180.714,183.601,179.785,180.049,178.058,179.35,180.167,180.224,179.484,181.535,182.633,186.395,185.114,184.827,183.922,182.301,181.37,186.95,185.031,182.787,186.843,184.802,184.786,184.22,186.056,184.475,184.421,187.754,184.453,188.367,186.212,186.384,186.937,188.639,189.795,188.544,187.586,188.303,187.378,189.117,188.814,188.66,190.906,189.567,189.903,189.902,190.948,189.663,191.481,192.66,190.434,189.642,189.553,191.256
1.16941,180.157,180.259,180.116,180.229,179.906,180.124,180.424,179.789,179.723,179.807,180.445,179.6,179.831,179.407,179.383,179.785,179.388,179.673,179.293,179.509,179.417,179.298,179.08,179.521,179.234,179.261,179.049,179.128,179.381,179.559,178.925,178.835,178.763,179.156,181.263,180.745,181.2,178.746,179.19,178.845,178.655,178.815,183.704,179.875,179.609,184.406,181.567,184.493,180.636,180.892,178.883,180.19,181.018,181.072,180.319,182.4,183.502,187.306,186.027,185.718,184.816,183.165,182.233,187.883,185.938,183.671,187.729,185.722,185.705,185.115,186.977,185.387,185.332,188.693,185.355,189.269,187.142,187.311,187.863,189.534,190.707,189.432,188.509,189.176,188.337,190.098,189.683,189.625,191.79,190.48,190.853,190.799,191.769,190.577,192.437,193.597,191.451,190.582,190.503,192.15
1.19584,180.927,181.032,180.884,181.003,180.664,180.893,181.206,180.541,180.472,180.561,181.228,180.35,180.589,180.154,180.128,180.547,180.135,180.42,180.036,180.261,180.18,180.051,179.842,180.277,180.007,180.025,179.805,179.893,180.145,180.332,179.671,179.595,179.517,179.92,182.065,181.547,181.998,179.515,179.958,179.614,179.417,179.58,184.54,180.651,180.399,185.254,182.38,185.347,181.449,181.696,179.668,180.991,181.83,181.881,181.115,183.227,184.33,188.179,186.901,186.57,185.672,183.989,183.056,188.779,186.807,184.516,188.575,186.604,186.587,185.971,187.86,186.261,186.205,189.595,186.218,190.13,188.034,188.201,188.75,190.388,191.579,190.28,189.394,190.008,189.259,191.043,190.511,190.553,192.631,191.353,191.764,191.655,192.544,191.452,193.354,194.494,192.433,191.484,191.415,193.002
1.22288,181.653,181.763,181.609,181.733,181.378,181.618,181.946,181.25,181.177,181.271,181.968,181.055,181.304,180.858,180.83,181.265,180.837,181.124,180.735,180.968,180.899,180.76,180.56,180.989,180.739,180.746,180.518,180.614,180.865,181.063,180.373,180.312,180.227,180.641,182.826,182.308,182.754,180.241,180.684,180.34,180.137,180.303,185.334,181.384,181.148,186.06,183.152,186.16,182.22,182.458,180.411,181.751,182.6,182.649,181.869,184.012,185.118,189.011,187.737,187.381,186.488,184.772,183.839,189.635,187.636,185.321,189.379,187.447,187.43,186.787,188.705,187.096,187.039,190.457,187.042,190.95,188.886,189.051,189.598,191.199,192.409,191.084,190.238,190.795,190.144,191.951,191.294,191.442,193.428,192.184,192.636,192.469,193.271,192.285,194.231,195.349,193.378,192.346,192.288,193.809
