R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,226.854,240.736,258.555,259.489,214.137,246.737,277.018,235.315,210.993,231.332,254.812,234.705,236.132,229.941,233.686,239.823,236.951,244.573,243.165,249.77,242.47,236.585,238.4,250.093,232.297,250.708,236.769,239.268,248.301,254.947,245.797,241.926,246.055,243.452,238.882,235.428,236.297,239.093,247.574,250.442,250.174,253.114,247.059,263.426,254.941,247.482,254.298,231.312,234.861,247.829,248.606,248.948,245.656,251.18,243.309,258.584,254.388,240.618,243.184,253.428,251.933,263.264,258.541,244.952,245.012,250.507,252.068,249.978,254.383,254.792,252.562,245.223,251.764,249.326,259.861,245.191,255.778,262.809,269.508,252.199,254.224,258.392,260.45,255.477,243.396,249.987,261.896,263.93,251.175,250.548,257.226,272.195,261.785,265.284,250.078,254.319,258.791,258.159,269.25,265.755
7.79,0.421,387.911,409.297,442.682,445.614,365.849,423.058,474.812,402.808,360.226,396.156,435.971,402.004,403.423,393.906,400.521,410.591,406.353,419.418,417.695,428.777,415.756,405.696,409.421,429.368,397.693,431.093,406.493,410.743,427.306,438.197,423.112,416.021,423.878,418.327,410.156,404.624,406.511,411.391,425.89,431.777,431.201,436.137,425.343,454.394,439.533,426.867,438.726,398.61,405.02,427.037,429.296,430.213,423.818,434.354,420.448,446.724,439.984,414.916,419.779,438.282,435.242,456.277,447.639,422.912,423.959,433.956,435.972,432.533,440.719,441.786,437.376,424.95,436.288,432.445,450.256,425.003,443.925,455.945,467.842,437.089,440.866,448.166,451.697,442.725,422.486,433.805,454.236,458.977,435.576,434.748,446.279,473.426,454.692,460.877,434.003,441.041,450.113,448.344,468.628,462.453
7.79,0.516,529.292,555.878,604.095,609.413,499.065,578.079,648.212,549.899,491.2,541.044,594.677,549.061,549.975,538.139,547.323,560.537,555.481,573.23,571.592,586.386,568.198,554.563,560.238,587.235,543.026,590.264,556.144,561.873,585.467,599.743,579.884,569.785,581.251,572.602,561.151,554.037,557.012,563.736,583.385,592.365,591.472,598.058,582.986,623.452,602.952,585.881,602.153,546.956,555.996,585.673,589.684,591.281,581.832,597.225,577.918,613.693,605.009,569.47,576.543,602.636,598.028,628.247,615.965,580.915,583.3,597.474,599.527,595.017,606.79,608.606,602.01,585.299,600.824,595.951,619.891,585.474,611.983,628.272,644.847,601.96,607.412,617.484,622.276,609.647,582.649,598.041,625.801,633.536,600.167,599.302,615.051,653.442,627.082,635.683,598.359,607.667,621.445,618.338,647.193,638.616
7.79,0.621,697.83,729.132,795.962,804.702,658.044,762.884,854.155,725.199,647.481,713.892,783.248,724.465,724.31,710.325,722.589,739.18,733.549,756.716,755.541,774.475,750.077,732.319,740.562,775.657,716.352,780.552,735.081,742.483,774.774,792.682,767.662,753.839,769.89,757.081,741.647,732.92,737.371,746.287,771.858,784.92,783.614,792.028,771.81,825.985,798.814,776.732,798.173,725.205,737.459,775.857,782.381,784.962,771.594,793.159,767.391,814.18,803.502,755.09,764.956,800.317,793.658,835.355,818.582,770.836,775.27,794.59,796.311,790.667,806.935,809.802,800.354,778.792,799.216,793.338,824.232,779.151,814.869,836.069,858.259,800.751,808.325,821.677,827.913,810.842,776.311,796.416,832.636,844.529,798.795,798.034,818.699,870.88,835.221,846.727,796.907,808.683,828.686,823.658,863.11,851.654
7.79,0.726,878.2,912.851,1000.4,1013.38,828.503,960.452,1073.23,912.666,815.069,898.96,984.106,912.21,910.428,894.839,910.384,930.127,924.337,953.054,952.774,975.76,944.745,922.782,934.007,977.328,901.885,984.547,927.076,936.14,977.984,999.281,969.405,951.487,972.705,954.968,935.236,925.11,931.329,942.562,974.149,991.97,990.197,1000.38,974.673,1043.47,1009.3,982.187,1008.99,917.458,933.203,980.36,990.017,993.846,976.02,1004.54,971.914,1030,1017.58,955.118,968.112,1013.52,1004.5,1058.93,1037.25,975.633,982.742,1007.7,1008.64,1001.97,1023.24,1027.39,1014.64,988.243,1013.75,1007.06,1044.92,988.835,1034.5,1060.69,1088.86,1015.7,1025.67,1042.46,1050.15,1028.3,986.39,1011.32,1056.18,1073.14,1013.77,1013.29,1039.04,1106.24,1060.5,1075.12,1012.03,1026.14,1053.44,1046.01,1097.1,1082.58
7.79,0.84,1084.75,1121.52,1233.37,1251.72,1024.12,1186.31,1322.4,1127.14,1007.45,1110.93,1212.95,1127.17,1123.08,1106.35,1125.61,1148.45,1142.95,1177.72,1178.87,1206.07,1167.57,1141.04,1155.88,1208.11,1114.36,1218.29,1147.35,1158.17,1211.1,1235.75,1201.04,1178.36,1205.71,1181.89,1157.24,1145.86,1154.28,1168.12,1206.21,1229.83,1227.51,1239.5,1207.58,1292.93,1250.95,1218.48,1251.19,1139.04,1158.81,1215.33,1228.99,1234.44,1211.29,1248.05,1207.7,1278.13,1264.14,1185.43,1202.11,1259.07,1247.18,1316.55,1289.2,1211.54,1222.16,1253.66,1253.27,1245.63,1272.8,1278.55,1261.8,1230.27,1261.38,1254.04,1299.32,1231.16,1288.23,1319.81,1354.75,1263.79,1276.61,1297.23,1306.49,1279.18,1229.59,1259.79,1314.02,1337.39,1262.1,1262.12,1293.47,1378,1320.67,1338.84,1260.8,1277.24,1313.47,1302.95,1367.58,1349.59
7.79,0.944,1281.85,1319.2,1454.6,1478.45,1211.23,1401.4,1558.48,1331.6,1191.54,1313.22,1430.21,1332.26,1325.58,1308.38,1331.12,1356.47,1351.65,1391.9,1394.74,1425.57,1380.07,1349.41,1367.87,1428.08,1317.12,1441.35,1357.87,1370.21,1433.81,1461.17,1422.52,1395.26,1428.61,1398.63,1369.32,1357.06,1367.71,1383.98,1427.91,1457.34,1454.49,1468,1430.26,1531.15,1481.95,1444.73,1482.86,1351.7,1375.3,1440.12,1457.96,1465.11,1436.72,1481.55,1433.97,1515.59,1500.47,1406.22,1426.5,1494.44,1479.71,1563.56,1530.78,1437.75,1452.11,1489.89,1487.86,1479.5,1512.4,1519.79,1499.03,1463.01,1499.25,1491.52,1543.39,1464.2,1532.11,1568.52,1609.81,1502.07,1517.7,1541.86,1552.51,1520.04,1463.85,1498.82,1561.49,1591.45,1500.81,1501.45,1537.92,1639,1570.64,1592.17,1500.13,1518.47,1563.7,1549.96,1627.62,1606.38
7.79,1.054,1498.84,1535.34,1696.89,1727.14,1417.73,1637.63,1816.41,1556.47,1394.83,1535.94,1668.11,1557.97,1548.1,1530.98,1557.49,1585.08,1581.46,1627.4,1632.46,1666.84,1613.8,1578.88,1601.46,1669.9,1540.36,1686.8,1589.93,1603.79,1679.15,1708.97,1666.7,1634.39,1674.47,1637.38,1602.99,1590.1,1603.35,1622.22,1672.14,1708.24,1704.8,1719.76,1675.75,1793.41,1736.54,1694.52,1738.33,1587.05,1614.84,1688.09,1710.87,1720.06,1685.76,1739.63,1684.3,1777.57,1761.59,1650.29,1674.58,1754.51,1736.55,1836.49,1797.78,1687.87,1706.71,1751.41,1747.18,1738.25,1777.55,1786.84,1761.49,1720.95,1762.6,1754.71,1813.24,1722.51,1802.27,1843.64,1891.76,1765.85,1784.66,1812.58,1824.64,1786.57,1723.89,1763.82,1835.21,1872.93,1765.25,1766.74,1808.6,1927.83,1847.38,1872.59,1765.52,1785.6,1841.19,1823.61,1915.67,1890.93
8.17,0.292,196.622,210.485,224.628,221.616,184.632,211.572,240.61,201.793,182.706,197.681,220.933,201.744,208.224,197.472,201.207,207.037,203.586,211.733,208.852,214.608,210.544,203.691,204.083,216.661,200.61,216.525,204.551,205.817,213.39,220.981,211.894,208.607,211.064,210.874,205.754,201.965,202.41,206.112,214.784,214.886,216.062,217.986,213.974,228.431,221.016,213.216,219.028,198.257,201.166,214.57,212.215,213.124,212.304,214.805,207.669,223.616,217.701,207.81,208.595,216.612,217.238,225.22,222.088,211.754,209.198,213.986,216.325,215.103,218.74,217.508,216.03,209.06,215.273,212.094,223.904,208.213,218.559,225.873,231.065,214.939,217.549,221.007,222.168,219.733,206.929,213.633,225.456,225.263,215.307,214.454,221.091,233.05,224.347,227.652,214.678,218.462,220.733,221.462,230.034,226.962
8.17,0.414,341.836,364.341,391.49,387.217,320.532,368.99,419.988,351.217,316.956,344.092,384.733,351.351,361.937,343.882,350.641,360.555,355.009,369.354,364.849,374.786,367.221,355.189,356.342,378.412,349.252,378.72,357.094,359.303,373.476,386.428,370.939,364.787,369.736,368.525,359.256,352.892,353.989,360.605,375.824,376.777,378.774,382.046,374.686,400.909,387.632,374.029,384.355,347.245,352.63,376.053,372.623,374.536,372.523,377.747,364.827,393.007,382.957,364.4,366.127,380.982,381.756,397.087,391.167,371.821,368.026,376.939,380.545,378.549,385.475,383.535,380.462,368.306,379.366,374.006,394.696,366.866,385.777,398.674,408.124,378.793,383.689,389.892,391.901,387.337,365.106,376.962,397.842,398.468,379.719,378.409,390.195,412.437,396.398,402.377,378.893,385.361,390.465,391.222,407.322,401.766
