R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,177.633,177.717,177.603,177.684,177.447,177.606,177.832,177.358,177.313,177.371,177.848,177.192,177.374,177.016,177.001,177.313,177.001,177.271,176.923,177.094,176.95,176.882,176.623,177.082,176.715,176.789,176.621,176.658,176.914,177.037,176.552,176.394,176.352,176.687,178.581,178.074,178.546,176.26,176.699,176.361,176.203,176.346,180.83,177.343,177.007,181.468,178.833,181.524,177.918,178.211,176.317,177.535,178.298,178.367,177.689,179.591,180.67,184.245,182.935,182.755,181.832,180.361,179.445,184.682,182.881,180.761,184.846,182.601,182.586,182.131,183.83,182.311,182.261,185.45,182.329,186.3,183.956,184.132,184.7,186.624,187.699,186.561,185.381,186.407,184.983,186.607,186.951,186.227,189,187.46,187.59,187.89,189.404,187.545,189.163,190.481,187.759,187.374,187.221,189.288
1.02261,178.665,178.751,178.633,178.718,178.47,178.637,178.873,178.377,178.33,178.391,178.89,178.209,178.397,178.031,178.014,178.338,178.015,178.286,177.935,178.112,177.976,177.901,177.648,178.103,177.748,177.816,177.642,177.685,177.94,178.071,177.565,177.417,177.371,177.713,179.639,179.131,179.602,177.289,177.728,177.39,177.228,177.373,181.917,178.379,178.054,182.566,179.9,182.627,178.983,179.27,177.358,178.591,179.363,179.43,178.742,180.67,181.753,185.369,184.056,183.859,182.937,181.441,180.521,185.822,183.997,181.856,185.954,183.727,183.712,183.237,184.96,183.431,183.38,186.598,183.441,187.423,185.093,185.267,185.836,187.743,188.834,187.676,186.517,187.51,186.145,187.788,188.053,187.395,190.12,188.595,188.752,189.015,190.481,188.682,190.334,191.643,188.97,188.529,188.381,190.415
1.04573,179.67,179.759,179.636,179.726,179.465,179.641,179.887,179.369,179.319,179.383,179.905,179.198,179.394,179.018,179,179.337,179.002,179.274,178.919,179.102,178.975,178.892,178.646,179.097,178.755,178.815,178.636,178.685,178.94,179.078,178.551,178.413,178.363,178.713,180.672,180.162,180.631,178.292,178.732,178.393,178.226,178.373,182.979,179.39,179.074,183.639,180.942,183.705,180.022,180.303,178.374,179.621,180.403,180.468,179.769,181.724,182.811,186.468,185.153,184.939,184.017,182.494,181.573,186.939,185.09,182.927,187.036,184.829,184.814,184.319,186.065,184.527,184.475,187.721,184.529,188.521,186.206,186.378,186.947,188.837,189.944,188.764,187.628,188.587,187.283,188.947,189.129,188.539,191.212,189.704,189.889,190.114,191.528,189.793,191.48,192.779,190.159,189.658,189.517,191.515
1.06937,180.645,180.738,180.611,180.705,180.432,180.616,180.874,180.331,180.278,180.346,180.891,180.157,180.361,179.976,179.957,180.306,179.959,180.232,179.874,180.063,179.945,179.854,179.615,180.062,179.734,179.786,179.601,179.656,179.911,180.057,179.508,179.381,179.326,179.684,181.676,181.166,181.632,179.267,179.706,179.367,179.195,179.345,184.014,180.372,180.067,184.685,181.956,184.757,181.035,181.309,179.362,180.624,181.416,181.479,180.768,182.75,183.841,187.54,186.223,185.991,185.071,183.52,182.597,188.03,186.156,183.97,188.09,185.906,185.891,185.374,187.144,185.596,185.544,188.819,185.59,189.591,187.292,187.462,188.032,189.902,191.026,189.824,188.712,189.635,188.396,190.08,190.175,189.658,192.275,190.786,191,191.185,192.542,190.876,192.6,193.888,191.324,190.762,190.628,192.586
1.09355,181.59,181.687,181.555,181.654,181.367,181.56,181.829,181.262,181.206,181.278,181.848,181.085,181.296,180.902,180.881,181.244,180.884,181.159,180.797,180.993,180.884,180.785,180.553,180.996,180.682,180.727,180.535,180.597,180.851,181.006,180.433,180.318,180.258,180.624,182.652,182.141,182.604,180.211,180.65,180.312,180.135,180.286,185.02,181.323,181.031,185.702,182.942,185.78,182.019,182.286,180.321,181.597,182.4,182.46,181.738,183.748,184.842,188.584,187.266,187.014,186.097,184.517,183.593,189.093,187.193,184.986,189.114,186.955,186.94,186.4,188.196,186.639,186.585,189.888,186.623,190.631,188.351,188.519,189.088,190.937,192.078,190.854,189.768,190.652,189.483,191.188,191.19,190.75,193.306,191.838,192.083,192.225,193.522,191.93,193.692,194.967,192.465,191.837,191.71,193.626
1.11827,182.502,182.602,182.465,182.569,182.268,182.471,182.752,182.159,182.1,182.175,182.771,181.979,182.199,181.794,181.772,182.149,181.776,182.051,181.685,181.889,181.79,181.683,181.458,181.896,181.598,181.634,181.435,181.504,181.758,181.921,181.324,181.221,181.156,181.531,183.594,183.083,183.543,181.123,181.562,181.223,181.041,181.195,185.995,182.242,181.962,186.688,183.895,186.772,182.971,183.23,181.247,182.539,183.352,183.41,182.675,184.714,185.811,189.597,188.278,188.006,187.091,185.482,184.556,190.125,188.2,185.97,190.106,187.973,187.959,187.396,189.216,187.65,187.596,190.928,187.626,191.639,189.38,189.545,190.114,191.939,193.098,191.851,190.792,191.635,190.54,192.267,192.171,191.813,194.303,192.858,193.136,193.232,194.465,192.951,194.753,196.015,193.578,192.88,192.762,194.633
1.14355,183.378,183.482,183.339,183.449,183.133,183.346,183.64,183.019,182.957,183.037,183.66,182.837,183.065,182.649,182.626,183.018,182.63,182.906,182.537,182.748,182.66,182.544,182.328,182.759,182.479,182.505,182.3,182.376,182.629,182.802,182.179,182.09,182.018,182.403,184.503,183.992,184.447,182,182.438,182.1,181.911,182.068,186.936,183.125,182.859,187.64,184.815,187.731,183.89,184.14,182.14,183.447,184.27,184.326,183.579,185.647,186.747,190.576,189.257,188.964,188.052,186.413,185.487,191.126,189.174,186.922,191.063,188.96,188.946,188.358,190.204,188.63,188.575,191.935,188.595,192.613,190.377,190.54,191.108,192.906,194.083,192.813,191.784,192.582,191.567,193.315,193.116,192.845,195.264,193.844,194.156,194.204,195.369,193.939,195.781,197.027,194.661,193.892,193.781,195.603
1.16941,184.216,184.323,184.176,184.291,183.96,184.183,184.491,183.841,183.775,183.859,184.511,183.655,183.892,183.466,183.441,183.848,183.446,183.723,183.35,183.569,183.492,183.366,183.16,183.585,183.323,183.339,183.127,183.211,183.463,183.645,182.995,182.92,182.843,183.237,185.375,184.864,185.315,182.839,183.276,182.939,182.745,182.903,187.841,183.972,183.72,188.558,185.698,188.655,184.773,185.014,182.996,184.319,185.153,185.206,184.446,186.544,187.646,191.52,190.202,189.886,188.979,187.308,186.381,192.092,190.113,187.838,191.983,189.913,189.899,189.285,191.158,189.575,189.519,192.908,189.53,193.549,191.34,191.499,192.066,193.837,195.032,193.737,192.741,193.492,192.56,194.33,194.022,193.843,196.186,194.793,195.141,195.138,196.23,194.89,196.774,198.004,195.714,194.868,194.766,196.535
1.19584,185.013,185.124,184.971,185.092,184.745,184.979,185.3,184.62,184.551,184.64,185.321,184.432,184.678,184.241,184.214,184.637,184.22,184.497,184.121,184.348,184.283,184.147,183.951,184.369,184.126,184.132,183.912,184.004,184.255,184.447,183.769,183.709,183.626,184.03,186.207,185.697,186.143,183.638,184.074,183.737,183.537,183.698,188.706,184.777,184.541,189.436,186.543,189.541,185.617,185.849,183.813,185.151,185.996,186.046,185.273,187.402,188.506,192.426,191.109,190.769,189.866,188.163,187.237,193.021,191.014,188.715,192.863,190.828,190.814,190.174,192.074,190.483,190.425,193.843,190.426,194.446,192.266,192.421,192.987,194.726,195.941,194.62,193.659,194.359,193.517,195.31,194.886,194.804,197.067,195.702,196.088,196.031,197.045,195.8,197.729,198.94,196.732,195.805,195.714,197.425
1.22288,185.767,185.882,185.722,185.85,185.486,185.731,186.068,185.356,185.283,185.376,186.089,185.164,185.42,184.971,184.942,185.383,184.95,185.227,184.847,185.082,185.031,184.884,184.699,185.109,184.886,184.881,184.653,184.754,185.004,185.207,184.5,184.456,184.366,184.78,186.998,186.488,186.928,184.394,184.829,184.493,184.287,184.45,189.531,185.54,185.32,190.274,187.346,190.386,186.421,186.642,184.588,185.942,186.798,186.846,186.059,188.219,189.325,193.291,191.976,191.611,190.714,188.977,188.052,193.91,191.874,189.553,193.7,191.705,191.691,191.022,192.95,191.351,191.292,194.739,191.282,195.301,193.152,193.304,193.868,195.573,196.808,195.46,194.537,195.183,194.437,196.252,195.705,195.728,197.902,196.569,196.996,196.881,197.812,196.67,198.643,199.835,197.714,196.703,196.621,198.271
