R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,231.866,245.74,264.298,265.492,218.916,252.373,283.146,240.719,215.695,236.698,260.369,240.124,241.293,235.299,239.122,245.242,242.503,250.204,248.939,255.625,248.061,242.111,244.122,255.922,237.644,256.68,242.372,244.924,254.326,260.979,251.771,247.773,252.13,249.214,244.549,241.149,242.105,244.896,253.477,256.677,256.332,259.338,253.048,269.92,261.204,253.656,260.685,237.125,240.804,253.9,254.986,255.352,251.779,257.676,249.614,265.113,260.986,246.642,249.382,260.008,258.308,270.201,265.281,251.153,251.455,257.165,258.599,256.467,261.082,261.619,259.216,251.793,258.471,256.1,266.646,251.843,262.719,269.784,276.745,258.987,261.075,265.347,267.473,262.219,250.077,256.775,268.848,271.237,257.924,257.321,264.132,279.711,268.914,272.515,256.841,261.134,266.001,265.159,276.765,273.189
7.79,0.421,396.538,417.885,452.599,455.998,374.061,432.789,485.415,412.122,368.303,405.403,445.558,411.348,412.314,403.145,409.9,419.936,415.938,429.147,427.68,438.901,425.413,415.236,419.309,439.449,406.911,441.435,416.177,420.518,437.743,448.642,433.461,426.142,434.408,428.296,419.951,414.517,416.564,421.439,436.114,442.594,441.883,446.933,435.724,465.675,450.404,437.584,449.818,408.683,415.326,437.566,440.378,441.345,434.447,445.651,431.403,458.077,451.465,425.369,430.541,449.729,446.324,468.371,459.379,433.685,435.168,445.552,447.335,443.826,452.393,453.688,448.964,436.393,447.972,444.254,462.083,436.59,456.036,468.116,480.48,448.917,452.811,460.297,463.946,454.478,434.138,445.644,466.367,471.751,447.343,446.562,458.329,486.573,467.145,473.514,445.802,452.929,462.717,460.568,481.779,475.461
7.79,0.516,541.096,567.599,617.686,623.659,510.292,591.417,662.756,562.651,502.239,553.705,607.806,561.86,562.144,550.794,560.177,573.337,568.621,586.57,585.294,600.275,581.441,567.641,573.805,601.068,555.651,604.467,569.43,575.282,599.807,614.086,594.106,583.685,595.726,586.287,574.591,567.617,570.82,577.54,597.432,607.244,606.164,612.904,597.255,638.979,617.909,600.626,617.417,560.806,570.172,600.154,604.942,606.615,596.462,612.793,593.007,629.333,620.832,583.852,591.358,618.411,613.294,644.937,632.159,595.75,598.752,613.472,615.189,610.589,622.899,625.036,617.994,601.088,616.948,612.254,636.215,601.463,628.712,645.083,662.309,618.283,623.906,634.236,639.187,625.869,598.742,614.393,642.555,651.203,616.416,615.62,631.695,671.63,644.296,653.152,614.66,624.083,638.877,635.232,665.392,656.616
7.79,0.621,713.419,744.564,813.926,823.552,672.864,780.52,873.39,742.045,662.049,730.622,800.591,741.382,740.381,727.054,739.587,756.096,750.93,774.364,773.684,792.858,767.596,749.62,758.522,793.969,733.039,799.37,752.672,760.233,793.782,811.683,786.52,772.258,789.09,775.208,759.44,750.909,755.673,764.589,790.479,804.664,803.112,811.722,790.734,846.599,818.668,796.31,818.44,743.585,756.28,795.073,802.648,805.343,791.024,813.858,787.446,834.965,824.543,774.188,784.636,821.292,813.949,857.576,840.134,790.551,795.826,815.886,817.142,811.388,828.386,831.685,821.626,799.816,820.686,815.055,845.97,800.443,837.166,858.47,881.533,822.485,830.299,843.994,850.438,832.447,797.762,818.21,854.961,868.102,820.444,819.783,840.883,895.152,858.178,870.027,818.639,830.557,851.951,846.187,887.406,875.683
7.79,0.726,897.831,932.221,1023.02,1037.14,847.165,982.674,1097.46,933.882,833.411,920.034,1005.94,933.527,930.664,915.925,931.814,951.436,946.254,975.306,975.67,998.945,966.836,944.599,956.668,1000.43,922.913,1008.3,949.276,958.535,1001.99,1023.26,993.233,974.75,996.974,977.852,957.69,947.826,954.45,965.687,997.671,1016.93,1014.85,1025.27,998.589,1069.54,1034.4,1006.96,1034.63,940.711,957.02,1004.66,1015.67,1019.66,1000.61,1030.76,997.313,1056.32,1044.24,979.286,993.025,1040.09,1030.19,1087.11,1064.57,1000.6,1008.8,1034.71,1035.03,1028.24,1050.45,1055.15,1041.61,1014.91,1040.98,1034.62,1072.49,1015.85,1062.81,1089.12,1118.4,1043.27,1053.55,1070.78,1078.73,1055.71,1013.63,1039,1084.51,1103.1,1041.25,1040.91,1067.2,1137.08,1089.66,1104.72,1039.64,1053.91,1083.01,1074.63,1127.99,1113.13
7.79,0.84,1108.99,1145.36,1261.3,1281.07,1047.18,1213.76,1352.3,1153.34,1030.11,1136.96,1239.89,1153.51,1148.06,1132.41,1152.1,1174.78,1170.05,1205.23,1207.19,1234.73,1194.88,1168.02,1183.92,1236.67,1140.34,1247.69,1174.82,1185.87,1240.83,1265.42,1230.56,1207.17,1235.78,1210.22,1185.02,1173.99,1182.92,1196.77,1235.34,1260.77,1258.07,1270.34,1237.22,1325.24,1282.08,1249.2,1282.98,1167.89,1188.36,1245.45,1260.82,1266.48,1241.81,1280.61,1239.24,1310.79,1297.24,1215.42,1233.03,1292.06,1279.08,1351.57,1323.15,1242.53,1254.54,1287.23,1286.06,1278.28,1306.64,1313.08,1295.32,1263.45,1295.25,1288.33,1333.61,1264.77,1323.46,1355.18,1391.5,1298.07,1311.3,1332.46,1342.03,1313.27,1263.52,1294.24,1349.28,1374.7,1296.3,1296.5,1328.52,1416.41,1356.98,1375.69,1295.17,1311.79,1350.31,1338.58,1406.06,1387.66
7.79,0.944,1310.48,1347.26,1487.55,1513.1,1238.47,1433.81,1593.75,1362.54,1218.32,1343.97,1461.98,1363.37,1355.08,1339.17,1362.43,1387.55,1383.68,1424.4,1428.24,1459.44,1412.34,1381.3,1401.02,1461.84,1347.82,1476.12,1390.36,1402.97,1468.98,1496.25,1457.46,1429.35,1464.21,1432.14,1402.18,1390.35,1401.62,1417.9,1462.38,1493.98,1490.68,1504.51,1465.34,1569.41,1518.82,1481.14,1520.51,1385.9,1410.33,1475.8,1495.68,1503.11,1472.89,1520.16,1471.37,1554.31,1539.72,1441.78,1463.16,1533.56,1517.54,1605.11,1571.07,1474.52,1490.54,1529.76,1526.76,1518.25,1552.58,1560.79,1538.82,1502.41,1539.47,1532.26,1584.09,1504.11,1573.97,1610.54,1653.45,1542.77,1558.91,1583.7,1594.7,1560.53,1504.18,1539.76,1603.36,1635.81,1541.44,1542.31,1579.57,1684.66,1613.78,1635.96,1540.99,1559.53,1607.52,1592.31,1673.38,1651.65
7.79,1.054,1532.28,1568.01,1735.32,1767.59,1449.56,1675.47,1857.53,1592.58,1426.13,1571.84,1705.15,1594.31,1582.54,1566.97,1594.09,1621.37,1618.9,1665.38,1671.63,1706.41,1651.52,1616.15,1640.22,1709.35,1576.23,1727.46,1627.94,1642.09,1720.29,1749.97,1707.59,1674.28,1716.15,1676.56,1641.41,1629.05,1643.04,1661.93,1712.47,1751.14,1747.18,1762.49,1716.82,1838.19,1779.7,1737.17,1782.42,1627.14,1655.92,1729.87,1755.07,1764.61,1728.16,1784.91,1728.16,1822.93,1807.62,1691.97,1717.55,1800.38,1780.9,1885.24,1845.05,1730.98,1751.8,1798.21,1792.81,1783.72,1824.72,1834.97,1808.18,1767.23,1809.82,1802.56,1861.02,1769.38,1851.44,1892.96,1942.99,1813.63,1833.06,1861.7,1874.16,1834.11,1771.3,1811.93,1884.38,1925.06,1812.99,1814.75,1857.53,1981.49,1898.08,1924.04,1813.55,1833.82,1892.71,1873.39,1969.47,1944.15
8.17,0.292,200.756,214.726,229.443,226.542,188.542,216.203,245.769,206.227,186.568,202.053,225.576,206.198,212.573,201.862,205.68,211.525,208.147,216.402,213.597,219.439,215.189,208.241,208.759,221.497,205.03,221.457,209.169,210.47,218.335,225.988,216.806,213.418,216.033,215.637,210.419,206.645,207.148,210.878,219.672,219.991,221.136,223.106,218.923,233.816,226.201,218.289,224.281,202.988,206.003,219.583,217.406,218.349,217.35,220.097,212.787,229.009,223.088,212.768,213.66,221.974,222.485,230.884,227.617,216.865,214.429,219.4,221.671,220.428,224.235,223.058,221.452,214.381,220.733,217.57,229.488,213.575,224.208,231.596,236.996,220.446,223.135,226.68,227.882,225.265,212.317,219.15,231.172,231.207,220.815,219.969,226.754,239.198,230.174,233.579,220.204,224.044,226.587,227.186,236.161,233.017
8.17,0.414,349.071,371.742,399.948,395.88,327.359,377.119,429.067,358.982,323.696,351.746,392.88,359.156,369.556,351.573,358.483,368.422,363.011,377.554,373.19,383.278,375.379,363.174,364.557,386.916,356.995,387.403,365.208,367.477,382.186,395.247,379.592,373.254,378.493,376.905,367.454,361.118,362.324,368.995,384.435,385.782,387.727,391.078,383.41,410.427,396.788,382.985,393.634,355.579,361.156,384.898,381.791,383.772,381.433,387.109,373.868,402.548,392.489,373.148,375.068,390.469,391.033,407.134,400.966,380.854,377.28,386.529,390.006,387.977,395.217,393.377,390.066,377.731,389.043,383.715,404.602,376.364,395.805,408.837,418.664,388.553,393.598,399.959,402.038,397.149,374.661,386.752,407.992,409.043,389.49,388.196,400.249,423.383,406.756,412.915,388.703,395.267,400.878,401.393,418.232,412.546
