R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,169.693,169.74,169.669,169.746,169.53,169.678,169.866,169.46,169.408,169.474,169.876,169.313,169.454,169.157,169.144,169.414,169.147,169.388,169.085,169.233,169.094,169.038,168.813,169.219,168.878,168.963,168.807,168.84,169.121,169.216,168.759,168.612,168.584,168.869,170.832,170.361,170.849,168.494,168.898,168.618,168.451,168.578,173.176,169.608,169.287,173.89,171.193,173.977,170.297,170.524,168.651,169.919,170.667,170.771,170.086,171.995,173.131,176.761,175.446,175.255,174.302,172.837,171.914,177.246,175.44,173.299,177.392,175.169,175.182,174.707,176.413,174.912,174.85,178.132,174.884,178.959,176.624,176.752,177.337,179.269,180.394,179.209,178.026,179.021,177.711,179.357,179.58,178.984,181.698,180.164,180.32,180.617,182.083,180.27,181.941,183.238,180.599,180.106,180.001,182.068
1.02261,170.608,170.657,170.583,170.665,170.438,170.593,170.79,170.365,170.31,170.379,170.8,170.216,170.362,170.057,170.044,170.324,170.048,170.289,169.984,170.137,170.005,169.943,169.724,170.126,169.797,169.876,169.715,169.753,170.035,170.136,169.66,169.522,169.491,169.781,171.777,171.306,171.793,169.411,169.814,169.535,169.364,169.493,174.152,170.533,170.221,174.878,172.15,174.97,171.252,171.471,169.581,170.864,171.621,171.725,171.029,172.964,174.106,177.775,176.458,176.251,175.298,173.807,172.882,178.278,176.45,174.287,178.39,176.187,176.201,175.706,177.436,175.925,175.862,179.174,175.889,179.975,177.655,177.78,178.367,180.279,181.422,180.215,179.055,180.015,178.768,180.434,180.573,180.047,182.707,181.192,181.375,181.635,183.047,181.299,183.005,184.291,181.706,181.154,181.057,183.087
1.04573,171.494,171.544,171.468,171.554,171.315,171.479,171.685,171.239,171.181,171.255,171.695,171.088,171.239,170.928,170.913,171.205,170.918,171.16,170.852,171.011,170.887,170.818,170.606,171.003,170.686,170.759,170.593,170.637,170.919,171.027,170.531,170.403,170.368,170.665,172.694,172.223,172.707,170.298,170.702,170.424,170.247,170.378,175.101,171.429,171.127,175.838,173.078,175.936,172.178,172.39,170.484,171.782,172.548,172.651,171.943,173.905,175.052,178.762,177.444,177.22,176.267,174.75,173.822,179.284,177.433,175.248,179.359,177.179,177.193,176.679,178.432,176.911,176.848,180.189,176.867,180.962,178.66,178.782,179.369,181.261,182.42,181.193,180.056,180.979,179.798,181.485,181.536,181.085,183.686,182.191,182.403,182.624,183.979,182.3,184.041,185.315,182.788,182.175,182.086,184.077
1.06937,172.348,172.4,172.321,172.411,172.161,172.332,172.548,172.081,172.02,172.097,172.559,171.928,172.085,171.766,171.75,172.053,171.756,171.998,171.688,171.853,171.737,171.66,171.456,171.849,171.545,171.611,171.439,171.489,171.772,171.886,171.37,171.252,171.213,171.516,173.58,173.109,173.591,171.155,171.557,171.281,171.099,171.231,176.019,172.294,172.003,176.768,173.976,176.872,173.075,173.278,171.356,172.669,173.444,173.546,172.828,174.816,175.968,179.719,178.401,178.158,177.206,175.663,174.733,180.261,178.386,176.179,180.298,178.142,178.158,177.622,179.399,177.869,177.804,181.176,177.815,181.919,179.636,179.756,180.342,182.212,183.388,182.139,181.028,181.912,180.801,182.509,182.466,182.095,184.633,183.159,183.402,183.581,184.875,183.271,185.049,186.308,183.845,183.166,183.086,185.035
1.09355,173.168,173.221,173.14,173.235,172.972,173.152,173.378,172.889,172.824,172.906,173.389,172.733,172.896,172.57,172.553,172.867,172.559,172.802,172.489,172.66,172.553,172.469,172.273,172.66,172.37,172.429,172.251,172.307,172.591,172.712,172.174,172.068,172.024,172.334,174.433,173.963,174.443,171.978,172.38,172.105,171.918,172.052,176.905,173.125,172.846,177.667,174.843,177.777,173.94,174.135,172.196,173.525,174.309,174.41,173.68,175.695,176.853,180.645,179.327,179.065,178.114,176.544,175.612,181.208,179.308,177.079,181.204,179.075,179.092,178.534,180.336,178.797,178.73,182.132,178.733,182.843,180.582,180.699,181.285,183.13,184.324,183.051,181.97,182.81,181.775,183.504,183.363,183.076,185.545,184.095,184.37,184.505,185.734,184.209,186.025,187.269,184.874,184.127,184.056,185.959
1.11827,173.951,174.007,173.922,174.022,173.746,173.935,174.171,173.659,173.591,173.677,174.182,173.501,173.671,173.336,173.318,173.645,173.325,173.568,173.253,173.43,173.332,173.24,173.053,173.434,173.16,173.21,173.026,173.089,173.373,173.502,172.941,172.847,172.799,173.116,175.252,174.781,175.259,172.766,173.166,172.893,172.7,172.836,177.757,173.92,173.654,178.532,175.674,178.649,174.77,174.956,173,174.345,175.139,175.239,174.497,176.54,177.703,181.536,180.219,179.937,178.989,177.39,176.456,182.121,180.197,177.945,182.074,179.975,179.993,179.412,181.239,179.691,179.623,183.056,179.617,183.732,181.495,181.608,182.194,184.012,185.224,183.928,182.877,183.672,182.717,184.467,184.222,184.025,186.42,184.996,185.305,185.393,186.552,185.112,186.968,188.195,185.873,185.053,184.993,186.845
1.14355,174.696,174.753,174.665,174.77,174.48,174.679,174.926,174.39,174.318,174.409,174.938,174.229,174.406,174.063,174.043,174.383,174.051,174.295,173.977,174.16,174.073,173.972,173.794,174.168,173.911,173.953,173.763,173.833,174.117,174.254,173.669,173.588,173.535,173.859,176.032,175.563,176.037,173.515,173.914,173.642,173.444,173.582,178.571,174.677,174.424,179.361,176.468,179.484,175.564,175.74,173.768,175.129,175.932,176.031,175.276,177.349,178.516,182.392,181.076,180.773,179.827,178.199,177.264,182.999,181.05,178.775,182.907,180.84,180.859,180.254,182.106,180.55,180.481,183.944,180.466,184.583,182.373,182.483,183.068,184.856,186.086,184.766,183.748,184.494,183.625,185.397,185.041,184.939,187.255,185.86,186.204,186.242,187.327,185.978,187.875,189.084,186.839,185.944,185.895,187.693
1.16941,175.398,175.458,175.366,175.477,175.173,175.381,175.64,175.078,175.002,175.098,175.652,174.914,175.098,174.747,174.726,175.08,174.735,174.979,174.658,174.849,174.772,174.663,174.494,174.861,174.621,174.655,174.457,174.535,174.819,174.964,174.355,174.287,174.229,174.561,176.773,176.304,176.775,174.223,174.621,174.351,174.147,174.287,179.347,175.394,175.155,180.15,177.223,180.281,176.319,176.484,174.496,175.873,176.686,176.784,176.016,178.118,179.289,183.209,181.895,181.57,180.627,178.969,178.033,183.839,181.865,179.567,183.699,181.668,181.688,181.058,182.936,181.372,181.301,184.794,181.276,185.394,183.214,183.32,183.904,185.659,186.909,185.563,184.581,185.275,184.497,186.292,185.819,185.818,188.048,186.683,187.065,187.051,188.056,186.804,188.743,189.932,187.772,186.796,186.759,188.499
1.19584,176.056,176.118,176.023,176.139,175.82,176.039,176.31,175.72,175.641,175.742,176.322,175.554,175.746,175.386,175.362,175.731,175.373,175.617,175.294,175.492,175.426,175.307,175.15,175.508,175.287,175.312,175.107,175.192,175.477,175.631,174.995,174.942,174.878,175.218,177.47,177.003,177.469,174.888,175.283,175.016,174.806,174.948,180.08,176.066,175.842,180.898,177.936,181.036,177.032,177.186,175.18,176.575,177.398,177.494,176.713,178.845,180.02,183.983,182.672,182.324,181.384,179.695,178.759,184.639,182.638,180.317,184.447,182.455,182.476,181.82,183.725,182.152,182.081,185.604,182.044,186.162,184.014,184.116,184.698,186.419,187.688,186.316,185.372,186.011,185.33,187.147,186.55,186.656,188.796,187.464,187.886,187.815,188.735,187.587,189.57,190.737,188.667,187.607,187.582,189.26
1.22288,176.667,176.73,176.632,176.754,176.418,176.648,176.933,176.315,176.231,176.337,176.945,176.146,176.345,175.976,175.951,176.335,175.963,176.206,175.881,176.086,176.033,175.904,175.758,176.108,175.907,175.921,175.709,175.803,176.087,176.251,175.587,175.55,175.48,175.828,178.122,177.656,178.118,175.506,175.899,175.635,175.418,175.562,180.768,176.692,176.484,181.601,178.603,181.746,177.7,177.842,175.819,177.231,178.065,178.159,177.365,179.527,180.706,184.714,183.406,183.034,182.099,180.377,179.441,185.395,183.368,181.023,185.15,183.2,183.221,182.538,184.471,182.89,182.817,186.371,182.769,186.884,184.771,184.869,185.449,187.132,188.421,187.023,186.119,186.699,186.121,187.962,187.234,187.453,189.495,188.198,188.662,188.532,189.362,188.324,190.353,191.496,189.522,188.374,188.361,189.973
