R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,183.123,194.614,208.971,209.95,172.981,199.546,223.797,190.38,170.39,187.095,205.873,189.888,190.353,186.031,189.07,193.975,191.767,197.71,196.864,202.231,195.949,191.455,193.051,202.159,187.945,202.76,191.505,193.685,200.994,206.128,198.908,195.792,199.291,196.802,193.347,190.686,191.39,193.494,200.121,202.908,202.51,204.929,199.845,213.146,206.287,200.493,206.068,187.456,190.403,200.549,201.742,202.013,198.986,203.855,197.49,209.517,206.523,194.954,197.251,205.744,204.224,213.869,209.942,198.555,199.004,203.604,204.582,202.917,206.652,207.177,205.163,199.358,204.645,202.889,210.994,199.476,208.145,213.557,219.2,205.114,206.767,210.15,211.899,207.504,198.141,203.408,212.789,215.05,204.181,203.753,209.167,221.73,212.965,215.93,203.379,206.73,210.935,210.01,219.505,216.643
7.79,0.421,312.796,330.503,357.408,360.174,295.214,341.788,383.193,325.547,290.586,320.063,351.868,324.898,324.844,318.348,323.708,331.745,328.521,338.695,337.807,346.806,335.632,327.961,331.195,346.712,321.42,348.288,328.434,332.143,345.537,353.924,342.041,336.338,342.96,337.814,331.625,327.382,328.908,332.581,343.9,349.466,348.685,352.748,343.7,367.292,355.287,345.458,355.155,322.692,328.006,345.208,348.01,348.741,342.939,352.152,340.917,361.587,356.83,335.817,340.133,355.449,352.452,370.289,363.119,342.445,343.989,352.341,353.468,350.736,357.652,358.856,354.925,345.111,354.267,351.538,365.205,345.399,360.881,370.116,380.123,355.113,358.188,364.112,367.118,359.206,343.575,352.608,368.673,373.592,353.7,353.174,362.517,385.254,369.499,374.744,352.583,358.129,366.502,364.342,381.657,376.598
7.79,0.516,426.608,448.637,487.504,492.351,402.526,466.823,522.898,444.225,396.056,436.924,479.74,443.548,442.638,434.716,442.155,452.69,448.882,462.694,462.06,474.071,458.489,448.099,452.993,473.978,438.679,476.676,449.145,454.147,473.223,484.19,468.566,460.445,470.08,462.191,453.505,448.07,450.473,455.537,470.866,479.228,478.075,483.499,470.874,503.727,487.17,473.931,487.239,442.582,450.069,473.236,477.815,479.091,470.585,483.982,468.388,496.518,490.444,460.693,466.94,488.52,484.053,509.621,499.436,470.168,473.059,484.885,485.844,482.271,492.196,494.138,488.302,475.118,487.65,484.233,502.568,475.592,497.274,509.773,523.704,488.834,493.27,501.44,505.527,494.403,473.606,485.881,507.679,515.444,487.118,486.623,499.379,531.497,509.342,516.64,485.876,493.196,505.779,502.252,526.843,519.81
7.79,0.621,562.273,588.243,642.125,649.919,530.583,615.862,688.802,585.645,521.897,576.322,631.659,585.05,582.752,573.621,583.549,596.765,592.581,610.599,610.556,625.925,605.056,591.534,598.601,625.861,578.507,630.149,593.463,599.932,626.037,639.758,620.098,608.983,622.438,610.905,599.18,592.543,596.138,602.856,622.793,634.802,633.179,640.113,623.19,667.165,645.223,628.109,645.647,586.622,596.763,626.71,633.745,635.811,623.859,642.55,621.744,658.518,651.132,610.65,619.326,648.549,642.187,677.397,663.5,623.673,628.536,644.638,645.089,640.632,654.322,657.271,648.963,631.971,648.453,644.396,668.009,632.695,661.906,678.149,696.789,650.036,656.193,667.021,672.353,657.33,630.808,646.83,675.232,686.873,648.094,647.759,664.494,708.107,678.147,687.919,646.869,656.108,674.22,668.792,702.364,692.963
7.79,0.726,707.456,736.258,806.849,818.26,667.879,775.174,865.262,736.859,656.835,725.556,793.457,736.488,732.333,722.452,735.029,750.74,746.523,768.844,769.75,788.404,761.913,745.199,754.781,788.407,728.162,794.66,748.295,756.223,790.051,806.321,782.879,768.472,786.221,770.413,755.399,747.741,752.764,761.231,785.845,802.064,799.92,808.315,786.813,842.646,815.057,794.063,815.989,741.957,754.978,791.722,801.734,804.804,788.957,813.59,787.252,832.889,824.408,772.223,783.61,821.114,812.587,858.482,840.529,789.176,796.536,817.319,816.879,811.632,829.509,833.658,822.506,801.729,822.304,817.773,846.651,802.744,840.087,860.123,883.776,824.299,832.399,846.013,852.606,833.388,801.301,821.158,856.279,872.577,822.278,822.256,843.106,899.228,860.807,873.237,821.27,832.31,856.855,849.108,892.537,880.609
7.79,0.84,873.7,904.353,994.547,1010.5,825.428,957.269,1065.93,909.828,811.729,896.46,977.78,909.854,903.232,893.032,908.607,926.767,922.889,949.901,952.204,974.273,941.441,921.261,933.884,974.389,899.521,983.137,925.909,935.379,978.177,996.944,969.756,951.52,974.354,953.307,934.522,925.975,932.772,943.209,972.871,994.183,991.436,1001.33,974.649,1043.91,1010.02,984.894,1011.66,920.962,937.298,981.292,995.039,999.414,978.936,1010.59,978.021,1033.33,1023.92,958.227,972.801,1019.81,1008.69,1067.09,1044.46,979.787,990.368,1016.58,1014.77,1008.79,1031.59,1037.22,1022.63,997.85,1022.94,1018.08,1052.56,999.216,1045.89,1070.01,1099.33,1025.38,1035.8,1052.52,1060.47,1036.47,998.634,1022.67,1065.06,1087.18,1023.45,1023.93,1049.31,1119.85,1071.7,1087.17,1022.89,1035.72,1068.1,1057.43,1112.31,1097.51
7.79,0.944,1032.33,1063.57,1172.75,1193.35,976.109,1130.65,1256.04,1074.7,959.937,1059.54,1152.74,1075.22,1065.98,1055.94,1074.33,1094.45,1091.22,1122.48,1126.38,1151.39,1112.62,1089.32,1104.97,1151.64,1063.02,1162.97,1095.63,1106.45,1157.87,1178.64,1148.41,1126.49,1154.29,1127.97,1105.61,1096.46,1105.07,1117.34,1151.53,1177.91,1174.59,1185.74,1154.21,1236.08,1196.37,1167.59,1198.78,1092.73,1112.22,1162.63,1180.21,1185.96,1160.94,1199.45,1161.05,1225.13,1215.12,1136.51,1154.18,1210.23,1196.56,1267.06,1239.96,1162.54,1176.49,1207.91,1204.49,1197.98,1225.56,1232.69,1214.67,1186.39,1215.62,1210.65,1250.05,1188.1,1243.65,1271.42,1306.06,1218.46,1231.16,1250.74,1259.91,1231.39,1188.65,1216.47,1265.4,1293.46,1216.76,1217.84,1247.38,1331.68,1274.26,1292.62,1216.83,1231.09,1271.35,1257.65,1323.54,1306.05
7.79,1.054,1206.96,1237.63,1367.89,1393.86,1142.39,1321.05,1463.7,1255.98,1123.59,1239.04,1344.3,1257.18,1244.8,1235.4,1256.83,1278.71,1276.55,1312.21,1318.14,1346.02,1300.89,1274.36,1293.45,1346.46,1243,1360.83,1282.69,1294.86,1355.78,1378.33,1345.34,1319.36,1352.73,1320.34,1294.07,1284.54,1295.24,1309.49,1348.31,1380.48,1376.53,1388.89,1352.14,1447.6,1401.7,1369.24,1405.09,1282.78,1305.73,1362.62,1384.69,1392.09,1361.97,1408.14,1363.49,1436.68,1426.33,1333.55,1354.67,1420.58,1404.03,1487.97,1455.97,1364.55,1382.5,1419.67,1414.15,1407.25,1440.17,1449.01,1427.08,1395.31,1428.88,1423.98,1468.36,1397.4,1462.65,1494.16,1534.51,1432.13,1447.42,1470.04,1480.45,1447.02,1399.53,1431.28,1486.92,1521.92,1430.86,1432.74,1466.64,1566.03,1498.46,1519.97,1431.82,1447.37,1496.66,1479.41,1557.46,1537.06
8.17,0.292,158.605,170.021,181.346,179.034,148.999,170.871,194.21,163.072,147.431,159.73,178.321,163.007,167.868,159.564,162.553,167.206,164.516,170.952,168.773,173.44,169.967,164.571,164.996,174.934,162.071,174.875,165.206,166.305,172.441,178.454,171.182,168.553,170.618,170.242,166.241,163.28,163.642,166.497,173.361,173.745,174.555,176.173,172.785,184.515,178.505,172.322,177.118,160.307,162.7,173.292,171.778,172.459,171.529,173.827,168.11,180.737,176.213,167.948,168.745,175.345,175.593,182.331,179.727,171.163,169.397,173.339,175.02,174.017,177.044,176.234,174.908,169.381,174.372,171.983,181.121,168.831,177.167,182.819,187.181,174.215,176.272,179.072,180.106,177.801,167.82,173.152,182.449,182.744,174.349,173.715,179.053,188.983,181.735,184.498,173.869,176.879,179.116,179.395,186.663,184.164
8.17,0.414,275.429,293.975,315.714,312.482,258.377,297.682,338.631,283.511,255.466,277.719,310.192,283.575,291.444,277.557,282.966,290.872,286.562,297.884,294.511,302.566,296.118,286.657,287.775,305.195,281.847,305.532,288.085,290.007,301.473,311.719,299.335,294.417,298.55,297.183,289.945,284.98,285.865,290.971,303.004,304.305,305.671,308.423,302.223,323.48,312.728,301.957,310.471,280.456,284.879,303.373,301.285,302.739,300.643,305.348,295,317.302,309.635,294.17,295.852,308.061,308.234,321.123,316.215,300.213,297.673,305.001,307.542,305.909,311.658,310.414,307.699,298.067,306.949,302.934,318.937,297.134,312.376,322.337,330.263,306.677,310.544,315.563,317.357,313.075,295.766,305.195,321.602,322.909,307.137,306.181,315.66,334.093,320.749,325.751,306.527,311.664,316.503,316.564,330.173,325.65
