R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,173.566,173.615,174.137,174.24,172.886,173.753,175.388,172.883,172.619,172.832,174.652,172.646,173.338,172.286,172.361,173.1,172.387,173.115,172.397,172.818,172.646,172.264,171.832,172.992,172,172.528,171.94,172.006,172.366,172.875,171.95,171.64,171.576,172.27,173.821,173.026,173.472,171.451,172.37,171.575,171.545,171.775,176.121,173.04,172.445,176.44,173.891,176.129,172.566,173.458,171.11,172.287,173.266,173.141,172.288,174.704,175.404,178.933,177.557,177.458,176.735,175.176,174.167,179.323,177.305,175.159,179.491,177.136,177.045,176.527,178.347,176.575,176.634,179.633,177.018,180.472,178.181,178.72,179.266,180.917,181.959,180.92,179.758,180.904,179.016,180.749,181.494,180.375,183.27,181.674,181.875,182.179,183.74,181.814,183.318,184.772,181.774,181.629,181.341,183.365
1.02261,174.591,174.641,175.176,175.283,173.889,174.782,176.464,173.884,173.613,173.833,175.709,173.644,174.355,173.276,173.353,174.115,173.38,174.123,173.391,173.824,173.658,173.26,172.829,174.006,173.006,173.541,172.937,173.009,173.371,173.897,172.942,172.636,172.567,173.28,174.849,174.046,174.49,172.452,173.383,172.576,172.545,172.779,177.179,174.061,173.467,177.498,174.922,177.181,173.584,174.487,172.111,173.3,174.292,174.162,173.293,175.748,176.442,180.007,178.627,178.515,177.799,176.212,175.198,180.412,178.366,176.199,180.547,178.208,178.115,177.577,179.423,177.633,177.695,180.717,178.081,181.53,179.255,179.802,180.347,181.973,183.029,181.974,180.835,181.95,180.107,181.863,182.54,181.475,184.323,182.744,182.972,183.24,184.753,182.887,184.419,185.867,182.912,182.718,182.433,184.421
1.04573,175.591,175.644,176.193,176.304,174.868,175.788,177.518,174.861,174.581,174.808,176.743,174.616,175.349,174.242,174.319,175.105,174.348,175.104,174.358,174.805,174.644,174.232,173.801,174.995,173.989,174.53,173.908,173.986,174.351,174.896,173.909,173.607,173.534,174.263,175.853,175.04,175.482,173.427,174.372,173.552,173.52,173.759,178.211,175.058,174.466,178.532,175.93,178.21,174.577,175.492,173.085,174.287,175.294,175.157,174.272,176.768,177.454,181.057,179.673,179.547,178.837,177.223,176.203,181.477,179.403,177.214,181.578,179.256,179.161,178.602,180.473,178.669,178.732,181.775,179.121,182.562,180.305,180.861,181.405,183.004,184.073,183.002,181.886,182.97,181.175,182.952,183.56,182.553,185.349,183.786,184.045,184.275,185.735,183.933,185.496,186.935,184.028,183.783,183.502,185.449
1.06937,176.566,176.62,177.183,177.299,175.819,176.768,178.549,175.811,175.522,175.757,177.753,175.561,176.316,175.179,175.257,176.068,175.288,176.06,175.299,175.759,175.606,175.176,174.746,175.958,174.945,175.493,174.853,174.938,175.306,175.869,174.848,174.552,174.473,175.222,176.832,176.01,176.447,174.376,175.336,174.501,174.469,174.712,179.22,176.028,175.439,179.541,176.912,179.212,175.544,176.472,174.034,175.248,176.271,176.126,175.226,177.761,178.441,182.079,180.693,180.553,179.85,178.208,177.184,182.517,180.412,178.202,182.581,180.279,180.181,179.601,181.499,179.677,179.743,182.807,180.134,183.565,181.328,181.894,182.437,184.005,185.09,184,182.911,183.962,182.217,184.018,184.55,183.605,186.344,184.801,185.09,185.281,186.684,184.951,186.544,187.975,185.119,184.821,184.542,186.447
1.09355,177.513,177.569,178.147,178.268,176.741,177.721,179.554,176.732,176.433,176.677,178.736,176.477,177.255,176.087,176.167,177.004,176.199,176.987,176.211,176.685,176.538,176.091,175.663,176.892,175.873,176.428,175.769,175.861,176.231,176.814,175.758,175.467,175.383,176.151,177.783,176.95,177.385,175.297,176.272,175.422,175.389,175.638,180.2,176.972,176.384,180.521,177.864,180.186,176.483,177.422,174.954,176.18,177.22,177.066,176.149,178.728,179.398,183.074,181.686,181.53,180.836,179.164,178.135,183.528,181.394,179.162,183.555,181.275,181.174,180.572,182.496,180.657,180.726,183.811,181.119,184.538,182.324,182.898,183.441,184.977,186.076,184.968,183.907,184.921,183.232,185.056,185.509,184.63,187.308,185.786,186.107,186.255,187.599,185.94,187.565,188.986,186.184,185.829,185.554,187.414
1.11827,178.43,178.488,179.082,179.209,177.632,178.643,180.533,177.622,177.313,177.565,179.693,177.362,178.164,176.964,177.045,177.91,177.079,177.884,177.091,177.579,177.44,176.976,176.549,177.798,176.77,177.332,176.653,176.752,177.126,177.73,176.637,176.352,176.263,177.05,178.703,177.861,178.291,176.187,177.178,176.312,176.279,176.533,181.151,177.885,177.299,181.471,178.788,181.129,177.391,178.344,175.844,177.083,178.139,177.977,177.042,179.664,180.326,184.039,182.649,182.478,181.791,180.09,179.056,184.511,182.346,180.091,184.497,182.24,182.138,181.512,183.464,181.607,181.679,184.784,182.075,185.479,183.289,183.874,184.414,185.916,187.029,185.904,184.873,185.848,184.217,186.065,186.434,185.624,188.238,186.739,187.094,187.197,188.477,186.895,188.553,189.963,187.22,186.807,186.536,188.345
1.14355,179.315,179.375,179.987,180.118,178.49,179.536,181.483,178.479,178.159,178.421,180.619,178.213,179.041,177.807,177.89,178.783,177.925,178.747,177.937,178.441,178.311,177.827,177.401,178.67,177.635,178.205,177.506,177.613,177.988,178.614,177.482,177.204,177.108,177.918,179.592,178.739,179.165,177.044,178.052,177.171,177.136,177.396,182.07,178.766,178.184,182.391,179.679,182.042,178.267,179.234,176.702,177.952,179.026,178.854,177.903,180.569,181.22,184.971,183.58,183.392,182.716,180.983,179.945,185.461,183.265,180.988,185.405,183.174,183.069,182.419,184.4,182.526,182.6,185.725,182.999,186.385,184.222,184.817,185.356,186.82,187.948,186.805,185.805,186.74,185.171,187.043,187.323,186.587,189.131,187.656,188.048,188.103,189.315,187.816,189.508,190.906,188.227,187.752,187.486,189.24
1.16941,180.167,180.229,180.858,180.995,179.314,180.394,182.402,179.301,178.97,179.241,181.513,179.029,179.884,178.614,178.698,179.622,178.737,179.576,178.748,179.269,179.148,178.643,178.218,179.508,178.466,179.044,178.322,178.437,178.816,179.464,178.294,178.021,177.919,178.751,180.447,179.582,180.003,177.867,178.892,177.994,177.959,178.223,182.956,179.613,179.034,183.275,180.537,182.919,179.108,180.089,177.524,178.786,179.878,179.697,178.728,181.44,182.08,185.869,184.478,184.272,183.606,181.841,180.799,186.378,184.15,181.85,186.276,184.074,183.967,183.291,185.302,183.41,183.486,186.632,183.888,187.254,185.12,185.726,186.262,187.686,188.83,187.667,186.702,187.593,186.09,187.988,188.175,187.516,189.984,188.537,188.967,188.971,190.11,188.701,190.428,191.812,189.201,188.661,188.399,190.097
1.19584,180.983,181.047,181.694,181.838,180.1,181.216,183.289,180.085,179.743,180.025,182.372,179.807,180.69,179.382,179.47,180.424,179.509,180.367,179.521,180.06,179.946,179.422,178.998,180.31,179.26,179.846,179.101,179.225,179.607,180.278,179.065,178.801,178.692,179.547,181.264,180.388,180.804,178.653,179.695,178.78,178.744,179.015,183.806,180.423,179.848,184.124,181.357,183.759,179.913,180.909,178.309,179.584,180.694,180.503,179.514,182.274,182.902,186.729,185.339,185.113,184.46,182.662,181.616,187.258,184.997,182.675,187.11,184.939,184.828,184.126,186.166,184.257,184.336,187.5,184.741,188.083,185.982,186.599,187.133,188.512,189.671,188.49,187.562,188.405,186.974,188.898,188.985,188.409,190.796,189.379,189.848,189.799,190.86,189.545,191.309,192.678,190.141,189.531,189.275,190.91
1.22288,181.759,181.827,182.493,182.643,180.845,182.001,184.141,180.83,180.474,180.767,183.197,180.546,181.458,180.111,180.2,181.188,180.241,181.119,180.253,180.81,180.707,180.16,179.738,181.073,180.015,180.609,179.841,179.972,180.357,181.055,179.797,179.54,179.425,180.304,182.043,181.156,181.566,179.399,180.46,179.526,179.49,179.767,184.618,181.195,180.624,184.934,182.139,184.561,180.678,181.689,179.055,180.343,181.471,181.269,180.262,183.071,183.685,187.55,186.161,185.916,185.275,183.444,182.394,188.1,185.805,183.46,187.902,185.764,185.651,184.921,186.992,185.064,185.147,188.33,185.555,188.87,186.805,187.433,187.963,189.295,190.471,189.27,188.381,189.175,187.818,189.768,189.752,189.263,191.563,190.177,190.689,190.584,191.562,190.348,192.149,193.501,191.043,190.361,190.11,191.681
