R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,326.822,366.586,371.774,367.367,303.512,349.788,404.431,328.86,296.902,321.519,376.183,323.311,337.091,312.14,316.411,336.909,319.743,336.573,322.963,338.651,330.631,318.453,312.731,340.045,315.415,332.219,311.783,316.793,321.791,339.961,315.518,310.979,310.339,321.736,313.848,299.379,297.276,303.838,323.235,312.251,313.666,321.152,314.88,332.113,319.455,302.491,310.934,277.467,279.239,310.057,295.011,291.741,296.831,293.447,282.206,311.085,296.093,288.329,286.64,295.907,299.807,300.975,295.126,287.428,276.478,277.552,292.6,283.051,281.855,280.126,285.052,267.014,277.046,267.448,293.497,265.796,272.635,291.242,296.44,277.711,276.08,283.596,285.888,286.333,252.775,263.814,291.88,273.489,274.116,269.087,276.908,287.44,284.373,282.062,264.824,276.87,261.907,274.86,275.99,273.246
7.79,0.421,557.7,622.489,635.734,629.933,517.349,598.754,692.599,561.953,505.711,549.559,642.78,552.777,574.905,533.707,541.3,575.827,547.353,576.222,553.787,580.431,565.964,545.096,536.105,582.876,539.016,570.309,534.28,542.848,552.813,583.435,542.147,533.8,533.64,551.857,537.893,513.565,510.429,521.785,555.063,537.385,539.675,552.437,541.13,571.995,549.831,520.774,535.53,477.154,480.571,533.288,508.491,503.214,511.118,506.484,486.712,536.501,511.173,496.201,493.827,510.796,516.974,520.689,510.041,495.276,477.461,479.879,505.099,488.802,487.378,484.789,492.696,461.785,479.172,462.974,507.581,459.796,472.278,504.327,513.679,480.373,477.833,490.944,494.906,495.215,437.872,456.892,505.265,474.713,474.386,465.966,479.494,499.027,492.944,489.109,458.649,479.188,454.66,476.413,479.473,474.578
7.79,0.516,760.262,845.116,867.192,860.944,704.956,817.569,945.387,766.559,688.817,749.894,876.373,754.381,783.249,728.493,739.082,785.548,747.617,786.986,757.221,793.243,772.944,744.51,732.981,796.672,735.413,780.337,730.368,741.983,756.843,798.052,742.421,730.504,731.146,754.794,735.316,702.591,698.766,714.379,759.752,736.656,739.682,756.976,741.106,784.323,753.721,714.154,734.466,654.072,659.061,730.807,697.859,690.991,701.059,695.774,668.368,736.477,702.283,680.398,677.618,701.719,709.712,716.32,701.228,679.694,656.277,660.082,693.948,671.804,670.42,667.229,677.526,635.404,659.264,637.404,698.204,632.767,650.463,694.329,707.435,660.939,657.716,675.796,681.199,681.276,603.252,629.256,695.467,654.66,652.984,641.693,660.212,688.172,679.171,674.017,631.704,659.583,627.132,656.423,661.577,654.74
7.79,0.621,1001.57,1108.25,1142.28,1136.2,928.633,1078.26,1245.66,1010.22,907.104,988.681,1153.87,994.675,1031.06,960.844,975.042,1035.26,986.575,1038.29,1000.21,1047.06,1019.78,982.457,968.191,1051.74,969.487,1031.3,964.674,979.795,1000.89,1054.28,982.15,965.806,967.722,997.332,971.148,928.72,924.286,944.998,1004.58,975.433,979.325,1001.86,980.507,1038.61,997.986,946.096,972.942,866.467,873.411,967.475,925.187,916.614,929.014,923.308,886.754,976.477,931.978,901.46,898.337,931.179,941.187,951.754,931.209,901.22,871.523,877.133,920.989,891.999,890.863,887.086,900.022,844.722,876.239,847.792,927.678,841.329,865.405,923.284,940.888,878.462,874.539,898.541,905.6,905.369,803.032,837.274,924.607,871.997,868.327,853.731,878.115,916.474,903.83,897.096,840.586,877.037,835.586,873.673,881.609,872.435
7.79,0.726,1259.54,1387.11,1435.19,1429.99,1168.13,1356.62,1564.96,1270.45,1140.87,1243.99,1449.23,1251.55,1295.48,1209.51,1227.56,1301.88,1242.28,1306.93,1260.43,1318.38,1283.74,1237.11,1220.19,1324.51,1219.76,1300.09,1215.8,1234.48,1262.58,1328.44,1239.43,1218.21,1221.78,1257.25,1223.8,1171.37,1166.5,1192.68,1267.14,1231.9,1236.73,1264.63,1237.47,1311.47,1260.27,1195.52,1229.17,1095.26,1104.34,1221.73,1169.84,1159.66,1174.34,1168.49,1122.19,1234.62,1179.43,1139.43,1136.04,1178.36,1190.4,1205.63,1179.15,1139.85,1103.86,1111.51,1165.68,1129.56,1128.86,1124.57,1140.12,1071.02,1110.59,1075.29,1175.27,1066.82,1097.82,1170.53,1192.9,1113.36,1108.81,1139.1,1147.83,1147.31,1019.47,1062.37,1172,1107.22,1101.11,1083.13,1113.63,1163.34,1146.71,1138.27,1066.66,1112.02,1061.4,1108.69,1119.81,1108.14
7.79,0.84,1554.53,1703.51,1768.64,1765.03,1442.52,1674.35,1927.8,1567.68,1408.8,1535.89,1785.35,1545.2,1597.36,1494.08,1516.51,1606.29,1534.83,1613.93,1558.27,1628.35,1585.51,1528.48,1508.77,1636.27,1505.95,1607.68,1503.52,1526.04,1562.35,1641.88,1534.44,1507.55,1513.23,1554.94,1513.11,1449.65,1444.5,1476.91,1567.98,1526.11,1532.05,1565.82,1532.14,1624.13,1561.07,1482.01,1523.16,1358.56,1370.1,1513.51,1451,1439.21,1456.33,1450.55,1393.2,1531.07,1464.01,1413.06,1409.46,1462.63,1476.91,1497.79,1464.47,1414.39,1371.59,1381.65,1447.22,1403.16,1403.11,1398.33,1416.68,1332.14,1380.74,1337.82,1460.37,1327.01,1365.96,1455.43,1483.11,1384.09,1378.94,1416.32,1426.85,1426.09,1269.68,1322.27,1457.02,1378.77,1369.66,1347.95,1385.25,1448.03,1426.83,1416.4,1327.74,1383,1322.33,1379.94,1394.81,1380.32
7.79,0.944,1835.57,2002.81,2084.82,2083.15,1704.48,1976.38,2271.15,1850.47,1664.73,1813.9,2103.98,1824.83,1884.53,1765.38,1791.92,1895.81,1813.58,1906.12,1842.15,1923.26,1872.86,1806.16,1783.96,1932.99,1778.59,1900.76,1778.05,1804.01,1848.27,1940.25,1816.06,1783.71,1791.57,1838.84,1789.02,1715.42,1710.15,1748.5,1854.98,1807.07,1814.11,1853.18,1813.47,1922.32,1848.24,1755.92,1803.95,1610.82,1624.69,1792.26,1719.93,1706.79,1726.14,1720.56,1652.83,1814.39,1736.35,1674.99,1671.21,1734.68,1751.04,1777.48,1737.65,1677.29,1628.3,1640.68,1716.79,1665.39,1666.05,1660.85,1681.71,1582.82,1639.83,1589.84,1733.5,1576.8,1623.3,1728.5,1761.13,1643.68,1638.06,1682.1,1694.21,1693.34,1510.29,1571.9,1730.18,1639.47,1627.39,1602.27,1645.87,1721.08,1695.57,1683.21,1578.58,1642.97,1573.06,1640.33,1658.83,1641.7
7.79,1.054,2144.36,2329.46,2430.47,2431.32,1992.96,2307.37,2645.64,2160.75,1946.74,2119.23,2452.23,2131.89,2199.63,2063.63,2094.62,2213.35,2119.87,2226.8,2154.08,2246.73,2188.34,2111.31,2086.52,2258.56,2078.12,2222.66,2080.07,2109.57,2162.59,2267.65,2125.97,2087.58,2097.96,2150.98,2092.4,2008.06,2002.83,2047.66,2170.62,2116.28,2124.6,2169.19,2123.08,2250.06,2164.19,2057.76,2113.01,1889.44,1905.84,2099.21,2016.37,2001.98,2023.7,2018.44,1939.49,2126.46,2036.71,1964.02,1960.04,2034.68,2053.31,2085.98,2039.06,1967.47,1911.96,1926.93,2014.22,1955.01,1956.53,1950.92,1974.39,1860.14,1926.15,1868.59,2035.04,1853.08,1907.87,2030.08,2067.94,1930.46,1924.46,1975.67,1989.38,1988.58,1776.87,1848.19,2031.85,1927.81,1912.41,1883.68,1933.97,2022.75,1992.57,1978.07,1856.25,1930.35,1850.62,1928.35,1950.8,1930.83
8.17,0.292,284.933,320.183,322.699,314.114,264.442,300.944,349.991,284.187,260.095,277.46,325.723,280.155,298.545,270.87,274.807,292.053,277.061,292.723,279.396,292.272,288.793,276.407,270.551,295.935,274.708,288.682,271.876,274.753,278.8,296.13,274.348,270.781,268.884,280.721,272.692,259.956,257.908,264.656,282.18,270.508,273.141,278.789,274.852,289.442,278.867,263.122,270.372,241.498,242.786,270.675,255.014,252.766,259.011,253.867,244.366,271.088,256.144,251.885,248.997,255.776,260.779,259.776,255.895,251.178,239.471,240.289,253.748,246.276,244.992,242.177,246.764,231.085,239.972,230.922,254.96,229.347,235.928,252.463,256.23,239.923,239.188,245.333,246.744,248.694,218.354,228.568,253.326,236.089,237.876,233.336,240.575,248.269,246.121,244.403,230.213,240.507,226.158,238.384,238.198,235.887
8.17,0.414,494.154,553.278,561.473,547.767,457.842,523.758,610.077,493.503,449.971,481.773,566.22,486.819,517.835,470.588,477.823,507.552,482.063,509.584,487.044,509.413,502.656,480.933,471.341,515.844,477.208,503.901,473.567,478.609,486.92,516.855,479.231,472.478,469.992,489.535,475.099,453.185,449.996,461.987,492.72,473.299,477.844,487.61,480.276,507.053,488.136,460.593,473.498,421.956,424.578,473.386,446.794,443.242,453.508,445.477,428.317,475.52,449.638,440.702,436.067,448.907,457.324,457.101,449.817,440.099,420.332,422.354,445.426,432.499,430.857,426.126,433.659,406.179,421.985,406.299,448.568,403.159,415.565,444.74,451.725,421.893,420.953,431.905,434.36,437.475,384.368,402.439,446.141,416.785,418.599,410.821,423.72,438.542,433.966,431.148,405.435,423.354,399.236,420.254,420.963,416.722
