R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,196.592,196.627,196.575,196.655,196.427,196.584,196.774,196.364,196.305,196.378,196.777,196.219,196.355,196.062,196.052,196.318,196.056,196.297,195.998,196.145,196.003,195.947,195.724,196.132,195.783,195.879,195.719,195.751,196.045,196.137,195.678,195.528,195.505,195.783,197.78,197.308,197.805,195.411,195.818,195.543,195.373,195.5,200.173,196.552,196.227,200.907,198.168,200.995,197.258,197.482,195.586,196.88,197.635,197.748,197.05,198.989,200.147,203.828,202.493,202.303,201.333,199.853,198.916,204.326,202.496,200.327,204.48,202.223,202.241,201.758,203.486,201.966,201.903,205.238,201.937,206.079,203.71,203.836,204.435,206.395,207.541,206.337,205.131,206.145,204.816,206.486,206.717,206.112,208.867,207.308,207.465,207.778,209.266,207.42,209.113,210.43,207.753,207.25,207.149,209.253
1.02261,197.79,197.826,197.772,197.857,197.618,197.782,197.981,197.551,197.49,197.566,197.984,197.405,197.545,197.246,197.235,197.512,197.24,197.483,197.181,197.333,197.198,197.135,196.919,197.323,196.985,197.075,196.91,196.948,197.242,197.34,196.862,196.722,196.695,196.98,199.01,198.537,199.034,196.612,197.018,196.745,196.57,196.698,201.435,197.762,197.445,202.181,199.41,202.274,198.499,198.714,196.803,198.112,198.875,198.987,198.278,200.244,201.408,205.131,203.793,203.587,202.617,201.112,200.171,205.646,203.793,201.602,205.766,203.529,203.549,203.046,204.797,203.267,203.203,206.569,203.229,207.384,205.03,205.154,205.752,207.694,208.858,207.632,206.449,207.427,206.161,207.852,207.998,207.465,210.166,208.625,208.81,209.085,210.52,208.74,210.467,211.773,209.151,208.588,208.495,210.563
1.04573,198.961,198.999,198.943,199.032,198.781,198.953,199.161,198.711,198.645,198.726,199.164,198.561,198.709,198.403,198.389,198.678,198.396,198.638,198.335,198.493,198.365,198.295,198.087,198.486,198.161,198.245,198.074,198.117,198.413,198.517,198.02,197.889,197.858,198.149,200.213,199.741,200.236,197.786,198.191,197.92,197.74,197.869,202.671,198.945,198.638,203.431,200.627,203.53,199.712,199.921,197.992,199.317,200.09,200.202,199.481,201.474,202.643,206.407,205.069,204.845,203.874,202.344,201.4,206.942,205.066,202.852,207.026,204.812,204.832,204.308,206.083,204.545,204.48,207.876,204.498,208.663,206.327,206.448,207.046,208.968,210.148,208.902,207.743,208.683,207.484,209.195,209.253,208.795,211.437,209.916,210.131,210.367,211.743,210.033,211.797,213.09,210.527,209.902,209.818,211.845
1.06937,200.103,200.141,200.082,200.177,199.913,200.095,200.312,199.841,199.772,199.857,200.315,199.689,199.842,199.528,199.514,199.813,199.521,199.765,199.458,199.622,199.504,199.426,199.226,199.619,199.308,199.385,199.208,199.258,199.554,199.666,199.147,199.027,198.992,199.289,201.389,200.917,201.41,198.931,199.336,199.066,198.882,199.012,203.881,200.099,199.804,204.653,201.816,204.758,200.9,201.1,199.154,200.495,201.277,201.388,200.656,202.676,203.852,207.657,206.318,206.076,205.107,203.549,202.603,208.213,206.312,204.075,208.258,206.068,206.089,205.544,207.344,205.795,205.729,209.157,205.74,209.913,207.597,207.715,208.314,210.212,211.412,210.141,209.009,209.91,208.781,210.514,210.477,210.101,212.679,211.179,211.425,211.619,212.934,211.298,213.1,214.379,211.88,211.188,211.114,213.098
1.09355,201.212,201.253,201.192,201.29,201.014,201.204,201.432,200.938,200.865,200.955,201.435,200.784,200.943,200.621,200.606,200.918,200.614,200.858,200.55,200.719,200.61,200.524,200.333,200.719,200.423,200.494,200.311,200.367,200.664,200.782,200.242,200.134,200.094,200.398,202.534,202.062,202.554,200.046,200.449,200.181,199.991,200.123,205.06,201.222,200.939,205.846,202.974,205.957,202.058,202.248,200.285,201.643,202.434,202.545,201.8,203.849,205.03,208.878,207.538,207.278,206.309,204.723,203.776,209.455,207.529,205.27,209.459,207.297,207.319,206.752,208.576,207.018,206.951,210.41,206.952,211.134,208.839,208.954,209.553,211.427,212.644,211.35,210.246,211.104,210.053,211.807,211.67,211.38,213.888,212.412,212.69,212.84,214.09,212.535,214.375,215.639,213.208,212.446,212.381,214.32
1.11827,202.287,202.329,202.266,202.37,202.079,202.278,202.518,202,201.924,202.018,202.521,201.844,202.009,201.68,201.663,201.988,201.672,201.917,201.606,201.781,201.681,201.588,201.406,201.786,201.504,201.568,201.379,201.441,201.739,201.865,201.302,201.206,201.162,201.472,203.646,203.176,203.663,201.126,201.528,201.262,201.067,201.202,206.207,202.312,202.04,207.006,204.101,207.124,203.183,203.364,201.385,202.759,203.56,203.669,202.912,204.99,206.176,210.067,208.729,208.448,207.48,205.866,204.916,210.667,208.715,206.433,210.627,208.494,208.518,207.928,209.777,208.21,208.142,211.632,208.134,212.322,210.051,210.162,210.761,212.608,213.843,212.526,211.452,212.264,211.294,213.071,212.828,212.628,215.063,213.613,213.926,214.028,215.207,213.738,215.617,216.864,214.508,213.673,213.618,215.507
1.14355,203.325,203.368,203.303,203.412,203.107,203.317,203.567,203.025,202.944,203.044,203.57,202.866,203.038,202.701,202.683,203.02,202.693,202.938,202.624,202.806,202.717,202.615,202.442,202.815,202.55,202.606,202.41,202.48,202.778,202.912,202.324,202.241,202.193,202.51,204.723,204.253,204.738,202.17,202.571,202.308,202.107,202.243,207.32,203.365,203.108,208.134,205.193,208.258,204.274,204.445,202.449,203.839,204.651,204.758,203.989,206.097,207.287,211.223,209.885,209.582,208.618,206.974,206.023,211.845,209.869,207.563,211.76,209.659,209.684,209.07,210.946,209.37,209.3,212.822,209.283,213.474,211.231,211.338,211.936,213.753,215.008,213.666,212.624,213.388,212.504,214.303,213.948,213.845,216.2,214.778,215.127,215.179,216.284,214.905,216.827,218.056,215.778,214.866,214.824,216.657
1.16941,204.323,204.367,204.301,204.415,204.095,204.315,204.577,204.008,203.924,204.028,204.58,203.847,204.026,203.681,203.661,204.012,203.673,203.917,203.602,203.79,203.713,203.601,203.438,203.805,203.557,203.604,203.401,203.479,203.777,203.92,203.308,203.238,203.184,203.509,205.762,205.292,205.774,203.176,203.576,203.315,203.107,203.245,208.395,204.38,204.136,209.223,206.248,209.355,205.328,205.488,203.475,204.883,205.703,205.811,205.028,207.166,208.362,212.342,211.006,210.681,209.718,208.044,207.092,212.988,210.986,208.656,212.854,210.789,210.816,210.175,212.078,210.494,210.422,213.977,210.395,214.589,212.374,212.477,213.075,214.859,216.134,214.766,213.76,214.472,213.68,215.502,215.029,215.028,217.297,215.906,216.293,216.292,217.316,216.036,218.001,219.21,217.017,216.023,215.992,217.769
1.19584,205.279,205.325,205.255,205.376,205.039,205.27,205.545,204.948,204.86,204.97,205.547,204.785,204.971,204.617,204.597,204.961,204.609,204.853,204.536,204.732,204.665,204.544,204.392,204.751,204.521,204.56,204.35,204.435,204.734,204.885,204.246,204.192,204.133,204.465,206.759,206.291,206.769,204.14,204.537,204.28,204.065,204.206,209.431,205.352,205.124,210.274,207.262,210.413,206.342,206.491,204.46,205.885,206.717,206.823,206.026,208.195,209.395,213.42,212.087,211.738,210.78,209.074,208.121,214.093,212.063,209.71,213.908,211.882,211.909,211.242,213.172,211.58,211.507,215.092,211.468,215.663,213.48,213.579,214.176,215.924,217.22,215.825,214.858,215.513,214.819,216.666,216.067,216.174,218.351,216.993,217.421,217.363,218.301,217.126,219.135,220.322,218.22,217.141,217.123,218.836
1.22288,206.188,206.236,206.163,206.29,205.937,206.18,206.468,205.843,205.749,205.865,206.47,205.677,205.87,205.507,205.484,205.865,205.498,205.742,205.422,205.627,205.571,205.441,205.301,205.65,205.441,205.47,205.252,205.346,205.645,205.806,205.139,205.099,205.036,205.376,207.713,207.247,207.721,205.059,205.454,205.2,204.979,205.121,210.423,206.279,206.068,211.282,208.233,211.429,207.314,207.449,205.402,206.846,207.687,207.792,206.982,209.182,210.387,214.457,213.128,212.755,211.799,210.062,209.109,215.156,213.1,210.722,214.917,212.933,212.962,212.267,214.225,212.624,212.55,216.168,212.5,216.692,214.546,214.64,215.235,216.945,218.262,216.84,215.913,216.508,215.919,217.79,217.059,217.281,219.358,218.036,218.507,218.39,219.237,218.172,220.228,221.391,219.387,218.216,218.212,219.859
