R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,286.947,307.106,329.753,330.921,270.823,314.142,353.832,299.894,266.651,294.419,324.445,298.887,298.677,292.596,297.344,305.293,301.773,311.092,309.719,318.669,308.197,301.164,303.783,318.227,295.689,318.964,300.88,304.609,316.066,324.587,312.463,307.708,313.088,309.184,304.005,299.698,300.616,303.651,314.221,318.815,317.97,322.172,313.773,335.13,323.968,314.537,323.826,293.794,298.437,314.702,316.688,316.746,311.84,319.534,309.586,328.781,323.852,305.678,309.299,322.71,320.064,335.003,328.877,311.117,311.648,318.741,320.821,317.627,323.326,324.228,321.261,311.813,320.256,317.421,330.159,312.394,325.46,333.982,343.088,321.504,323.828,329.236,331.98,325.007,309.451,317.858,333.304,335.9,319.762,318.655,327.183,346.89,333.671,337.826,317.885,323.725,329.223,328.237,342.826,338.713
7.79,0.421,489.655,521.487,563.878,567.437,461.628,537.738,605.947,512.456,454.184,503.239,554.376,511.017,509.39,500.289,508.681,521.79,516.59,532.597,531.078,546.184,527.562,515.502,520.767,545.478,505.307,547.556,515.597,521.97,542.977,557.051,536.897,528.185,538.366,530.327,521.023,514.113,516.163,521.463,539.584,548.681,547.079,554.191,539.228,577.192,557.599,541.512,557.734,505.23,513.61,541.276,545.855,546.343,536.963,551.51,533.934,567.02,559.096,526.057,532.864,557.064,551.905,579.558,568.372,536.095,538.199,551.094,553.817,548.511,559.089,561.113,555.282,539.261,553.907,549.48,570.984,540.406,563.786,578.337,594.512,556.125,560.473,569.954,574.697,562.102,536.049,550.49,576.974,583.042,553.381,551.801,566.55,602.238,578.399,585.806,550.545,560.281,571.517,568.932,595.585,588.282
7.79,0.516,667.503,707.992,769.175,775.529,629.029,734.254,827.109,699.041,618.634,686.688,755.842,697.391,693.991,682.879,694.545,711.83,705.599,727.405,726.169,746.44,720.497,704.09,712.01,745.557,689.422,749.205,704.827,713.447,743.377,761.961,735.231,722.82,737.622,725.346,712.254,703.34,706.617,713.937,738.565,752.142,749.831,759.38,738.501,791.45,764.369,742.592,764.918,692.559,704.371,741.753,749.138,750.214,736.509,757.629,733.215,778.371,768.123,721.337,731.184,765.28,757.666,797.307,781.424,735.713,739.761,758.039,760.881,753.868,769.062,772.276,763.591,742.008,762.088,756.503,785.418,743.701,776.496,796.222,818.757,765.165,771.467,784.556,791.025,773.295,738.509,758.164,794.171,804.053,761.719,759.897,780.079,830.503,796.911,807.271,758.273,771.205,788.318,783.899,821.789,811.61
7.79,0.621,879.37,928.429,1013.17,1023.48,828.615,968.377,1089.82,921.24,814.68,905.349,995.172,919.531,913.557,900.682,916.286,938.111,931.127,959.68,959.192,985.28,950.587,929.12,940.491,984.263,908.857,990.156,930.94,942.113,983.085,1006.61,972.638,955.647,976.293,958.421,940.689,929.71,934.67,944.414,976.569,995.938,992.762,1005.04,977.06,1048.05,1012.08,983.771,1013.28,917.451,933.458,981.967,993.17,995.174,975.991,1005.39,972.79,1032.02,1019.35,955.701,969.351,1015.52,1004.78,1059.36,1037.71,975.496,982.389,1007.3,1009.82,1000.96,1021.94,1026.75,1014.35,986.445,1012.9,1006.2,1043.56,988.827,1033.08,1058.78,1088.95,1016.99,1025.79,1043.15,1051.6,1027.65,983.084,1008.8,1055.83,1070.99,1012.92,1010.99,1037.54,1106.02,1060.52,1074.45,1009.01,1025.46,1050.35,1043.34,1095.1,1081.46
7.79,0.726,1105.86,1162.04,1272.97,1288.12,1042.32,1218.37,1369.17,1158.55,1024.63,1139.13,1249.91,1157,1147.85,1133.77,1153.58,1179.71,1172.46,1207.98,1208.74,1240.59,1196.64,1169.95,1185.28,1239.53,1143.48,1248.22,1173.29,1187.01,1240.11,1268.37,1227.43,1205.4,1232.6,1208.2,1185.42,1172.62,1179.61,1191.94,1231.8,1257.79,1253.7,1268.65,1233.12,1323.38,1278.07,1243.13,1280.13,1159.7,1180.26,1240.03,1255.8,1259.05,1233.72,1272.37,1231.07,1304.85,1290,1207.98,1225.85,1285.1,1270.84,1341.94,1314,1233.8,1244.28,1276.46,1278.11,1267.54,1294.95,1301.62,1284.95,1250.71,1283.81,1276.21,1322.07,1253.85,1310.53,1342.31,1380.61,1288.93,1300.58,1322.42,1332.89,1302.27,1248.05,1280,1338.33,1359.89,1284.47,1282.65,1315.82,1403.94,1345.5,1363.3,1280.38,1300.21,1334.21,1324,1390.99,1373.64
7.79,0.84,1364.86,1427.11,1568.73,1589.92,1287.15,1503.73,1686.61,1429.6,1265.26,1406.43,1539.81,1428.47,1415.32,1400.53,1425.12,1455.55,1448.57,1491.74,1494.37,1532.27,1477.93,1445.5,1465.6,1531.29,1411.77,1543.54,1450.95,1467.35,1534.56,1567.63,1519.58,1491.69,1526.63,1494.27,1465.66,1451.2,1460.72,1476,1524.25,1558.19,1553.07,1570.79,1526.76,1638.88,1583.13,1541.03,1586.32,1438.5,1464.29,1536.18,1557.62,1562.56,1529.97,1579.5,1528.37,1618.16,1601.26,1498.08,1520.87,1595.12,1576.71,1667.13,1631.95,1530.97,1546.07,1586.69,1586.81,1574.57,1609.55,1618.48,1596.63,1555.64,1596.09,1587.79,1642.79,1559.66,1630.62,1669.01,1716.5,1602.35,1617.42,1644.26,1656.89,1618.7,1554.36,1593.14,1663.8,1693.4,1597.74,1596.26,1636.76,1747.52,1674.18,1696.42,1593.77,1617.05,1662.19,1647.92,1732.58,1711.04
7.79,0.944,1611.61,1677.84,1849.17,1876.48,1520.9,1774.98,1987.01,1687.48,1495.11,1661.01,1814.61,1686.97,1669.77,1654.84,1683.94,1717.9,1711.66,1761.82,1766.6,1809.78,1745.78,1708.1,1732.92,1808.96,1667.36,1824.93,1715.87,1734.63,1815.38,1852.5,1798.48,1764.95,1807.44,1767.1,1732.91,1717.25,1729.37,1747.42,1803.25,1845.05,1839,1859.07,1807.1,1939.79,1874.35,1825.84,1878.74,1705.6,1736.39,1819.1,1846.3,1853.08,1813.43,1873.52,1813.19,1917.6,1899.14,1775.77,1803.32,1891.81,1869.36,1978.44,1936.38,1815.53,1835.43,1884.16,1882.38,1868.82,1911.18,1922.33,1895.33,1848.38,1895.59,1886.9,1950.04,1853.23,1937.83,1982.16,2038.26,1902.87,1921.36,1952.81,1967.35,1922.06,1848.92,1893.92,1975.74,2013.6,1898.39,1897.42,1944.69,2077.04,1989.51,2015.98,1894.87,1921.01,1977.37,1958.88,2060.55,2035.04
7.79,1.054,1882.73,1951.5,2155.76,2190.11,1778.31,2072.24,2314.64,1970.44,1748.39,1940.6,2114.97,1970.83,1948.96,1934.42,1968.4,2005.64,2000.73,2058.21,2065.75,2114.17,2039.86,1996.68,2026.82,2113.65,1948.16,2133.99,2007.33,2028.44,2124.11,2165.1,2105.38,2065.62,2116.54,2067.06,2026.78,2010.2,2025.33,2046.4,2110.09,2160.77,2153.75,2176.08,2115.62,2270.51,2194.77,2139.7,2200.62,2000.62,2036.87,2130.66,2164.53,2173.57,2126.03,2197.88,2127.67,2247.42,2227.66,2082.19,2114.98,2218.98,2192.05,2321.82,2272.26,2129.63,2155.18,2212.88,2208.49,2193.82,2244.41,2258.06,2225.19,2172.22,2226.57,2217.74,2289.25,2177.95,2277.53,2328,2393.36,2234.88,2257.29,2293.62,2310.12,2257.17,2175.27,2226.8,2320.21,2367.74,2230.87,2230.67,2285.1,2441.1,2338,2369.13,2228.17,2257.03,2326.27,2302.83,2423.22,2393.44
8.17,0.292,247.789,266.944,285.13,281.316,232.533,268.161,305.978,256.181,230.048,250.788,279.974,255.886,262.853,250.381,254.97,262.24,258.237,268.282,264.842,272.477,266.718,258.177,259.117,274.777,254.243,274.597,259.026,260.867,270.689,280.507,268.469,264.448,267.629,266.953,260.75,256.153,256.635,260.815,271.699,272.607,273.657,276.562,270.829,289.747,279.928,269.897,278.019,250.951,254.734,271.475,269.376,270.095,268.325,272.165,263.334,283.24,276.007,262.906,264.259,274.744,274.711,285.288,281.159,267.77,265.118,271.206,274.101,272.011,276.671,275.665,273.647,264.848,272.706,269.077,282.965,264.445,276.925,285.558,292.68,272.992,275.92,280.375,282.04,278.138,262.17,270.507,285.407,285.409,272.861,271.553,279.823,295.522,284.562,288.456,271.594,276.735,279.59,280.196,291.504,287.935
8.17,0.414,429.736,461.281,496.107,490.572,402.596,466.702,533.356,444.869,397.987,435.459,486.692,444.647,455.927,434.992,443.33,455.742,449.31,467.037,461.674,474.911,464.233,449.212,451.422,478.964,441.657,479.315,451.183,454.42,472.754,489.588,468.963,461.428,467.797,465.525,454.292,446.555,447.775,455.282,474.418,476.973,478.747,483.715,473.245,507.587,489.994,472.452,486.889,438.472,445.472,474.786,471.957,473.629,469.816,477.586,461.564,496.837,484.507,459.986,462.795,482.197,481.757,501.992,494.226,469.172,465.35,476.695,481.155,477.694,486.57,485.051,480.903,465.525,479.547,473.43,497.839,464.857,487.777,503.041,515.986,480.044,485.6,493.596,496.494,489.271,461.499,476.281,502.64,503.853,480.164,478.107,492.847,522.01,501.746,508.861,478.312,487.123,493.559,493.967,515.172,508.672
