R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,198.563,200.096,198.16,198.047,197.713,197.937,199.233,196.945,197.138,196.913,199.712,196.151,197.455,195.44,195.238,196.961,195.143,196.094,194.437,195.358,195.306,194.862,193.756,195.403,194.903,194.135,193.711,193.997,193.49,194.528,192.704,192.575,191.937,193.888,195.671,194.056,194.225,192.048,193.403,191.467,191.37,192.008,196.758,192.617,192.074,195.938,193.177,195.641,191.576,193.326,189.788,190.512,192.169,191.259,190.49,193.23,193.45,198.064,196.311,195.76,195.258,192.366,191.334,197.707,194.883,191.989,197.562,194.386,193.597,193.09,195.689,193.15,193.255,195.919,193.831,197.211,193.928,195.061,195.354,197.816,198.295,197.41,196.307,197.804,194.507,196.423,198.035,195.246,199.73,197.729,197.731,197.214,199.75,197.174,198.947,201.063,196.185,197.176,195.766,197.987
1.02261,199.782,201.331,199.374,199.263,198.917,199.149,200.466,198.138,198.332,198.106,200.95,197.336,198.657,196.617,196.412,198.162,196.318,197.277,195.604,196.538,196.494,196.039,194.931,196.587,196.096,195.313,194.881,195.176,194.66,195.715,193.858,193.738,193.089,195.065,196.879,195.251,195.416,193.214,194.578,192.627,192.525,193.169,197.984,193.785,193.249,197.16,194.366,196.864,192.756,194.515,190.943,191.676,193.351,192.431,191.65,194.424,194.64,199.305,197.545,196.975,196.478,193.545,192.509,198.957,196.1,193.176,198.775,195.609,194.813,194.286,196.918,194.357,194.462,197.151,195.038,198.421,195.144,196.285,196.575,199.024,199.513,198.611,197.532,198.998,195.742,197.681,199.224,196.483,200.932,198.944,198.973,198.409,200.903,198.385,200.193,202.306,197.458,198.406,196.99,199.177
1.04573,200.973,202.541,200.562,200.453,200.094,200.335,201.672,199.304,199.497,199.272,202.161,198.492,199.832,197.767,197.558,199.334,197.464,198.43,196.741,197.69,197.654,197.188,196.078,197.742,197.263,196.464,196.024,196.326,195.804,196.875,194.984,194.873,194.215,196.214,198.06,196.42,196.58,194.352,195.725,193.758,193.652,194.304,199.184,194.927,194.398,198.356,195.53,198.062,193.909,195.678,192.071,192.814,194.507,193.576,192.782,195.593,195.804,200.52,198.755,198.163,197.67,194.697,193.657,200.183,197.291,194.337,199.961,196.807,196.003,195.456,198.12,195.54,195.646,198.357,196.22,199.605,196.335,197.485,197.771,200.206,200.704,199.784,198.73,200.165,196.954,198.916,200.386,197.697,202.105,200.132,200.189,199.577,202.024,199.568,201.413,203.522,198.709,199.611,198.19,200.338
1.06937,202.136,203.719,201.719,201.613,201.24,201.491,202.849,200.439,200.632,200.408,203.343,199.619,200.977,198.886,198.674,200.477,198.579,199.555,197.848,198.811,198.785,198.307,197.195,198.868,198.4,197.586,197.137,197.448,196.918,198.006,196.079,195.98,195.311,197.335,199.214,197.561,197.715,195.462,196.844,194.861,194.751,195.41,200.357,196.038,195.52,199.525,196.666,199.233,195.036,196.812,193.171,193.924,195.636,194.693,193.887,196.733,196.94,201.708,199.937,199.323,198.837,195.821,194.778,201.382,198.454,195.471,201.118,197.979,197.167,196.598,199.297,196.696,196.802,199.538,197.374,200.759,197.499,198.657,198.941,201.357,201.867,200.927,199.901,201.301,198.139,200.126,201.516,198.884,203.248,201.291,201.377,200.715,203.112,200.722,202.606,204.71,199.937,200.789,199.362,201.469
1.09355,203.267,204.868,202.845,202.741,202.354,202.615,203.995,201.543,201.734,201.512,204.494,200.714,202.09,199.973,199.758,201.588,199.663,200.646,198.923,199.9,199.884,199.394,198.281,199.96,199.506,198.676,198.218,198.539,198,199.106,197.142,197.055,196.375,198.423,200.336,198.671,198.821,196.54,197.931,195.932,195.817,196.483,201.499,197.12,196.61,200.664,197.77,200.374,196.132,197.916,194.24,195.003,196.734,195.779,194.96,197.844,198.046,202.866,201.09,200.454,199.973,196.915,195.868,202.552,199.589,196.575,202.244,199.123,198.303,197.711,200.443,197.822,197.93,200.689,198.498,201.883,198.635,199.8,200.081,202.479,202.999,202.039,201.042,202.404,199.298,201.309,202.614,200.044,204.357,202.42,202.536,201.82,204.164,201.847,203.769,205.867,201.136,201.936,200.504,202.568
1.11827,204.363,205.981,203.936,203.836,203.433,203.703,205.108,202.611,202.802,202.581,205.612,201.773,203.168,201.025,200.806,202.665,200.711,201.703,199.962,200.953,200.947,200.446,199.333,201.019,200.578,199.731,199.264,199.594,199.048,200.171,198.17,198.095,197.404,199.476,201.425,199.75,199.891,197.584,198.984,196.969,196.85,197.524,202.61,198.166,197.666,201.77,198.843,201.482,197.195,198.986,195.276,196.049,197.8,196.833,196,198.921,199.119,203.992,202.213,201.552,201.078,197.975,196.925,203.691,200.692,197.646,203.337,200.234,199.407,198.792,201.559,198.917,199.026,201.808,199.591,202.974,199.739,200.912,201.189,203.565,204.096,203.117,202.151,203.473,200.425,202.461,203.677,201.172,205.432,203.515,203.664,202.892,205.178,202.937,204.9,206.989,202.308,203.052,201.616,203.631
1.14355,205.422,207.057,204.99,204.893,204.475,204.757,206.183,203.642,203.831,203.612,206.693,202.794,204.208,202.039,201.817,203.704,201.722,202.721,200.963,201.969,201.975,201.461,200.348,202.04,201.614,200.75,200.274,200.613,200.059,201.201,199.16,199.098,198.396,200.494,202.478,200.792,200.927,198.592,200.001,197.97,197.846,198.527,203.685,199.177,198.688,202.843,199.88,202.558,198.225,200.022,196.276,197.06,198.831,197.85,197.006,199.965,200.156,205.084,203.301,202.615,202.149,199.001,197.949,204.797,201.761,198.683,204.393,201.312,200.477,199.838,202.641,199.98,200.088,202.895,200.651,204.028,200.81,201.99,202.263,204.616,205.158,204.158,203.225,204.505,201.52,203.581,204.701,202.268,206.468,204.574,204.757,203.926,206.15,203.991,205.996,208.077,203.449,204.133,202.694,204.655
1.16941,206.441,208.095,206.005,205.911,205.477,205.769,207.22,204.632,204.82,204.602,207.735,203.774,205.209,203.012,202.786,204.703,202.692,203.698,201.924,202.945,202.963,202.436,201.323,203.022,202.611,201.729,201.243,201.593,201.03,202.191,200.111,200.063,199.348,201.472,203.495,201.795,201.924,199.561,200.979,198.932,198.802,199.491,204.722,200.148,199.67,203.878,200.879,203.595,199.215,201.019,197.238,198.033,199.823,198.831,197.972,200.97,201.156,206.139,204.353,203.641,203.182,199.988,198.934,205.865,202.793,199.684,205.41,202.355,201.512,200.847,203.687,201.005,201.114,203.945,201.672,205.043,201.843,203.032,203.3,205.627,206.182,205.159,204.263,205.497,202.58,204.668,205.686,203.329,207.463,205.595,205.814,204.921,207.076,205.007,207.056,209.126,204.557,205.177,203.735,205.641
1.19584,207.419,209.09,206.977,206.888,206.435,206.739,208.215,205.578,205.765,205.55,208.734,204.711,206.166,203.941,203.713,205.66,203.618,204.632,202.841,203.878,203.908,203.367,202.255,203.96,203.565,202.666,202.169,202.529,201.959,203.138,201.017,200.984,200.258,202.407,204.468,202.758,202.879,200.488,201.914,199.852,199.716,200.413,205.72,201.077,200.613,204.873,201.838,204.594,200.166,201.976,198.159,198.965,200.776,199.771,198.897,201.935,202.115,207.153,205.365,204.625,204.176,200.935,199.878,206.896,203.785,200.645,206.387,203.36,202.508,201.816,204.693,201.992,202.101,204.956,202.655,206.018,202.839,204.035,204.299,206.595,207.163,206.118,205.261,206.444,203.604,205.717,206.626,204.352,208.414,206.574,206.832,205.873,207.955,205.981,208.076,210.133,205.63,206.181,204.737,206.581
1.22288,208.35,210.039,207.902,207.817,207.347,207.664,209.166,206.479,206.663,206.451,209.69,205.602,207.077,204.824,204.591,206.57,204.497,205.519,203.71,204.764,204.807,204.251,203.142,204.851,204.476,203.557,203.05,203.421,202.842,204.042,201.877,201.859,201.121,203.297,205.398,203.677,203.791,201.369,202.804,200.727,200.585,201.289,206.674,201.96,201.511,205.825,202.753,205.55,201.074,202.888,199.037,199.854,201.685,200.667,199.779,202.858,203.031,208.125,206.336,205.567,205.127,201.838,200.78,207.885,204.736,201.562,207.318,204.322,203.463,202.743,205.658,202.936,203.047,205.925,203.594,206.947,203.794,204.996,205.255,207.519,208.1,207.031,206.216,207.345,204.586,206.726,207.52,205.335,209.318,207.509,207.807,206.78,208.783,206.911,209.053,211.095,206.664,207.142,205.697,207.477
1.25053,209.232,210.94,208.779,208.699,208.21,208.54,210.067,207.329,207.511,207.302,210.596,206.443,207.938,205.657,205.42,207.431,205.326,206.356,204.53,205.6,205.657,205.088,203.98,205.693,205.338,204.4,203.881,204.265,203.677,204.896,202.687,202.686,201.935,204.139,206.281,204.55,204.654,202.204,203.645,201.554,201.406,202.117,207.581,202.796,202.361,206.731,203.62,206.46,201.936,203.754,199.866,200.695,202.548,201.516,200.613,203.734,203.9,209.051,207.261,206.462,206.032,202.693,201.636,208.829,205.64,202.434,208.201,205.24,204.374,203.624,206.577,203.836,203.946,206.85,204.489,207.829,204.703,205.912,206.165,208.395,208.989,207.895,207.125,208.197,205.525,207.692,208.362,206.273,210.173,208.395,208.737,207.637,209.556,207.793,209.984,212.011,207.656,208.058,206.611,208.321
1.2788,210.067,211.793,209.609,209.535,209.023,209.368,210.923,208.129,208.307,208.103,211.458,207.234,208.75,206.443,206.202,208.246,206.108,207.142,205.302,206.39,206.468,205.879,204.783,206.491,206.167,205.205,204.674,205.072,204.472,205.715,203.456,203.48,202.714,204.943,207.12,205.385,205.472,203.009,204.453,202.35,202.196,202.914,208.43,203.594,203.183,207.576,204.447,207.311,202.765,204.581,200.673,201.506,203.373,202.329,201.413,204.564,204.712,209.908,208.118,207.288,206.876,203.494,202.446,209.699,206.476,203.254,209.021,206.099,205.225,204.44,207.421,204.677,204.788,207.694,205.32,208.643,205.541,206.752,207,209.207,209.813,208.698,207.96,208.99,206.393,208.576,209.15,207.126,210.972,209.215,209.592,208.432,210.291,208.606,210.842,212.866,208.569,208.899,207.445,209.105
1.30771,210.846,212.589,210.382,210.314,209.778,210.14,211.725,208.871,209.046,208.846,212.265,207.967,209.507,207.171,206.925,209.006,206.833,207.869,206.017,207.122,207.223,206.616,205.53,207.234,206.942,205.955,205.412,205.825,205.213,206.477,204.17,204.218,203.438,205.694,207.905,206.165,206.236,203.759,205.206,203.093,202.931,203.658,209.225,204.337,203.95,208.367,205.22,208.11,203.543,205.354,201.426,202.264,204.147,203.087,202.159,205.341,205.468,210.712,208.923,208.059,207.667,204.24,203.203,210.516,207.258,204.022,209.787,206.905,206.024,205.203,208.211,205.467,205.578,208.484,206.098,209.402,206.327,207.54,207.781,209.963,210.582,209.443,208.742,209.727,207.21,209.408,209.88,207.927,211.715,209.979,210.393,209.17,210.964,209.365,211.647,213.666,209.431,209.687,208.225,209.83
1.33728,211.565,213.325,211.094,211.034,210.473,210.852,212.468,209.552,209.723,209.528,213.012,208.64,210.201,207.838,207.588,209.704,207.496,208.535,206.671,207.794,207.918,207.291,206.219,207.914,207.658,206.647,206.09,206.518,205.894,207.183,204.822,204.898,204.103,206.386,208.631,206.888,206.943,204.453,205.9,203.778,203.609,204.342,209.962,205.02,204.662,209.102,205.936,208.851,204.264,206.071,202.124,202.965,204.864,203.789,202.849,206.062,206.167,211.458,209.67,208.771,208.401,204.929,203.905,211.277,207.983,204.733,210.493,207.657,206.768,205.91,208.945,206.2,206.311,209.219,206.819,210.101,207.055,208.269,208.504,210.659,211.29,210.128,209.466,210.401,207.971,210.185,210.548,208.671,212.395,210.683,211.137,209.847,211.57,210.064,212.394,214.407,210.241,210.416,208.948,210.495
1.36751,212.219,213.996,211.742,211.689,211.102,211.5,213.146,210.167,210.333,210.144,213.696,209.246,210.831,208.439,208.183,210.338,208.093,209.135,207.257,208.401,208.549,207.902,206.843,208.53,208.312,207.274,206.705,207.149,206.512,207.825,205.409,205.514,204.703,207.014,209.297,207.551,207.586,205.084,206.532,204.4,204.224,204.964,210.637,205.641,205.312,209.773,206.591,209.531,204.925,206.726,202.762,203.606,205.521,204.43,203.477,206.721,206.804,212.142,210.357,209.42,209.074,205.555,204.544,211.976,208.645,205.383,211.134,208.348,207.453,206.554,209.617,206.873,206.985,209.891,207.479,210.735,207.724,208.938,209.165,211.291,211.935,210.748,210.127,211.011,208.674,210.903,211.15,209.355,213.01,211.323,211.818,210.459,212.106,210.698,213.079,215.084,210.994,211.082,209.609,211.093
1.39843,212.803,214.599,212.321,212.277,211.66,212.077,213.757,210.712,210.873,210.691,214.312,209.782,211.391,208.969,208.709,210.902,208.62,209.663,207.774,208.937,209.111,208.442,207.4,209.077,208.899,207.833,207.251,207.712,207.061,208.4,205.927,206.063,205.235,207.573,209.895,208.147,208.163,205.649,207.096,204.956,204.772,205.52,211.245,206.195,205.897,210.38,207.181,210.146,205.523,207.316,203.334,204.182,206.112,205.007,204.039,207.316,207.374,212.759,210.979,210.004,209.681,206.115,205.12,212.61,209.244,205.969,211.707,208.976,208.074,207.132,210.223,207.483,207.595,210.498,208.073,211.301,208.327,209.543,209.761,211.853,212.511,211.298,210.722,211.55,209.315,211.558,211.681,209.975,213.552,211.896,212.435,211.001,212.567,211.265,213.697,215.694,211.687,211.683,210.204,211.622
1.43004,213.313,215.127,212.825,212.79,212.143,212.581,214.295,211.18,211.336,211.16,214.855,210.242,211.875,209.424,209.159,211.392,209.071,210.116,208.214,209.398,209.6,208.909,207.884,209.549,209.414,208.321,207.723,208.202,207.538,208.902,206.371,206.539,205.695,208.06,210.422,208.674,208.668,206.142,207.588,205.441,205.249,206.003,211.783,206.677,206.413,210.916,207.7,210.692,206.052,207.836,203.837,204.689,206.634,205.513,204.532,207.841,207.874,213.305,211.531,210.514,210.218,206.604,205.624,213.175,209.771,206.485,212.208,209.535,208.627,207.641,210.76,208.024,208.137,211.035,208.598,211.793,208.862,210.076,210.286,212.342,213.014,211.774,211.246,212.012,209.887,212.146,212.135,210.526,214.02,212.394,212.981,211.468,212.947,211.758,214.245,216.231,212.314,212.213,210.73,212.073
1.46237,213.744,215.577,213.25,213.224,212.545,213.005,214.754,211.567,211.718,211.55,215.319,210.621,212.279,209.798,209.528,211.801,209.441,210.487,208.574,209.778,210.01,209.296,208.289,209.941,209.853,208.729,208.116,208.614,207.936,209.327,206.734,206.938,206.076,208.47,210.872,209.125,209.096,206.559,208.003,205.849,205.649,206.409,212.244,207.081,206.853,211.376,208.144,211.161,206.507,208.279,204.267,205.122,207.082,205.945,204.949,208.29,208.297,213.775,212.008,210.948,210.679,207.017,206.056,213.664,210.223,206.928,212.628,210.023,209.107,208.074,211.221,208.492,208.604,211.496,209.048,212.208,209.323,210.535,210.736,212.752,213.438,212.171,211.694,212.396,210.389,212.661,212.51,211.004,214.405,212.814,213.452,211.856,213.24,212.173,214.717,216.69,212.872,212.666,211.178,212.443
