R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,298.116,328.746,340.082,339.845,277.642,322.415,371.13,303.267,271.004,297.455,343.438,298.496,305.216,289.1,292.697,309.121,296.5,309.866,300.529,313.87,304.044,294.909,292.476,313.761,290.675,308.373,289.38,294.438,300.862,314.605,294.996,290.587,292.271,298.01,291.845,281.447,280.572,284.486,299.802,294.709,294.214,301.136,293.679,310.482,298.838,285.76,294.048,265.001,267.431,290.299,283.259,280.17,280.432,282.056,272.906,294.065,284.773,273.423,274.596,284.705,284.615,290.207,284.135,273.707,269.346,271.612,280.906,273.027,273.675,274.654,276.68,263.36,271.274,265.754,282.352,263.877,269.863,282.148,288.304,272.977,271.317,277.579,280.526,276.868,254.168,262.164,282.089,273.015,268.437,265.273,271.371,283.543,278.216,277.619,261.547,270.487,263.989,270.595,275.927,273.308
7.79,0.421,508.715,558.232,581.541,582.739,473.252,551.899,635.57,518.219,461.599,508.428,586.828,510.349,520.542,494.313,500.732,528.333,507.564,530.499,515.32,537.958,520.452,504.796,501.382,537.824,496.738,529.375,495.89,504.542,516.858,539.919,506.884,498.796,502.571,511.161,500.183,482.804,481.748,488.551,514.823,507.194,506.207,518.005,504.696,534.74,514.345,491.97,506.446,455.716,460.249,499.304,488.236,483.254,482.881,486.823,470.673,507.149,491.63,470.548,473.078,491.46,490.778,502.061,491.047,471.633,465.146,469.609,484.913,471.491,473.232,475.318,478.226,455.464,469.189,460.042,488.305,456.477,467.477,488.578,499.581,472.184,469.588,480.527,485.624,478.845,440.285,454.034,488.317,473.889,464.558,459.362,469.906,492.261,482.272,481.404,452.973,468.141,458.273,469.02,479.364,474.686
7.79,0.516,693.485,757.879,793.269,796.443,644.867,753.59,867.544,706.902,628.733,693.769,800.087,696.479,709.184,674.721,683.69,720.756,693.271,724.539,704.622,735.198,710.788,689.467,685.507,735.095,677.73,724.328,677.888,689.625,707.619,738.528,694.131,682.602,688.579,699.132,683.765,660.507,659.503,668.878,704.673,695.271,693.811,709.797,691.208,733.239,705.076,674.653,694.578,624.686,631.19,684.236,670.06,663.583,662.329,668.766,646.343,696.184,675.434,645.222,649.146,675.156,673.749,690.693,675.115,647.249,639.349,645.956,666.215,648.013,650.96,654.194,657.628,626.707,645.529,633.368,671.69,628.198,643.851,672.648,688.019,649.672,646.368,661.457,668.424,658.756,606.576,625.32,672.14,653.524,639.456,632.598,647.01,678.843,664.468,663.4,623.886,644.378,632.116,646.236,661.427,654.889
7.79,0.621,913.599,993.849,1044.9,1051.08,849.479,993.879,1143.1,931.6,827.979,914.685,1053.43,918.33,933.558,889.922,901.966,949.874,914.858,955.899,930.731,970.441,937.777,909.823,905.482,970.451,893.445,957.279,895.358,910.656,935.796,975.65,918.267,902.474,911.381,923.785,903.063,873.091,872.35,884.808,931.755,920.633,918.593,939.416,914.49,970.966,933.576,893.767,920.103,827.538,836.476,905.823,888.333,880.256,877.691,887.467,857.533,923.053,896.348,854.856,860.59,895.929,893.495,917.705,896.531,858.199,849.043,858.362,884.182,860.41,865.006,869.756,873.59,833.16,857.984,842.423,892.45,835.254,856.608,894.453,915.065,863.487,859.45,879.476,888.617,875.44,807.458,832.038,893.593,870.484,850.338,841.631,860.556,904.049,884.263,882.965,830.183,856.819,842.226,860.115,881.409,872.633
7.79,0.726,1148.91,1243.92,1312.85,1322.86,1068.56,1250.46,1436.1,1171.58,1041.36,1150.88,1323.08,1155.49,1172.98,1120.23,1135.56,1194.5,1151.98,1203.22,1172.88,1221.9,1180.51,1145.65,1141.16,1222.14,1124.09,1206.77,1128.44,1147.37,1180.46,1229.36,1158.82,1138.33,1150.65,1164.54,1138,1101.21,1100.96,1116.71,1175.27,1162.69,1160.03,1185.81,1154.15,1226.05,1178.93,1129.4,1162.41,1046.05,1057.64,1143.87,1123.24,1113.66,1109.46,1123.13,1085.21,1167.07,1134.34,1080.52,1088.31,1133.76,1130.08,1162.5,1135.24,1085.44,1075.39,1087.73,1119.09,1089.55,1096.09,1102.6,1106.64,1056.36,1087.45,1068.49,1130.64,1059.12,1086.66,1133.98,1160.16,1094.38,1089.68,1114.93,1126.31,1109.38,1025.09,1055.72,1132.69,1105.3,1078.3,1067.78,1091.36,1147.56,1121.88,1120.33,1053.46,1086.39,1069.84,1091.49,1119.55,1108.4
7.79,0.84,1417.99,1527.66,1617.87,1632.79,1319.56,1543.32,1769.07,1445.67,1285.92,1420.94,1629.95,1426.6,1446.31,1383.8,1402.85,1473.8,1423.26,1485.86,1450.03,1509.19,1458.01,1415.48,1411.05,1509.8,1387.83,1492.29,1395.49,1418.36,1460.74,1519.42,1434.64,1408.69,1425.13,1440.27,1407.03,1362.82,1363.33,1382.84,1454.31,1440.37,1437.05,1468.22,1428.99,1518.35,1460.32,1400.04,1440.44,1297.52,1312.16,1417.06,1393.2,1382.12,1375.88,1394.24,1347.29,1447.3,1408.04,1340.01,1350.23,1407.26,1402.08,1444.2,1409.93,1346.88,1336.21,1352.08,1389.38,1353.47,1362.38,1371.01,1375.07,1313.91,1351.97,1329.35,1404.91,1317.43,1352.07,1409.98,1442.41,1360.49,1355.15,1386.27,1400.09,1378.94,1276.68,1314,1408.15,1376.38,1341.29,1328.85,1357.55,1428.4,1395.94,1394.09,1311.31,1351.12,1332.83,1358.52,1394.49,1380.64
7.79,0.944,1674.34,1796.07,1907.1,1927.09,1559.19,1821.72,2084.15,1706.46,1519.52,1678.14,1920.84,1684.76,1706.33,1635.07,1657.62,1739.44,1681.75,1754.88,1714.19,1782.52,1722.26,1672.63,1668.42,1783.58,1639.08,1764.33,1650.29,1676.71,1728.06,1795.53,1697.94,1666.74,1687.26,1703.24,1663.6,1612.67,1614.06,1637.13,1720.5,1705.54,1701.61,1737.68,1691.37,1797.12,1728.95,1658.8,1705.98,1538.45,1555.98,1678.05,1651.41,1639.09,1630.78,1653.78,1598.36,1715.13,1669.97,1588.39,1600.99,1669.01,1662.31,1713.89,1672.94,1597.23,1586.3,1605.57,1648.18,1606.41,1617.69,1628.4,1632.32,1561.16,1605.67,1579.77,1667.67,1565.41,1606.8,1674.52,1712.79,1615.66,1609.8,1646.41,1662.43,1637.37,1518.61,1562.07,1672.15,1636.63,1593.68,1579.56,1612.96,1697.74,1658.86,1656.7,1559.05,1605.09,1585.56,1614.88,1658.46,1642.08
7.79,1.054,1956.01,2089,2223.29,2249.17,1823.08,2126.81,2427.8,1992.59,1776.93,1960.62,2238.77,1968.26,1991.63,1911.31,1937.64,2030.79,1965.77,2050.1,2004.45,2082.33,2012.37,1955.22,1951.38,2083.99,1915.13,2063.13,1930.61,1960.71,2021.93,2098.51,1987.69,1950.69,1975.81,1992.36,1945.71,1887.78,1890.29,1917.24,2013.26,1997.39,1992.84,2034,1980.13,2103.51,2024.52,1943.94,1998.25,1804.55,1825.24,1965.44,1936.05,1922.58,1911.9,1940.09,1875.58,2010.12,1958.85,1862.48,1877.69,1957.66,1949.26,2011.35,1963.13,1873.55,1862.65,1885.69,1933.72,1885.77,1899.74,1912.81,1916.4,1834.68,1886.02,1856.76,1957.76,1839.7,1888.47,1966.69,2011.19,1897.55,1891.25,1933.75,1952.07,1922.84,1786.66,1836.63,1963.69,1924.46,1872.79,1856.98,1895.29,1995.32,1949.44,1946.91,1833.28,1885.85,1865.33,1898.42,1950.36,1931.27
8.17,0.292,257.605,285.928,294.172,289.016,238.5,275.334,321.091,259.107,233.875,253.418,296.575,255.546,268.693,247.338,250.917,265.58,253.649,267.208,256.849,268.309,263.066,252.724,249.302,270.86,249.86,265.324,248.948,252.005,257.436,271.743,253.185,249.467,249.5,257.135,250.137,240.264,239.197,244.039,259.007,251.608,252.827,258.178,253.164,268.062,257.814,244.719,251.975,225.838,227.711,250.024,240.375,238.264,240.755,239.577,231.473,252.754,242.02,234.602,234.002,241.725,243.669,246.334,242.111,234.911,228.344,230.222,239.288,232.997,233.258,232.58,234.85,222.752,230.072,224.277,241.113,222.436,228.545,240.262,244.939,230.882,230.181,235.418,237.385,236.038,214.205,222.007,240.594,230.732,228.067,225.003,231.019,240.334,236.192,235.892,222.331,230.202,222.866,229.852,233.29,231.027
8.17,0.414,446.76,494.085,511.838,503.999,412.928,479.187,559.699,449.951,404.608,440.026,515.55,444.057,466.056,429.706,436.283,461.545,441.327,465.168,447.74,467.646,457.876,439.724,434.323,472.136,434.044,463.129,433.629,438.984,449.608,474.291,442.264,435.288,436.109,448.404,435.802,418.856,417.349,425.997,452.256,440.231,442.307,451.56,442.377,469.599,451.284,428.38,441.28,394.595,398.216,437.27,421.146,417.81,421.543,420.402,405.719,443.36,424.845,410.465,409.806,424.246,427.318,433.449,425.587,411.597,400.801,404.66,420.044,409.179,410.22,409.24,412.723,391.532,404.577,394.608,424.207,391.011,402.56,423.248,431.82,405.995,405.103,414.45,417.884,415.213,377.065,390.887,423.717,407.328,401.338,396.149,406.891,424.526,416.459,416.134,391.553,405.213,393.425,405.213,412.291,408.137
