draw_id,draw_label,s_nbar1,s_nbar2,s_nbar3,s_nbar4
1,b1,2.173598,1.518345,1.505200,1.518506
2,b2,2.166365,1.481520,1.474282,1.483627
3,b3,2.189942,1.557020,1.536606,1.552549
4,b4,2.199299,1.578052,1.553991,1.569452
5,b5,2.180587,1.561765,1.551986,1.562878
6,b6,2.193870,1.588314,1.566928,1.584222
7,b7,2.188031,1.518051,1.495658,1.510232
8,b8,2.213340,1.658731,1.635362,1.649685
9,b9,2.195579,1.601529,1.588038,1.597646
10,b10,2.210092,1.648865,1.627076,1.639761
11,b11,2.177406,1.514641,1.495667,1.511984
12,b12,2.222034,1.681981,1.655393,1.669091
13,b13,2.194880,1.589643,1.572625,1.587966
14,b14,2.236997,1.720854,1.689575,1.700690
15,b15,2.240213,1.727260,1.696102,1.706481
16,b16,2.199270,1.623712,1.604081,1.621676
17,b17,2.244187,1.736775,1.704844,1.714326
18,b18,2.222335,1.678672,1.654704,1.667535
19,b19,2.265522,1.788982,1.752943,1.757681
20,b20,2.248935,1.742528,1.712820,1.720780
21,b21,2.239695,1.718186,1.690761,1.701183
22,b22,2.249866,1.748885,1.716331,1.724938
23,b23,2.280585,1.827027,1.786248,1.788725
24,b24,2.244371,1.729101,1.701484,1.710326
25,b25,2.240436,1.722920,1.692701,1.704117
26,b26,2.272109,1.799294,1.764492,1.767895
27,b27,2.271176,1.801966,1.764089,1.768672
28,b28,2.267082,1.790623,1.754215,1.759572
29,b29,2.295715,1.863892,1.821150,1.819561
30,b30,2.270490,1.790730,1.757939,1.761958
31,b31,2.301508,1.881538,1.835905,1.833186
32,b32,2.303866,1.885697,1.839575,1.837108
33,b33,2.323214,1.940991,1.888450,1.880758
34,b34,2.266745,1.787761,1.752683,1.757842
35,b35,2.273548,1.805541,1.767545,1.772107
36,b36,2.309986,1.903994,1.854158,1.851241
37,b37,2.322186,1.939260,1.885401,1.879103
38,b38,2.307450,1.897268,1.848940,1.845897
39,b39,2.278933,1.817294,1.779837,1.782440
40,b40,2.338629,1.980166,1.923978,1.912867
41,b41,2.331464,1.958425,1.905137,1.896022
42,b42,2.318468,1.922088,1.873306,1.867007
43,b43,2.313379,1.906336,1.859492,1.855131
44,b44,2.333300,1.956297,1.906035,1.896062
45,b45,2.336818,1.967205,1.914598,1.904571
46,b46,2.360743,2.040474,1.977097,1.961436
47,b47,2.368735,2.060316,1.995616,1.977640
48,b48,2.372249,2.081701,2.009688,1.992006
49,b49,2.381647,2.108869,2.033629,2.013307
50,b50,2.331827,1.956979,1.904035,1.895595
51,b51,2.390885,2.133913,2.057149,2.033141
52,b52,2.409473,2.189532,2.106192,2.076817
53,b53,2.369571,2.065977,1.999010,1.981533
54,b54,2.407324,2.183679,2.100892,2.072019
55,b55,2.412490,2.204534,2.116949,2.086945
56,b56,2.390910,2.122504,2.051404,2.027333
57,b57,2.420521,2.223843,2.136390,2.103210
58,b58,2.378226,2.091589,2.020050,2.001402
59,b59,2.396336,2.148324,2.069348,2.045046
60,b60,2.415462,2.208524,2.122802,2.091259
61,b61,2.389382,2.122910,2.049526,2.026469
62,b62,2.444356,2.298924,2.202519,2.160905
63,b63,2.447444,2.305747,2.208160,2.166828
64,b64,2.401947,2.160440,2.080631,2.055639
65,b65,2.448157,2.317128,2.214283,2.173476
66,b66,2.475056,2.404755,2.290155,2.240017
67,b67,2.428409,2.245269,2.155029,2.120531
68,b68,2.447866,2.305949,2.206950,2.167335
69,b69,2.479149,2.410407,2.296878,2.246198
70,b70,2.487125,2.447774,2.327118,2.271827
71,b71,2.450090,2.319607,2.217810,2.176122
72,b72,2.482340,2.432278,2.311696,2.260128
73,b73,2.480423,2.420662,2.303854,2.252431
74,b74,2.510087,2.532259,2.396587,2.333752
75,b75,2.459044,2.341964,2.239695,2.194846
76,b76,2.496836,2.486096,2.356596,2.299413
77,b77,2.526625,2.587289,2.444994,2.375305
78,b78,2.483164,2.425613,2.311066,2.257267
79,b79,2.499136,2.479969,2.357982,2.297789
80,b80,2.490929,2.458248,2.335394,2.280110
81,b81,2.515348,2.540557,2.406305,2.342172
82,b82,2.505143,2.505096,2.376977,2.315668
83,b83,2.497001,2.476932,2.353030,2.294493
84,b84,2.474131,2.394724,2.283280,2.234093
85,b85,2.540804,2.641803,2.488338,2.415672
86,b86,2.530659,2.600152,2.454867,2.385303
87,b87,2.492278,2.453983,2.335504,2.279120
88,b88,2.567713,2.719020,2.567188,2.484471
89,b89,2.510856,2.523821,2.391799,2.330032
90,b90,2.520223,2.562703,2.423718,2.357703
91,b91,2.520549,2.555125,2.419402,2.353818
92,b92,2.568533,2.687622,2.556513,2.478547
93,b93,2.530888,2.597941,2.455568,2.384147
94,b94,2.552912,2.658224,2.516912,2.440155
95,b95,2.534654,2.605998,2.464065,2.394921
96,b96,2.515161,2.530865,2.401842,2.339550
97,b97,2.601918,2.729700,2.610727,2.546304
98,b98,2.528592,2.589241,2.447400,2.377996
99,b99,2.594165,2.737929,2.614443,2.540099
100,b100,2.607308,2.738880,2.625697,2.559766
