config,model,n_D,dof,chi2_nu,zt,zk
mcgaugh_imig,baryonic,2,76,4.9994,1.3000,1.0798
mcgaugh_imig,veg_fixed,2,76,5.7244,0.7000,0.7000
mcgaugh_imig,veg_free,3,75,1.5639,0.7000,0.7000
mcgaugh_imig,fr_screened,4,74,0.9952,0.7735,0.7000
mcgaugh_imig,refracted_gravity,4,74,0.9888,0.7000,0.7000
mcgaugh_imig,cdm_nfw,4,74,1.4391,1.1806,0.7000
mcgaugh_imig,cdm_einasto,5,73,1.2616,1.1496,0.7000
mcgaugh_imig,hmg,3,75,1.2993,1.1129,0.7000
lian_wang,baryonic,2,76,10.2500,1.3000,1.3000
lian_wang,veg_fixed,2,76,6.4414,0.7000,0.7000
lian_wang,veg_free,3,75,3.9244,0.7000,0.7000
lian_wang,fr_screened,4,74,2.7559,0.7395,0.7000
lian_wang,refracted_gravity,4,74,2.7979,0.7000,0.7000
lian_wang,cdm_nfw,4,74,1.6592,1.2794,0.7000
lian_wang,cdm_einasto,5,73,1.4949,1.2318,0.7000
lian_wang,hmg,3,75,1.4118,1.0920,0.7000
de_salas,baryonic,2,76,11.4198,1.3000,1.3000
de_salas,veg_fixed,2,76,1.3084,0.7000,0.7000
de_salas,veg_free,3,75,1.3198,0.7000,0.7000
de_salas,fr_screened,4,74,0.8329,1.0855,0.7000
de_salas,refracted_gravity,4,74,0.8256,0.8020,0.7000
de_salas,cdm_nfw,4,74,2.8288,1.3000,1.3000
de_salas,cdm_einasto,5,73,2.3583,1.3000,1.3000
de_salas,hmg,3,75,2.0817,1.3000,0.8851
mcmillan,baryonic,2,76,6.0956,1.3000,1.3000
mcmillan,veg_fixed,2,76,6.0586,0.7000,0.7000
mcmillan,veg_free,3,75,2.1544,0.7000,0.7000
mcmillan,fr_screened,4,74,1.5061,0.8670,0.7000
mcmillan,refracted_gravity,4,74,1.4975,0.7000,0.7000
mcmillan,cdm_nfw,4,74,1.3005,1.1960,0.7000
mcmillan,cdm_einasto,5,73,1.1389,1.1621,0.7000
mcmillan,hmg,3,75,1.1556,1.1145,0.7000
mcgaugh_imig,qumond_simple,2,76,1.8157,0.7000,0.7000
mcgaugh_imig,qumond_standard,2,76,1.6781,1.0000,1.0000
mcgaugh_imig,qumond_mls,2,76,1.6862,0.7000,0.7000
lian_wang,qumond_simple,2,76,4.2276,0.7000,0.8500
lian_wang,qumond_standard,2,76,3.8797,1.1500,1.1500
lian_wang,qumond_mls,2,76,4.1218,0.7000,1.0000
de_salas,qumond_simple,2,76,1.5936,1.0000,1.0000
de_salas,qumond_standard,2,76,2.2914,1.3000,1.3000
de_salas,qumond_mls,2,76,1.5322,1.1500,0.7000
mcmillan,qumond_simple,2,76,2.4847,0.7000,0.7000
mcmillan,qumond_standard,2,76,2.2018,1.0000,1.1500
mcmillan,qumond_mls,2,76,2.3720,0.7000,0.7000
mcgaugh_imig,stvg,4,74,1.0509,0.7000,0.7000
lian_wang,stvg,4,74,2.6437,0.7000,0.7000
de_salas,stvg,4,74,1.0033,0.7000,0.7000
mcmillan,stvg,4,74,1.4150,0.7000,0.7000
